Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,4.6,
Angola,,,2.299999952,4.8667,7.4333,10,12.5667,15.1333,17.7,19.75,21.8,23.85,25.9,,,,,
Azerbaijan,,1,,,,,,,,,,,,,,,,
Benin,,,7,9.66,12.32,14.98,17.64,20.3,28.5333,36.7667,45,53.2333,61.4667,69.7,71.2,72.7,,
"Burkina Faso",,,,,1.9,4.6,7.3,10,19.35,28.7,38.05,47.4,54.375,61.35,68.325,75.3,,
Burundi,,1,2.4,3.8,5.2,6.6,8,15.4,22.8,30.2,37.6,45,49.4,53.8,,,,
Cambodia,,,,,,,4,,,,,,,,,,,
Cameroon,,1,1.025,1.05,1.075,1.1,7.05,13,14.6,16.2,17.8,19.4,21,32.2667,43.5333,54.8,,
"Central African Republic",,2,4.1667,6.3333,8.5,10.6667,12.8333,15,20.35,25.7,31.05,36.4,,,,,,
Chad,,1,1.88,2.76,3.64,4.52,5.4,6.28,7.16,8.04,8.92,9.8,15.12,20.44,25.76,31.08,36.4,
Colombia,,0.699999988,,,,,,,,,,,,,,,,
Comoros,,9,11.675,14.35,17.025,19.7,22.375,25.05,27.725,30.4,33.075,35.75,38.425,41.1,,,,
"Congo (Kinshasa)",,,1,1.8,2.6,3.4,4.2,5,5.8,16.5667,27.3333,38.1,42.525,46.95,51.375,55.8,,
"Congo (Brazzaville)",,,,,,,6,9.6429,13.2857,16.9286,20.5714,24.2143,27.8571,31.5,,,,
"Ivory Coast",,1,1.75,2.5,3.25,4,1.3,3,8.7,14.4,20.1,25.8,31.5,37.2,,,,
Djibouti,,,,,,,,1,7.3,13.6,19.9,,,,,,,
"Equatorial Guinea",,1,3,5,7,9,11,13,15,17,19,21,23,,,,,
Eritrea,,,,4,11.4833,18.9667,26.45,33.9333,41.4167,48.9,34.65,20.4,,,,,,
Ethiopia,,,,,,,1.5,17.25,33,32.275,31.55,30.825,30.1,,,,,
Gabon,,,,,,,,,,55.1,51.025,46.95,42.875,38.8,,,,
Gambia,,15,20.6667,26.3333,32,37.6667,43.3333,49,45.075,41.15,37.225,33.3,37.8667,42.4333,47,,,
Ghana,,,,,3.9,9.9333,15.9667,22,30.35,38.7,38.8,38.9,39,41.5333,44.0667,46.6,,
Guatemala,1,,,,,,,,,,,,,,,,,
Guinea,,,,,4,2.7,1.4,3.2,5,4.5,9.875,15.25,20.625,26,,,,
"Guinea Bissau",,7,12.3333,17.6667,23,28.3333,33.6667,39,38.125,37.25,36.375,35.5,46.775,58.05,69.325,80.6,,
Guyana,,5.5,5.74,5.98,6.22,6.46,6.7,11.125,15.55,19.975,24.4,21,17.6,14.2,10.8,7.4,,
Haiti,,,,,,,,,,,,,,12,,,,
Indonesia,,,,,,,,,3.7,,,,,,,,,
Kenya,,3,4,5,6,12.7833,19.5667,26.35,33.1333,39.9167,46.7,48.22,49.74,51.26,52.78,54.3,56.1,
Laos,,18,21.8333,25.6667,29.5,33.3333,37.1667,41,41.3667,41.7333,42.1,42.4667,42.8333,43.2,,,,
Liberia,,,,,,,,,,,26.4,31.75,37.1,37.6,38.1,,,
Madagascar,,,,,,,,,,,45.8,61.2,76.6,69.45,62.3,66,69.7,73.4
Malawi,,3,5.95,8.9,11.85,14.8,19.9,25,28.6,32.2,35.8,39.4,47.65,55.9,61.5,67.1,54.9,42.7
Mali,,,,,8.399999619,14.6333,20.8667,27.1,31.725,36.35,40.975,45.6,53.4,61.2,69,70.1,71.2,
Mauritania,,,,,,2,4.3857,6.7714,9.1571,11.5429,13.9286,16.3143,18.7,18.625,18.55,18.475,18.4,
Mozambique,,,,,,,,,7,22.8,27.1,31.4,35.7,,,,,
"Burma (Myanmar)",,,,,,,,,,,,11.1,,,,,,
Namibia,,3.400000095,4.5833,5.7667,6.95,8.1333,9.3167,10.5,10.5,22.25,34,26.9,19.8,12.7,5.6,,,
Niger,,1,2.0667,3.1333,4.2,5.2667,6.3333,7.4,19.2667,31.1333,43,63.7,41.9,20.1,,,,
Nigeria,,,,,1.2,2.06,2.92,3.78,4.64,5.5,17.2,28.9,16.4,16.5,16.6,25.4,43.6,
Pakistan,,,,,,,,,0.2,,,,,,,,,
Rwanda,,4,5.72,7.44,9.16,10.88,12.6,27.2333,41.8667,56.5,63.05,69.6,71.1,72.6,74.1,70.9,67.7,
"Saint Thomas and Principe",,23,26.1667,29.3333,32.5,35.6667,38.8333,42,46.6667,51.3333,56,57.02,58.04,59.06,60.08,61.1,,
Senegal,,2,3.04,4.08,5.12,6.16,7.2,16.4,20.6667,24.9333,29.2,31.85,34.5,40.15,45.8,43.2,,
"Sierra Leone",,2,2.6,3.2,3.8,4.4,5,11.9333,18.8667,25.8,28.05,30.3,36.5333,42.7667,49,,,
"Solomon Islands",53,49.3333,45.6667,42,41.6,41.2,40.8,40.4,40,,,,,,,,,
Somalia,0.300000012,1.8286,3.3571,4.8857,6.4143,7.9429,9.4714,11,,,,,,,,,,
"South Sudan",,,,,,,,21,22.4333,23.8667,25.3,30.425,35.55,40.675,45.8,,,
"Sri Lanka",,,,,,,,,3,,,,,,,,,
Sudan,,0.400000006,5.3333,10.2667,15.2,20.1333,25.0667,30,28.4333,26.8667,25.3,,,,,,,
Suriname,,3,7.04,11.08,15.12,19.16,23.2,27.24,31.28,35.32,39.36,43.4,,,,,,
Swaziland,,,,,,,,,0.6,0.9,1.2,1.5,,,,,,
Tajikistan,,1.899999976,1.72,1.54,1.36,1.18,1,,,,,,,,,,,
Tanzania,2,3.6,5.2,6.8,8.4,10,16,19.2333,22.4667,25.7,44.65,63.6,67.8,72,67.6,63.2,58.8,54.4
"Timor Leste",,,,8,12.125,16.25,20.375,24.5,28.625,32.75,36.875,41,,,,,,
Togo,,2,8,14,20,26,32,38,42.775,47.55,52.325,57.1,53.525,49.95,46.375,42.8,,
Uganda,,,,,,,,9.7,17.4,25.1,32.8,37.8,42.8,50.675,58.55,66.425,74.3,
