Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,7150,7300,7450,8000,9250,9500,9950,10100,10350,10500,11300,12100,12450,12600,13050,14100,13950,14000,13650,13700,13350,13200,13850,14400,13300,12700,12350,11100,11737,11049,11200,11200,11200,11200,11200,11200,11200,11200,12700,14700,11200,12800,17000,16162,17616,17402,18000,16472,16870,19175,19220,19865,19480
Albania,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3500,3500,3500,3528,3300,3703,3796,3471,3435,4750,4250,4300,4340,4653,4561,4378,4000,4300,4500,4500,4200,4100,4846,4252,4590,5080,3080,3628
Algeria,13300,13300,13300,14200,13800,12700,12900,10000,5500,6700,4600,8300,9200,10150,11000,18250,10400,7100,8100,8700,15960,15450,18030,16490,21100,20860,21000,21370,23610,25010,24240,24970,25880,26130,24860,25190,27440,26490,26820,27150,26980,27720,30630,52835,55209,59137,40890,39787,39313,39757,39805,39084,49011,48222
Angola,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2740,2800,2300,2394,2500,2800,3000,2500,2800,2753,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2856
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,3535,3535,3535,3535,3535,4090,3460,3631,3631,3669,3708,3747,3769,3817,3740,3911,3952,3850,4075,4151,4229,3960,4334,4392,4468,5100,4763,5200,5135,5075
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508,1462,1557,1520,1530,1530,1530,1530
Australia,106,119,111,113,131,129,137,100,120,129,150,200,150,150,250,500,500,1000,1100,2430,2950,2480,2560,3300,3950,4300,4400,5100,7400,8000,10261,11057,11783,11847,13885,13928,14198,14650,16484,18018,18613,19789,21638,24585,27505,35979,44252,47479,49041,52240,57620,56774,53270,54478
Austria,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4500,4500,4500,5000,4030,5324,6405,5693,5972,5683,4537,5800,5757,6000,5481,4573,6272,5110,6713,6600,6700,6500,1449,267,133,57,142,142
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20900,23350,22650,22000,22000,21117,22690,22000,22047,22889,23774,24061,24183,24754,22706,25890,27727,28470,29143,29874,31863,32571,33344
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,170,170,170,170,170,180,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,6024,5869,5766,6002,6152,6892,6637,6824,7195,7162,7378,7212,7336,7882,7340,7377,7440,7600,7561,7600,7691,7600
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,220,253,262,266,275,240,220,263,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,321,619,802,795,931,930,945,868,707,698,365,557,177,85,85
Benin,2000,2000,2000,2000,2000,2000,5000,7000,8500,9148,9000,9000,9000,9000,9000,5000,7846,10000,10000,10000,10000,20000,10000,10000,10000,10000,10000,10000,12000,22000,30200,42200,57200,67200,102249,132290,167313,156555,182300,187418,174069,185746,189983,185568,192439,212368,251034,452450,602545,343032,468139,504397,612762,623898
