Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10195,11.63897,10.58496,12.16233,11.84006,11.4056,10.97108,11.48529,12.805,14.1246,15.4443,16.764,18.0836,19.4033,20.72298,21.67269,20.02153,25.09833,18.39152,,,
Afghanistan,,24.05744,20.85179,20.45141,18.7686,17.08569,18.8341,20.5825,22.3309,24.07936,19.56901,20.82823,24.16379,21.97058,21.4914,21.0122,20.533,20.0538,19.5746,19.0954,18.6162,18.137,17.6578,17.1786,16.6994,16.2202,15.741,15.2618,14.7826,14.3034,13.8242,13.345,12.8658,12.3866,11.9074,11.4282,10.949,10.4698,9.9906,9.5114,9.03217,8.98621,12.74171,11.75683,12.41128,15.95379,,,,
Angola,,,,,,,,,,,,,,,,5.582,5.83863,6.95546,7.0292,7.103,7.1768,7.2506,7.3244,7.3982,7.472,7.5457,7.6195,7.6933,7.7671,7.8409,7.9147,7.9885,8.0622,8.136,8.2098,8.2836,8.70122,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,10.74165,11.3305,11.9193,12.5081,13.0969,13.6857,14.2745,14.8633,15.4521,16.0409,16.6298,17.2186,17.8074,18.3962,18.985,19.5738,20.1626,20.7514,21.3402,21.92905,21.5425,21.15599,19.09854,18.85009,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88234,5.9233,4.96431,3.88254,6.6278,4.53195,4.0651,3.59818,3.86129,3.84056,4.2147,4.58887,6.07554,5.47481,5.8952,5.67515,5.64106,
Argentina,24,21.6654,19.33086,23.87173,19.13876,30.72407,27.49602,20.04424,21.70391,22.8224,21.78625,18.8568,15.92735,18.63354,18.44237,34.95818,33.23076,48.66027,48.2002,47.7402,47.34859,42.939,38.5293,34.1197,29.7101,25.3004,20.89081,21.0245,21.15821,17.14144,18.13501,17.13208,17.49278,16.18717,17.20481,16.24196,17.75414,17.7498,17.66036,18.85052,19.85806,19.43274,19.94066,20.23468,20.40408,20.5357,20.36758,22.08034,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94845,14.6438,14.3391,14.0344,13.7298,13.4251,13.1204,12.8158,12.5111,12.2064,11.9018,11.5971,11.29243,9.3612,11.65396,11.2919,9.49214,10.31781,13.62262,12.68896,13.18401,12.99242,,
"American Samoa",,,,,14.93689,9.82983,29.4441,28.8355,28.2268,27.6182,27.0095,26.4009,25.7922,25.1836,24.575,23.9663,23.3577,22.749,22.1404,21.5317,20.9231,20.3145,19.7058,19.0972,18.4885,17.8799,17.2712,16.6626,16.054,15.4453,14.8367,14.228,13.6194,13.0107,12.4021,11.7935,11.18482,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06368,12.282,9.5004,6.71878,6.8094,6.9,6.9906,7.0813,7.1719,7.2625,7.35313,,,,,,,,,,
Australia,,,,,,,,,24.75316,24.03427,23.17673,22.4376,21.69845,31.67267,31.6244,31.57621,32.29368,31.64317,33.46855,32.64205,33.42061,32.64821,31.8731,26.58342,28.86819,27.58676,29.61601,28.067,26.518,24.969,23.41993,23.175,22.93,22.685,22.44,22.19504,21.98008,22.50197,22.45879,22.11265,22.27661,23.20185,23.67862,25.9484,26.53865,28.85535,26.82461,,,
Austria,15.06736,15.08724,15.36238,15.23795,15.67883,16.14828,16.10579,15.1926,14.84121,14.96101,14.94281,14.29035,14.95543,15.67647,17.42452,17.66651,19.80344,19.78005,20.45724,20.63494,20.34452,21.29734,20.96459,20.51477,21.0099,21.50493,21.05007,23.641,26.23192,26.18606,25.00969,23.64181,22.57116,23.5198,26.12133,27.28277,27.16193,27.75351,27.19456,26.196,27.71448,26.85606,33.30418,32.33793,32.51695,32.63359,32.48871,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,11.16438,9.9421,8.7198,7.49753,7.30055,6.9492,6.59794,6.12115,6.00557,6.01177,5.82049,5.57932,6.4163,6.94571,7.00232,7.94791,11.33714,13.96427,14.03889,14.62596,14.1735,13.721,13.2686,12.81609,17.08263,16.40216,,
Burundi,,,,,,,,,,22.43367,22.7995,23.16542,23.1709,23.1765,23.182,23.1875,23.193,23.1985,23.2041,23.2096,23.21511,27.732,24.69136,22.102,19.51265,17.52454,18.62608,20.5186,22.4111,24.30359,26.92457,27.76629,24.93172,21.6073,18.28288,15.30763,17.275,19.2423,21.20969,18.34551,18.03359,17.45981,20.57904,24.23367,,,,,,
Belgium,,,,,,16.07792,15.93583,16.62011,18.92186,19.44842,18.59612,18.77643,18.39242,18.5801,18.7678,18.9555,19.14323,19.06874,19.52517,19.0966,18.668,18.2393,17.8107,17.38212,20.43844,20.497,21.45639,21.4831,21.5099,21.5366,21.5634,21.5901,21.6169,21.6436,21.6704,21.69712,21.57,21.4429,21.31581,22.42587,22.16835,21.9973,21.9205,21.84376,22.49618,22.12875,22.2845,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.75625,18.31953,21.68571,20.60177,19.48373,21.20287,20.64072,20.16098,17.6369,18.49557,15.6043,20.1788,24.7532,21.03575,20.34996,22.14901,,,,
"Burkina Faso",,,,,,,,,35.73092,34.786,33.84101,32.8388,31.8366,30.83444,30.8292,30.82397,29.1884,27.5528,25.9172,24.2816,22.646,21.0104,19.3747,17.7391,16.10354,15.5101,14.9166,14.3231,13.7296,13.1362,12.5427,11.9492,11.3557,10.7623,10.1688,9.57532,11.12015,15.20193,16.4149,17.6278,18.8408,15.31161,17.50099,21.71843,12.2894,13.65212,,,,
Bangladesh,,,,,,,,,,22.13401,21.90686,15.8549,12.73232,11.55024,11.48712,10.57759,9.62477,9.2748,8.9311,8.5874,8.24368,9.08171,10.18077,8.50549,7.5636,6.6217,5.6798,4.73789,7.8493,10.96074,10.11549,10.10512,11.1389,9.1102,11.54205,12.2348,12.92764,11.4676,13.26487,13.50141,11.8974,10.29338,14.73352,19.3695,24.0055,28.6414,33.27739,,,
