Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Chile,176.32,191.97,201.36,228.69,219.43,212.88,217.98,218.39,236.37,215.83,203.55,175.57,172.63,175.11,177.35,138.48,126.4,112.69,86.79,62.95
China,84.87,98.59,112.27,131.25,138.63,151.34,161.93,171.9,173.13,157.94,148.55,131.51,108.52,101.34,105.85,83.7,76.38,70.48,52.85,39.25
Colombia,146.63,151.58,168.72,144.37,113.95,70,72.33,64.73,59.5,65.9,70.77,73.52,76.88,79.07,77.23,66.3,54.71,49.66,35.78,28.66
Comoros,71.45,72.66,83.66,82.48,84.29,90.99,84.19,85.53,91.71,93.57,95.23,92.16,91.36,85.33,86.08,123.97,122.57,111.39,95.33,72.49
"Congo (Kinshasa)",141.06,132.8,157.79,200.1,174.8,149.13,168.35,167.05,180.68,182.29,169.22,167.94,149.71,133.6,183.75,128.07,94.8,65.55,50.86,43.17
"Costa Rica",74.65,77.11,75.81,82.91,76.37,81.87,96.93,106.73,108.86,112.8,116.53,118.88,127.23,125.72,127.26,100.21,90.38,76.85,55.66,40.73
Croatia,47.02,45.01,47.83,50.58,50.97,58.14,67.39,73.1,64.52,69.27,52.22,48.31,45.89,51.72,51.75,43.88,48.38,41.29,31.56,22.64
Cuba,23.09,22.97,24.83,30.26,29.57,32.41,35.56,41.28,37.52,35.25,33.12,28.72,25.14,22.27,25.28,19.62,17.91,15.09,12.04,7.76
Cyprus,136.55,154.35,165.35,164.19,162.59,176.71,182.1,186.44,203.06,191.92,189.62,174.96,162.59,171.61,173.23,143.75,138.38,120.79,86.95,64.57
"Czech Republic",31.61,29.2,31.15,32.34,31.44,31.86,35.61,36.06,42.25,42.04,46.69,43.77,45.74,52.72,56.1,44.89,40.41,35.85,26.03,18.33
Denmark,70.14,71.89,73.35,76.75,75.98,73.97,78.7,80.73,83.95,83.47,80.31,74.75,72.65,68.31,74.13,61.15,54.52,47.36,35.8,26.34
Djibouti,69.54,72.98,80.33,97.18,92.09,98.17,105.35,108.75,110.78,111.38,110.51,107.92,104.51,96.57,100.53,128.25,120.92,108.67,82.36,61.08
Dominica,84.4,84.03,84.22,89.11,85.07,80.6,87.66,94.17,97.76,90.41,98.62,86.32,88.57,80.03,77.93,65.31,57.32,50.4,38.79,27.49
"Dominican Republic",200.81,188.26,195.24,202.23,192.98,208.85,218.02,226.72,220.14,177.59,165.78,143.41,130.05,116.84,120.25,88.13,74.76,62.21,40.03,23.17
Ecuador,79.3,77.75,90.44,123.33,128.13,134.35,151.76,175,235.71,220.33,208.37,199.31,196.89,172.72,171.98,148.2,127.21,106.46,72.85,74.45
Egypt,108.75,115.78,151.46,153.79,161.57,166.51,183.93,199.23,196.17,187.98,166.68,148.26,139.2,122.5,129.11,107.35,101.03,96.44,72.49,55.79
"El Salvador",189.99,214.68,243.49,250.55,226.03,228.24,232,228.16,218.48,201.43,178.2,123.5,120.47,109.75,117.41,97.09,84.4,74.84,50.9,36.86
"Equatorial Guinea",90.56,97.22,71.73,93.29,53.75,36.23,29.3,45.26,39.46,48.44,34.58,31.12,27.61,35.4,45.64,38.95,37.05,32.17,16.98,13.94
Eritrea,103.99,101.3,109.83,119.63,131.05,133.6,125.42,123.06,122.02,106,92.4,86.63,83.62,75.1,75,64.12,52.27,45.98,36.09,28.97
Estonia,33.35,38.59,34.87,42.21,57.25,62.46,56.37,61.25,64.54,65.79,60.06,64.7,57.13,55.61,65.6,47.45,39.33,37.03,29.07,21.61
