Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,4.765357,4.832,4.8987,4.9653,5.032,5.0987,5.165331,5.2921,5.4189,5.5457,5.6725,5.7993,5.9261,6.0529,6.1797,6.3065,6.4332,6.56,6.6868,6.8136,6.9404,7.0672,7.194
Algeria,,,,,,,,,,,,,,,,,5.674547,5.7372,5.7998,5.8625,5.9251,5.9878,6.0504,6.1131,6.1757,6.2384,6.301029,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,7.135593,7.1704,7.2053,7.2402,7.275,7.3099,7.3447,7.3796,7.4144,7.4493,7.4841,7.519
Argentina,6.77002,6.8666,6.9632,7.0598,7.1564,7.253024,7.1877,7.1224,7.0572,6.9919,6.92658,6.9886,7.0507,7.1127,7.1748,7.2368,7.298896,7.3792,7.4595,7.5399,7.6202,7.700502,7.6557,7.6109,7.5661,7.5213,7.47647,7.5137,7.551,7.5882,7.6255,7.6627,7.7
Armenia,,,,,,,,,,,4.31825,4.375,4.4318,4.4885,4.5453,4.602,4.6588,4.7155,4.7723,4.829,4.8858,4.9425,4.9993,5.056,5.1128,5.1695,5.226277,5.4117,5.5972,5.7826,5.9681,6.1535,6.339
Australia,7.89478,7.8636,7.8324,7.8011,7.7699,7.7387,7.7075,7.6763,7.6451,7.6139,7.582639,7.5573,7.532,7.5067,7.4814,7.4561,7.4308,7.4055,7.3802,7.3549,7.3296,7.304255,7.3199,7.3355,7.3511,7.3667,7.382353,7.353,7.3236,7.2942,7.2648,7.2354,7.206
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.848
Azerbaijan,,,,,,,,,,,5.392766,5.477,5.5612,5.6455,5.7297,5.8139,5.8982,5.9824,6.0666,6.1509,6.2351,6.3193,6.4036,6.4878,6.572,6.6563,6.740519,6.6548,6.569,6.4833,6.3975,6.3118,6.226
Bangladesh,,,,,,,,,,,6.406146,6.3014,6.1966,6.0918,5.9871,5.8823,5.777553,5.8918,6.006,6.1202,6.2344,6.3486,6.4628,6.5771,6.6913,6.8055,6.9197,7.0339,7.1481,7.2624,7.3766,7.4908,7.605
Belarus,,,,,,5.518408,5.2844,5.0504,4.8164,4.5824,4.348455,4.4392,4.5299,4.6206,4.7114,4.8021,4.8928,4.9836,5.0743,5.165,5.2558,5.3465,5.4372,5.5279,5.6187,5.7094,5.800131,5.9679,6.1358,6.3036,6.4714,6.6392,6.807
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.448
"Bosnia and Herzegovina",,,,,,,,,,,5.96375,5.9313,5.8988,5.8663,5.8338,5.8013,5.768781,5.8906,6.0124,6.1343,6.2561,6.3779,6.4997,6.6216,6.7434,6.8652,6.987,7.1089,7.2307,7.3525,7.4743,7.5962,7.718
Brazil,,,,,,7.368361,7.3856,7.4028,7.4201,7.4373,7.4545,7.4718,7.489,7.5063,7.5235,7.5407,7.558,7.5752,7.5924,7.6097,7.6269,7.644147,7.6855,7.7269,7.7682,7.8096,7.850978,7.7928,7.7347,7.6765,7.6183,7.5602,7.502
Bulgaria,,,,,,,,,,,4.660359,4.7113,4.7622,4.8131,4.864,4.915,4.9659,5.0168,5.0677,5.1186,5.1696,5.22048,5.3042,5.3878,5.4715,5.5552,5.6389,5.7226,5.8063,5.8899,5.9736,6.0573,6.141
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,5.57038,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,7.849144,7.8286,7.808,7.7875,7.767,7.746407,,,,,,,,,,,
Chile,,,,,,7.554144,7.4267,7.2992,7.1717,7.0442,6.91675,6.9506,6.9845,7.0183,7.0522,7.086,7.119866,7.1447,7.1695,7.1943,7.2191,7.243952,7.249,7.2541,7.2591,7.2642,7.269231,7.2194,7.1695,7.1196,7.0697,7.0199,6.97
China,,,,,,7.292169,7.2004,7.1087,7.0169,6.9252,6.833445,6.7828,6.7322,6.6816,6.631,6.5804,6.529768,6.5758,6.6218,6.6679,6.7139,6.759938,6.7796,6.7993,6.819,6.8387,6.858348,6.9395,7.0206,7.1017,7.1828,7.2639,7.345
Colombia,,,,,,,,,,,8.305796,8.306,8.3062,8.3063,8.3065,8.3067,8.3069,8.3071,8.3073,8.3075,8.3076,8.307819,8.3239,8.34,8.3561,8.3721,8.388227,8.3562,8.3242,8.2921,8.2601,8.228,8.196
Croatia,,,,,,,,,,,6.182886,6.2408,6.2987,6.3566,6.4145,6.4725,6.5304,6.5883,6.6462,6.7041,6.762,6.8199,6.8779,6.9358,6.9937,7.0516,7.1095,7.1674,7.2253,7.2833,7.3412,7.3991,7.457
Cyprus,,,,,,,,,,,,,,,,,,,,,,7.345714,7.2774,7.209,7.1407,7.0724,7.004028,6.987,6.97,6.953,6.936,6.919,6.902
"Czech Republic",,,,,,6.364718,6.3707,6.3767,6.3827,6.3887,6.394737,6.4415,6.4882,6.535,6.5817,6.6284,6.6752,6.7219,6.7687,6.8154,6.8621,6.9089,6.9556,7.0023,7.0491,7.0958,7.1426,7.1893,7.236,7.2828,7.3295,7.3763,7.423
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.868
Dominica,,,,,,,,,,,7.126829,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,5.357238,5.4413,5.5254,5.6095,5.6936,5.777705,5.6243,5.4708,5.3174,5.1639,5.010506,5.1501,5.2897,5.4293,5.5688,5.7084,5.848
"El Salvador",,,,,,,,,,,7.495525,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,4.997059,5.0723,5.1475,5.2227,5.2979,5.3731,5.4483,5.5235,5.5987,5.6739,5.7491,5.8244,5.8996,5.9748,6.05,6.1252,6.200393,6.369,6.5376,6.7062,6.8748,7.0434,7.212
Ethiopia,,,,,,,,,,,,,,,,,,,,,,4.993289,5.0644,5.1356,5.2068,5.2779,5.3491,5.4202,5.4914,5.5625,5.6337,5.7048,5.776
Finland,7.905812,7.8931,7.8803,7.8675,7.8548,7.842,7.8293,7.8165,7.8037,7.791,7.77823,7.7838,7.7893,7.7949,7.8004,7.806,7.8115,7.8171,7.8226,7.8282,7.8337,7.839251,7.8396,7.8399,7.8403,7.8406,7.841,7.8413,7.8416,7.842,7.8423,7.8427,7.843
