Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,17.6,16.3,11.4,11,11,7.1,8.1,8.1,8.1,8.1,8.1,1.8,1.8,0.7,0.7,0.7,0.7,1.4,1.8,1.1,4.9,4.9,5.6,5.6,5.636274
Albania,13,11,3.6,3.2,2.5,1.8,1.8,1.4,1.8,1.4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.1,1.8,1.8,1.1,0.8,0.6,0.7,1.13008
Algeria,4478,4458,4486,4722,4701,4864,4903,5259,5300,5347,5757,5668,5672,5820,6078,6580,6838,6999,7105,6954,6788,6714,6448,6338,5949
Angola,97,88,70,106,99,183,205,219,233,258,254,250,298,244,275,306,332,382,354,357,364,380,383,380,362
Argentina,749,880,811,940,969,1076,1223,1309,1364,1499,1585,1622,1616,1784,1849,1822,1827,1801,1783,1708,1663,1607,1557,1472.2,1289.5
Australia,731,762,812.1,870.9,937.2,1038.7,1074.9,1065.2,1105.4,1130,1170,1193.1,1243.1,1282.1,1316.2,1272,1330.3,1403.6,1444.8,1499.1,1867.1,2000.6,1917.4,2189,2221.70223
Austria,47,47,51,53,48,52,53,50,55,61,64,61,66,74,69,61,68,69,57,58,64,63,67,48,46.651115
Azerbaijan,,,681,565,516,508,509,471,461,507,487,489,460,327,323,371,340,595,806,834,927,990,963.6667,937.3333,911
Bahrain,283,328,296,346,340,340,347,375,390,406,412,426,436,435,438,470,488,507,540,547,552,547,590,679,759
Bangladesh,162,173,216,216,235,260,267,269,290,320,343,364,392,429,463,494,541,575,632,692,711,710,758.5,807,844
Barbados,1,0.8,0.8,1.1,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1.1,0.7,0.7,0.7,,,
Belarus,,,10,10,10,11,11,7.1,7.8,7.4,7.1,7.1,6.7,5.7,6.4,6.1,14.8,5.7,5.4,5.3,7.8,14.5,7.3,7.4,7.8
Belgium,0.4,0.3,0.2,0.1,0.04,0.0553,0.07063,0.07063,0.07063,0.07063,0.07063,,,,,,,,,,,,,,
Bolivia,187,192,206,197,208,190,186,189,190,176,197.2,252.4,313.8,361,447.4,518.7,510.3,536.9,540.5,472.8,525.7,571.8,659.1,750.8,781.11695
"Bosnia and Herzegovina",,,0.8,11.2,21.6,32,,,,,,,,,,,,,,,,,,,
Brazil,252,233,231,260,274,281,324,349,381,420,470,495,549,558,600,625,625,641,762,747,809,851,911,1067,979
Brunei,394,337,313,352,359,395,391,390,380,401,416,434,454,473,474,474,505.1,504,502,427,440,471,463.75,456.5,
