Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Malaysia,286,286,286,262,262,262,173,128,110,79,79,79
Maldives,140,140,140,140,140,140,140,140,140,140,140,140
Mali,260,218,218,218,187,164,164,164,164,124,124,124
Malta,,,,,,,167,167,167,167,167,167
"Marshall Islands",53,53,53,53,53,53,53,38,38,38,38,38
Mauritania,153,153,153,153,153,153,104,104,104,104,104,104
Mauritius,282,282,248,248,248,248,248,248,248,246,156,156
Mexico,152,152,152,152,152,154,99,87,91.4,91.4,91.4,86.4
Micronesia,86,86,86,86,86,86,86,86,86,86,86,86
Moldova,307,307,307,307,307,307,276,276,276,276,276,276
Mongolia,220,220,220,219,220,205,205,183,137,137,137,137
Montenegro,,195,195,226,229,229,229,227,167,167,152,152
Morocco,115,115,105,105,105,105,94,94,94,94,91,88.5
Mozambique,235,235,235,235,235,235,235,235,130,130,111,111
"Burma (Myanmar)",,,,,,,,95,95,95,95,95
Namibia,122,122,122,122,122,122,122,122,122,122,137,137
Nepal,143,143,143,143,133,118,118,118,118,86,86,86
Netherlands,179.5,179.5,179.5,179.5,179.5,179.5,179.5,161,161,161,161,161
"New Zealand",93,93,93,93,93,93,93,93,93,93,93,93
Nicaragua,217,217,207,207,207,207,207,207,207,207,207,207
Niger,318,308,308,308,308,308,308,152,152,152,112,112
Nigeria,116,116,116,116,116,116,116,116,106.3,106.3,106.3,106.3
Norway,235.5,235.5,235.5,235.5,236.5,236.5,236.5,110.5,110.5,110.5,110.5,110.5
Oman,168,168,168,168,168,168,157,157,157,157,157,157
Pakistan,274,274,274,274,280,266,266,266,264.2,264.2,264.2,264.2
Palau,72,72,72,72,72,72,72,72,72,72,72,72
Panama,140,140,140,140,111,111,111,100,98,98,98,98
"Papua New Guinea",217,217,217,217,217,217,217,217,217,217,217,217
Paraguay,275,275,274,274,274,162,120,120,120,120,120,120
Peru,209,209,209,209,204,189,189,174,174,174,174,174
Philippines,97,97,97,97,97,97,94,95,98,98,98,98
Poland,302,302,288,288,288,288,173,158,157,156,156,153
Portugal,350,350,350,351,308,226,195,118,113,113,113,113
"Puerto Rico",175,175,175,175,175,175,191,191,191,165,165,165
Qatar,,,58,58,58,58,58,58,58,58,58,58
Romania,164,164,165,165,165,164,164,164,164,164,171,171
Russia,680,678,669,669,603,497,437,309,288.5,253.5,244.1,239.3
Rwanda,278,278,224,178,178,163,163,163,117,107,107,113
"Saint Thomas and Principe",263,263,263,263,263,263,104,104,104,104,104,104
Samoa,58,58,58,58,58,58,58,58,58,58,58,58
"San Marino",,,,,,,,144.5,185.5,185.5,185.5,145.5
"Saudi Arabia",109,109,109,109,78,67,106,106,106,106,106,106
Senegal,302,302,302,302,302,292,292,292,292,247,202,202
Serbia,259,258,258,333,333,333,333,323,323,319,327,156
Seychelles,138,138,138,138,138,138,138,138,138,151,151,151
"Sierra Leone",206,206,206,184,184,167,166,166,166,166,166,166
Singapore,62,62,62,40,35,35,35,35,35,35,35,48
Slovakia,286,286,286,286,286,286,286,286,286,286,286,286
Slovenia,255,255,255,255,254,239.5,239.5,239.5,224.5,224.5,224.5,224.5
"Solomon Islands",98,98,98,98,98,98,98,98,98,98,98,98
Somalia,,,,,,,,,,,NA,NA
"South Africa",139,139,139,139,139,139,139,139,139,141,141,141
"South Sudan",,,,,,,,124,124,124,124,124
Spain,190,190,190,190,190,250,250,250,205,205,205,205
"Sri Lanka",176,176,176,176,177,177,177,176,168,168,115,115
"Saint Kitts and Nevis",104,104,104,104,104,104,104,104,104,104,104,104
"Saint Lucia",149,149,149,116,116,116,116,116,116,116,116,116
"Saint Vincent and Grenadines",82,82,82,82,82,82,81,92,92,92,92,92
Sudan,270,270,270,270,270,270,270,270,270,270,270,270
Suriname,253,253,253,253,253,253,253,253,223,223,223,223
Swaziland,116,116,116,116,116,116,116,116,116,116,116,116
Sweden,126,126,126,126,126,126,126,116,116,116,116,116
Switzerland,156,156,156,156,156,156,156,156,156,156,156,156
Syria,87,87,87,87,87,87,87,87,NA,NA,NA,NA
Taiwan,138,138,138,138,138,138,124,93,93,93,93,93
Tajikistan,269,269,269,369,254,249,249,310,287,242,242,242
Tanzania,205,205,205,205,205,205,205,205,205,205,205,205
Thailand,146,146,146,146,146,146,146,146,146,118,103,103
"Timor Leste",207,207,207,207,207,207,207,207,207,207,207,207
Togo,300,300,300,300,300,300,300,300,166,163,163,163
Tonga,68,68,75,63,63,63,63,62,62,62,62,77
"Trinidad and Tobago",253,253,253,253,253,253,253,253,253,253,253,253
Tunisia,86,86,86,86,86,93,93,93,93,93,93,93
Turkey,143,143,143,143,143,143,143,124,107,104,103,103
Uganda,145,145,145,145,145,146,146,146,149,128,122,122
Ukraine,510,510,510,529,497,374,374,351,78,67,67,67
"United Arab Emirates",83,83,83,83,48.5,48.5,47.5,46.5,46.5,46.5,46.5,49
"United Kingdom",150,150,150,150,100,100,86,86,86,86,86,86
"United States",59,59,59,59,59,89,89,89,80.6,80.6,80.6,80.6
Uruguay,251,251,251,251,251,251,251,251,251,251,251,251
Uzbekistan,203,203,203,203,203,192,192,192,176,176,176,176
Vanuatu,59,59,59,59,59,59,47,62,62,64,64,64
Venezuela,381,381,381,381,381,381,381,381,381,381,381,434
Vietnam,166,166,166,166,166,166,166,166,166,166,166,166
"West Bank and Gaza",109,109,109,109,109,109,109,109,109,109,108,108
Yemen,109,109,109,109,109,109,109,184,184,184,184,184
Zambia,230,230,207,207,207,207,208,189,189,189,189,189
Zimbabwe,266,266,443,566,566,566,566,566,448,448,448,238
