Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,22,23,24,24,39,37,32,50,60,58,50,47,45,41,33,44,56,48,52,52,48,59,62,66,72,76,75,76,75,72,72,78,78,76,73,73,73
Albania,97,97,98,98,98,98,98,98,98,97,97,92,97,98,99,98,98,99,99,98,98,97,98,97,98,99,98,98,99,99,99,99,99,99,99,99,99
Algeria,,,,,,88,92,92,93,95,96,96,96,96,95,96,96,96,94,92,95,92,93,93,93,94,98,98,97,98,99,99,99,99,99,99,96
Andorra,,,,,,,,,,,,,,,,,,96,96,96,99,98,99,99,99,99,97,98,99,99,99,99,99,98,99,99,99
Angola,,,,25,28,28,31,31,33,41,48,51,45,55,52,48,53,66,59,51,44,55,62,64,69,54,57,73,88,79,93,88,83,79,81,77,79
"Antigua and Barbuda",77,92,92,99,97,99,98,98,98,99,99,97,99,99,99,99,99,99,99,99,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Argentina,69,73,80,82,83,86,86,91,93,93,95,93,93,93,94,95,94,96,96,96,96,96,96,96,99,99,93,94,97,94,95,94,94,94,98,94,97
Armenia,,,,,,,,,,,,,95,95,95,98,95,96,93,97,97,98,98,98,97,96,95,96,96,97,98,98,98,97,97,97,97
Australia,58,65,72,78,83,87,91,93,96,97,98,97,97,96,96,95,95,91,84,96,96,97,97,97,97,97,97,97,97,97,97,92,92,92,92,97,98
Austria,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,99,99,99,99,99,99,99,99,97,93,98,99,99,99,99,99,99
Azerbaijan,,,,,,,,,,,,,64,65,77,79,82,78,81,83,83,83,82,83,84,81,86,87,90,90,94,94,94,95,96,97,98
Bahamas,61,78,87,85,87,95,95,95,95,95,95,97,97,97,97,95,95,95,96,96,99,99,99,99,99,99,95,98,99,99,99,99,99,99,96,99,95
Bahrain,89,91,92,94,95,96,97,98,98,98,97,99,97,97,99,98,96,98,98,99,98,99,99,99,99,99,99,97,98,98,99,99,99,99,98,98,99
Bangladesh,,18,18,18,18,20,22,29,39,73,86,88,86,79,94,87,91,92,89,91,92,94,95,93,99,97,97,98,99,99,98,99,97,98,99,99,99
Barbados,82,80,83,87,94,94,92,92,91,92,97,94,96,95,96,97,95,98,96,95,93,92,92,91,97,97,94,93,85,93,94,95,96,97,98,99,99
Belarus,,,,,,,,,,,,,96,97,97,98,98,98,99,99,99,99,99,74,99,99,99,99,98,98,99,99,98,99,97,99,99
Belgium,98,98,98,98,98,98,98,98,93,97,97,97,98,98,98,97,98,95,96,97,97,97,97,97,97,98,99,99,99,99,99,99,99,99,99,99,99
Belize,72,77,74,81,77,81,98,87,90,88,97,94,96,96,96,94,95,95,95,96,96,97,97,98,98,98,98,98,98,99,99,98,99,96,96,97,98
Benin,,,,,,36,36,46,51,68,86,83,86,87,89,82,86,86,87,88,89,88,87,86,85,84,89,94,91,89,87,85,89,86,86,86,86
Bhutan,25,35,37,39,53,66,77,84,88,91,98,97,95,92,95,95,95,95,96,95,96,96,95,96,92,97,97,98,97,97,94,98,97,97,99,99,99
Bolivia,32,35,33,31,25,58,67,60,53,76,66,68,70,76,80,84,82,80,86,92,92,91,94,96,88,93,87,85,96,97,97,98,97,98,99,99,99
"Bosnia and Herzegovina",,,,,,,,,,,,,80,63,94,78,86,92,91,90,90,94,86,93,93,95,94,96,95,95,95,94,95,94,92,89,90
Botswana,89,93,97,97,98,98,98,93,96,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Brazil,62,72,79,82,87,86,80,80,80,79,86,92,88,91,50,85,75,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,89
Brunei,96,97,99,95,98,96,95,95,96,97,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99
Bulgaria,98,99,99,99,99,99,99,99,99,99,99,99,98,98,97,98,98,97,96,96,95,95,97,96,95,97,97,96,97,96,96,96,96,96,90,93,94
"Burkina Faso",,,,,,35,48,53,74,81,92,86,79,79,79,79,78,78,77,83,97,93,89,90,90,91,91,92,97,93,93,93,94,94,95,95,95
Burundi,,61,58,69,51,61,76,87,68,94,95,94,93,84,72,86,86,86,86,86,88,90,91,93,95,96,99,99,98,99,99,99,98,98,98,97,97
"Ivory Coast",,,,,42,50,55,56,56,67,77,64,73,77,72,64,70,77,74,77,85,81,76,71,73,83,95,93,89,95,95,75,93,89,93,99,98
"Cape Verde",,,,47,56,64,77,97,96,99,96,95,96,96,95,90,90,92,93,93,94,94,95,95,96,97,98,99,99,99,99,99,98,93,99,97,96
Cambodia,,,,,40,47,62,62,70,72,63,63,48,51,53,55,59,62,78,73,78,65,60,74,92,85,85,87,95,99,92,94,94,92,92,92,92
Cameroon,,18,31,44,46,52,58,63,68,73,70,67,62,62,63,71,71,72,71,69,66,70,75,79,80,85,87,90,93,88,92,90,94,95,93,92,92
Canada,,,,,,,,95,95,95,96,96,96,96,97,97,98,95,95,95,95,95,95,95,96,96,96,96,96,96,96,96,99,96,96,96,96
"Central African Republic",35,32,36,39,40,44,42,46,67,84,95,85,75,75,76,77,72,66,61,55,60,65,65,65,64,64,64,65,65,65,67,69,69,35,69,69,69
Chad,,,,18,21,21,31,36,36,44,44,41,31,35,41,41,44,48,47,45,45,44,45,45,35,46,58,50,47,45,55,55,57,58,60,60,60
Chile,97,99,99,96,99,99,96,97,98,98,98,97,96,96,97,97,97,96,97,97,98,99,98,98,94,92,95,98,96,94,93,98,90,92,99,97,99
China,,,,80,90,92,92,91,98,98,98,97,97,96,95,93,94,94,94,94,94,95,95,95,95,95,99,99,99,99,99,99,99,99,99,99,99
Colombia,39,44,51,67,82,82,72,80,90,92,96,94,92,94,95,95,95,94,95,95,91,82,93,94,90,97,97,97,97,97,96,95,91,97,91,93,93
Comoros,,,,,56,75,88,88,68,94,97,76,63,88,80,91,82,72,90,73,85,85,96,82,85,77,78,79,85,89,81,92,91,90,93,96,96
"Congo (Brazzaville)",67,67,72,74,77,77,88,89,89,92,92,90,86,82,78,74,62,47,46,46,45,44,50,62,67,73,81,80,93,92,90,90,90,90,95,85,85
"Cook Islands",65,71,75,80,72,92,95,94,97,96,97,95,95,99,95,97,91,97,98,98,99,97,99,96,99,99,99,99,99,99,99,98,98,98,99,99,99
"Costa Rica",95,95,93,95,97,96,96,97,95,95,98,96,96,96,96,95,95,97,95,92,90,91,98,89,96,97,89,90,90,91,96,87,92,98,91,93,99
Croatia,,,,,,,,,,,,,94,95,95,96,97,97,96,96,95,94,99,98,96,96,96,96,97,97,97,97,98,98,98,98,98
Cuba,86,87,99,99,95,97,99,95,98,98,97,99,97,99,99,99,96,99,99,95,98,99,99,90,89,99,98,97,96,98,96,99,99,99,99,99,99
Cyprus,59,79,51,59,55,82,97,97,96,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,98,98
"Czech Republic",,,,,,,,,,,,,,99,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98
"North Korea",74,76,75,76,86,78,82,95,95,98,98,98,96,96,91,84,74,54,56,58,61,63,65,70,75,83,91,93,93,94,94,95,97,94,94,97,97
"Congo (Kinshasa)",,41,40,39,52,62,57,63,66,63,60,39,47,54,51,47,41,41,44,46,49,49,47,53,66,68,71,78,73,82,71,85,81,79,81,82,80
Denmark,97,97,97,96,95,99,97,97,97,98,98,98,98,97,96,97,94,97,99,99,98,97,99,98,95,93,93,87,89,90,93,94,97,97,96,96,97
Djibouti,,,25,36,45,46,48,50,85,91,95,77,66,66,66,66,66,57,60,63,66,65,72,76,81,73,76,92,90,90,90,89,85,87,93,90,90
Dominica,84,98,99,97,94,97,97,98,98,97,97,98,99,99,99,99,99,97,99,99,99,99,99,99,99,99,98,98,96,99,99,99,98,98,99,99,99
"Dominican Republic",61,52,53,54,59,64,93,93,80,80,87,88,90,91,90,89,88,86,91,95,91,95,92,88,87,92,93,87,86,85,96,91,92,91,95,99,98
Ecuador,31,51,60,56,72,66,69,75,77,78,87,81,95,95,94,94,94,93,94,93,94,95,95,95,95,96,96,98,98,98,91,89,88,87,84,80,94
Egypt,80,80,80,80,87,94,93,93,95,96,95,91,92,93,94,96,96,96,97,98,98,99,98,98,98,98,98,98,98,97,97,97,94,97,96,94,96
"El Salvador",69,67,67,45,56,78,74,77,84,84,93,82,82,92,96,99,98,98,99,98,99,97,93,98,96,96,98,99,99,97,90,90,92,97,96,93,97
"Equatorial Guinea",,,,,,21,21,31,42,72,96,96,95,94,94,94,94,94,94,65,64,64,63,63,62,62,61,61,60,60,59,59,56,49,59,28,40
