Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,,,,,,,,,,,,,18.9,19.9,21.2,23.2,24.1,26,27.6,35.3,41,42.5
Belgium,,,,,,21.5,31.9,35.4,39.6,43,43.9,46,48,53.8,61.9,65.9,70.1,73.9,77,81.5,85.6,
Canada,,,,,,,,,24.3,27.3,30.8,33.4,36.9,40.4,42.7,46.5,50,51.2,53.1,54.9,55.5,55.9
Chile,,,,,,,,,,,,,,6,7.4,8.5,11.1,12.7,15.1,18.6,,
"Czech Republic",,,,,,,,,,16.5,18.8,21.9,24.5,27.5,32.3,33.6,39,43.2,45.2,46.3,48,
Denmark,,,,,,,,,20.9,24.1,28,34.7,39.2,44.8,53.5,60.8,65.4,67,60.3,75,82.1,
Estonia,,,,,,,,,8.5,10,11.6,13.9,25,36.6,37.4,48.4,46,46.8,51.2,55.7,48.8,
Finland,,,,,,,,,,,,,,,,23.3,24.4,28.5,30.9,31.9,39.2,
France,,,,,,,,,,,,38,44.1,48.3,55.1,60.2,67.5,82,90.8,95.8,104.8,
Germany,,,,,,,,,,,72.8,76,83.8,89.6,97,105.5,110.5,115.3,124.2,131.3,,
Greece,,,,,,,,,,,,,,99.3,91.45,83.6,75.75,67.9,,,,
Hungary,,,,,,,,,,,,28.7,28,30.9,31.5,31.8,32.8,34.1,34.8,35.9,38.1,
Iceland,,,,,,,,,,,,57.2,64.7,72.7,75.7,74.2,79.8,80.6,74.5,81.1,81.9,93.8
Israel,,,,,,,,,,,,,12.1,14.2,15.6,18.1,19.7,28,30.5,32.1,34.8,
Japan,,,,,,,,,,,,,,,,,,,,112.3,,
"South Korea",,,,,,,,,,,,,13.9,15.1,16.4,18.4,23.3,24.2,26.2,30,31.2,
Latvia,,,,,,,,,4.5,6,7.5,8.5,12.3,17.3,19.7,22.5,29.6,28.4,32.1,37.9,42.6,
Lithuania,,,,,,,,,,,,5.4,8.3,9,12.2,14.7,24,27.7,33.5,36.6,40.8,
Luxembourg,,,,,,,,22.1,35.3,54.2,55.2,58.7,60.2,64.9,75.5,80.3,81.5,82.2,84.3,83.5,82.5,
Netherlands,,,,,,,,,,,,,,38.6,43.6,49.1,50,50.4,50.8,51.2,51.8,
Poland,,,,,,,,,,,,,,,,,,23.3,24.8,27,28.4,
Slovakia,,2.5,2.4,3.5,2.3,3.1,3.5,3.5,5.2,7.9,9.8,13.3,20.8,24.3,29.9,33.5,34.7,40.9,46.3,51.6,56.8,
Slovenia,,,,,,,,,,8,9.7,12.9,14,19.1,20.7,23.9,31.5,33.2,36.2,36.9,42.4,
Spain,,,,,,,,,,,,,,,,59.6,63,64.5,69.5,77.4,78.3,
Turkey,,,,,,,,,,,,,,48.8,67.6,79.5,97.3,114.7,119.2,132.9,144.3,
"United States",34.2,36.4,40,43.1,49.5,56,63.2,76.1,83.4,84.4,85.6,89.1,91.3,93.4,95.8,97.6,102.7,104.8,106.9,109.6,117.8,120.7
