Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gambia,153,150.8,148.6,146.4,144.2,142,146.8,151.6,156.4,161.2,166,169,172,175,178,181,
Georgia,239,263,292,302,298,403,323,330,263,210,187,167.25,147.5,127.75,108,73.5,39
Germany,1015,925,955,859,868,869,808,757,722,803,793,738,659,682,716,682,963
Ghana,,433,401,436,452,393,412,399,430,427,422,423,,,,,
Gibraltar,,,,,,,,,,,1,,,,,,
Greece,,132,94,122,111,132,110,130,144,152,176,184,166,153,107,93,84
Greenland,13,17,12,5,11,10,8,8,8,10,11,1,8,7,4,4,3
Grenada,15,6,14,9,6,11,12,11,16,7,10,4,14,6,8,6,11
Guadeloupe,,,,,26,23,24,29,32,36,,,,,,,
Guam,2,8,2,8,9,7,11,1,1,5,3,4,,,,,
Guatemala,2904,3230,3631,4237,4507,5338,5885,5781,6292,6498,5960,5681,5155,5253,4998,4778,4520
Guinea,956,959.4,962.8,966.2,969.6,973,982.2,991.4,1000.6,1009.8,1019,1028.6,1038.2,1047.8,1057.4,1067,
"Guinea Bissau",162,161.8,161.6,161.4,161.2,161,161.4,161.8,162.2,162.6,163,164.2,165.4,166.6,167.8,169,
Guyana,76,80,143,209,131,142,153,115,158,117,140,130,139,155,149,149,142
Haiti,,,,,,,,486,498,598,677,914,1033,,,,
Honduras,3176,3488,3623,4073,3639,3212,3118,3588,4455,5280,6236,7104,7172,6431,5891,5148,5150
"Hong Kong",38,66,69,52,45,34,35,18,36,47,35,17,27,62,27,22,28
Hungary,205,254,203,228,209,164,174,154,181,139,138,145,124,154,146,221,202
Iceland,5,1,4,3.5,3,3,2.5,2,1.5,1,2,3,1,1,2,3,1
India,51344,49403,48711,44331,46490,45095,45099,45362,45999,45824,46460,47640,47478,45878,47356,44385,42678
Indonesia,2204,2014.3333,1824.6667,1635,1419,1407.25,1395.5,1383.75,1372,1311,1058,1467,1456,1386,1277,1491,1292
Iran,,,,1803,2015,2055,2095,2135,2175,2215,2170.5,2126,2081.5,2037,1936,,
Iraq,,,,,,,,,4596,2554,2691,2634,2697,3339,,,
Ireland,37,52,52,37,30,52,62,78,50,56,53,42,53,52,52,29,38
"Isle of Man",,,,,,,,,,,,1,2,2,3,1,
Israel,147,223,227,195,173,166,182,125,136,128,145,151,134,126,118,110,
Italy,766,709,644,719,714,610,625,631,615,590,529,552,530,502,475,469,400
"Ivory Coast",2681,2684,2687,2690,2693,2696,2672,2648,2624,2600,2576,2598.4,2620.8,2643.2,2665.6,2688,
Jamaica,887,1139,1045,975,1471,1674,1340,1584,1619,1683,1447,1133,1099,1201,1005,1208,1354
Japan,678,697,662,697,699,643,619,574,654,506,465,442,429,370,395,363,362
Jordan,,,,,,67,100,112,120,102,116,141,161,144,176,159,145
Kazakhstan,2325,2160,1967,1991,2091,2020,1949,1878,1807,1771,1387,1420,1266,1120,904,853,
Kenya,,,,,1200,1084,1106,1102,1215,1907,1926,2271,2374,2450,2305,2261,2363
Kiribati,3,4,4.4286,4.8571,5.2857,5.7143,6.1429,6.5714,7,1,4,11,8,,,,
Kuwait,,39,23,29,43,41,45,59,38,49,60,59,61,,,,
Kyrgyzstan,430,386,411,421,420,419,422,426,429,419,1072,494,301,206,216,304,267
Laos,572,568.2,564.4,560.6,556.8,553,542.8,532.6,522.4,512.2,502,495,488,481,474,467,
Latvia,238,219,214,202,181,126,128,94,99,108,70,69,70,50,64,67,
Lebanon,,,,,,,,,183,145,163,168,194,236,240,231,235
Lesotho,,,,,,,,895,752,723,764,712,641,658,777.5,897,
Liberia,,,,,,,,100,177,145,129,161,135,,,,
Libya,198,200.8,203.6,206.4,209.2,212,208,204,200,196,192,184.8,177.6,170.4,163.2,156,
Liechtenstein,,,,,1,1,1,1,1,1,1,1,1,1,1,,
Lithuania,370,353,293,344,343,372,288,277,298,252,219,211,202,198,159,172,153
Luxembourg,4,9,6,3,2,4,7,7,8,5,10,4,2.5,1,4,,
Macau,10,8,2,8,4,4,10,6,4,6,2,4,4,1,1,1,1
"Macedonia (F.Y.R.O.M.)",47,55,60,70,49,44,46,42,35,35,43,30,29,22,33,,
Madagascar,1793,1802.8,1812.6,1822.4,1832.2,1842,1861.8,1881.6,1901.4,1921.2,1941,1925.4,1909.8,1894.2,1878.6,1863,
Malawi,700,900,567,300,411,200,821,690,780,320,520,343,279,,,,
Malaysia,551,517,565,565,497,604,588,652,597,561,540,530,602,627,,,
Maldives,,7,8,4,3.75,3.5,3.25,3,5,6,6,3,10,3,,,
Mali,1413,1455,1497,1539,1581,1623,1665.6,1708.2,1750.8,1793.4,1836,1849.8,1863.6,1877.4,1891.2,1905,
Malta,4,6,6,6.5,7,4,4,4,6,4,4,3,12,7,6,4,
Martinique,,,,,19,19,23,23,17,11,,,,,,,
Mauritania,371,374.4,377.8,381.2,384.6,388,388.8,389.6,390.4,391.2,392,396.8,401.6,406.4,411.2,416,
Mauritius,26,30.3333,34.6667,39,35,37,50,45,48,38,33,34,29,35,19,21,23
Mayotte,,,,,,,,27,5,12,,,,,,,
Mexico,10737,10285,10088,10087,9329,9921,10452,8867,14006,19803,25757,27213,25967,23063,20010,20762,24559
Micronesia,4,4.2,4.4,4.6,4.8,5,5,5,5,5,5,5,5,5,5,5,
Moldova,433,411,401,319,277,296,262,217,236,246,267,304,229,169,130,,
Monaco,,1,1,1,1,1,1,,,,,,,,,,
Mongolia,,,,343,333,398,336,293,212,219,239,266,199,205,213,184,171
Montenegro,,,27,20,14,22,25,12,24,21,15,21,17,10,20,17,28
Montserrat,,,,,,1,1,1,1,1,1,1,1,,,,
Morocco,461,543,462,510,470,469,498,517,426,432,451,441,383,429,355,431,
Mozambique,,1100,1040,1044,1130,1089,894,849,995,823,875,849,,,,,
Namibia,380,353,346,349,352,352.5,353,353.5,354,388,314,308,388,,,,
Nepal,635,848,858,757,936,878,610,841,892,806,813,679,642,606,558,592.5,627
Netherlands,180,202,195,202,191,174,128,143,150,154,144,143,145,125,123,104,94
"New Caledonia",,,,,,,8,12,11,8,,,,,,,
"New Zealand",52,51,60,44,45,61,49,48,51,67,43,39,41,46,45,,
Nicaragua,476,537,554,635,646,729,722,714,736,802,785,738,673,594,525,524,453
Niger,,,,,,,,,,,,831,788,,,,
Nigeria,15605,15768.6,15932.2,16095.8,16259.4,16423,16537.6,16652.2,16766.8,16881.4,16996,17165.4,17334.8,17504.2,17673.6,17843,
"North Korea",1521,1458,1395,1332,1269,1206,1200.6,1195.2,1189.8,1184.4,1179,1165.2,1151.4,1137.6,1123.8,1110,
"Northern Ireland",45,57,38,42,34,31,30,29,24,29,23,22,21,20,17,23,18
Norway,48,37,46,51,36,33,33,30,34,29,29,111,27,46,29,24,27
Oman,,,28,35,42,53,121,37,47,37,48,34,39,97,26,,
Pakistan,8906,9593,9466,9346,9614,9782,10048,10556,12059,12491,13190,13860,13846,13937,13276,9486,8516
Palau,,,,,,,,,,,,,1,,,,
Panama,299,306,376,337,308,364,221,279,493,562,460,549,637,663,568,447,390
"Papua New Guinea",465,489.1667,513.3333,537.5,561.6667,585.8333,610,520,,,,,,,,,
Paraguay,995,1314,1372,1285,1209,887,742,783,833,821,741,657,649,604,578,617,
Peru,,,,,,,,,,,,1617,1968,2013,2076,2247,2435
