Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,,,,,,,,,,,,8.670946,8.66233,8.842023,8.56165,8.408304,8.335668,8.773431,8.292282,7.993175,8.096441,8.250443,8.612517,8.383824,8.247066,8.529261,8.10778,7.938629,8.125595,8.165342,8.21416,8.093035,8.025154,7.643921,8.009437,7.964472,8.138488,8.148689
Austria,,,,,,,,,,,,,,,,5.929936,5.928879,5.343266,5.507209,5.636091,5.109716,5.302796,5.215806,5.294329,5.885599,6.168601,5.797438,5.835649,5.656723,5.855881,6.004129,5.788541,5.858007,6.132026,5.901158,6.021841,5.629986,
Belgium,,,,,,,,,,,,,,,,10.04107,9.621607,9.400721,9.879198,8.19633,7.095805,6.990613,7.54739,7.057872,6.057563,6.365615,6.268127,6.574987,6.339561,6.658938,6.417245,6.552384,6.872954,6.73673,6.783141,7.087139,6.851719,
Canada,,,,,,,,,,,5.868558,5.968162,6.439505,7.027349,7.457525,7.587008,8.112161,8.981167,9.125824,8.91608,8.323344,7.66627,7.88518,7.826365,7.634355,7.833163,7.684179,7.889713,7.735795,8.453067,8.117107,8.01268,8.048994,8.241064,8.153416,8.308084,,
"Czech Republic",,,,,,,,,,,,,,,,,,5.176945,5.900903,6.512174,6.742126,7.003145,7.149135,8.262472,7.83085,7.136201,7.317192,7.511356,7.555471,8.213976,9.158524,9.900654,10.41566,9.787052,9.906128,9.578065,10.37416,
Denmark,,,,,,,,,,,,,,,,2.152117,2.731541,2.07988,2.125746,2.29524,2.352567,1.936054,1.85739,2.386152,2.330174,2.614173,2.728745,2.772003,2.653663,3.092863,3.346657,3.176741,3.373744,3.444984,3.272814,3.141238,3.090339,
Finland,,,,,,,,,,,,,,,,7.081567,7.937966,6.568178,6.185567,6.448404,5.929703,5.984776,6.242435,5.800866,5.584734,5.922769,5.638873,5.45714,5.962846,6.425871,6.096938,5.901806,6.176272,6.201616,6.507258,6.446892,6.306306,
France,,,,,,,,,,,,,,,,4.537051,4.231569,4.169144,3.930281,3.827319,3.777572,3.74054,3.633699,3.859624,3.606781,3.664171,4.123482,3.922779,3.696011,4.053119,4.522005,4.515449,4.58402,4.704423,5.22349,5.162974,5.254816,
Germany,,,,,,,,,,,,,,,,3.147684,3.403878,3.672672,3.595597,3.601621,3.723549,3.635988,3.655803,3.89906,4.117249,4.74745,4.768948,4.79411,4.683547,4.721663,4.783463,4.906285,4.858889,4.667675,4.552993,4.397393,4.372609,
Greece,,,,,,,,,,,,,,,,15.97664,16.10007,15.427,16.67365,17.2688,17.46383,16.71445,17.71302,17.82184,16.46663,16.38645,16.43435,15.74589,16.37979,16.42525,17.53839,18.29647,19.21065,19.6885,19.01702,18.21212,18.02437,
Hungary,,,,,,,,,,,,,,,,,9.955235,9.205925,8.758139,8.142074,6.500059,6.13511,5.792212,5.489822,5.870033,5.491167,4.941599,5.208452,4.970727,5.400982,4.981753,4.630382,4.94303,4.410026,4.188089,4.399686,4.457404,
Iceland,,,,,,,,,,,,,,,,5.263158,5.778491,7.479675,7.800312,7.280832,6.460674,6.469761,6.460674,4.608939,5.734266,4.395604,4.953146,4.539559,4.749679,4.868421,5.751634,5.974026,6.056701,5.786163,6.127451,5.727924,5.158265,
Ireland,,,,,,,,,,,,,,,,5.041658,5.372652,4.766408,4.401228,4.397163,4.167907,3.751617,3.81449,3.815666,4.021483,3.719966,3.449486,3.688659,4.149962,3.98285,4.300825,4.27189,4.136052,4.491476,4.654952,4.722886,4.694576,
Italy,,,,,,,,,,,,,,,,8.158676,8.007788,8.131258,8.294222,8.24518,7.529039,7.671644,7.474725,7.260726,14.07108,13.60385,13.52529,13.23498,12.68943,12.32474,12.31092,12.05403,12.20409,11.83353,12.39425,11.99918,11.93814,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.110568,3.17788,2.923285,2.767195,2.773592
"South Korea",21.54347,21.19738,21.91391,21.40345,19.00632,18.99537,20.51906,19.93044,18.96323,16.62472,16.0385,15.53991,16.16492,15.58425,15.38653,16.01548,16.10209,16.49296,16.11867,16.64867,16.20481,16.20509,16.06504,14.58059,15.16446,15.43145,15.39254,14.99084,14.46222,13.40565,12.87069,12.42692,12.16243,11.81628,11.44875,11.04423,10.65323,10.82324
Luxembourg,,,,,,,,,,,,,,,,2.977233,2.170284,3.020668,2.825746,2.773723,2.259887,2.300406,1.462766,5.687831,4.274611,4.820766,4.513064,3.928171,4.387991,4.319654,3.995794,4.963806,5.319149,5.358852,5.23897,5.199306,4.940375,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,21.11948,21.07192,21.15595,21.02816,22.17029,21.47029,21.79501,21.80169,21.87495,21.1898,21.47647,21.64183,20.95284
Netherlands,,,,,,,,,,,,,,,,6.843082,6.159867,6.116239,5.780742,5.671401,5.890779,6.368658,6.283226,5.665523,6.434211,6.462179,6.65906,6.83781,7.198453,7.371064,8.049242,8.134453,8.373697,9.006482,9.366525,9.912413,9.826845,
"New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33175,10.82863,9.62191,9.454374,10.18435,9.786951,10.81586,12.63054
Norway,,,,,,,,,,,,,,,,2.714255,3.31675,3.112723,3.182612,3.323089,3.258384,3.263138,2.856875,2.966825,2.907141,3.184173,3.21252,2.951051,2.836089,3.262083,2.941684,2.785112,2.896725,3.004005,3.292521,3.486739,3.261852,
Poland,,,,,,,,,,,,,,,,,,16.21016,15.33583,15.23759,15.01392,15.62357,15.14071,13.63346,13.38357,12.7651,12.23971,11.67802,11.39826,11.3005,11.4235,11.34713,11.02976,10.6024,10.2331,10.59357,10.19722,
Portugal,,,,,,,,,,,,,,,,17.18857,18.02532,18.43101,17.22472,16.88615,14.60664,15.89267,15.72436,16.20723,14.52229,14.91005,14.13593,13.53302,13.76989,13.0919,12.045,10.20769,10.1549,10.43738,8.705218,8.273787,7.745697,
Slovakia,,,,,,,,,,,,,,,,,,,2.311904,2.863937,2.592244,3.021303,3.119171,3.841087,5.228826,4.989796,5.398432,5.203992,5.936415,7.662614,7.14494,7.521602,7.944749,7.926948,7.950835,8.17722,8.509098,
Spain,,,,,,,,,,,,,,,,13.86451,13.33714,12.48353,11.77953,10.1088,9.529394,9.810586,8.945697,8.574463,8.514439,8.790965,8.327664,8.417858,8.228009,7.728945,7.610305,7.806995,8.317623,8.745992,8.581842,8.686191,8.609247,
Sweden,,,,,,,,,,,,,,,,4.411917,4.041783,4.093284,4.043302,3.691555,3.51048,3.660679,3.598485,3.381713,3.402628,3.468689,3.619516,3.66423,3.738711,3.965156,4.059093,3.756592,3.620873,3.851621,3.806761,3.781081,3.678343,
Switzerland,,,,,,,,,,,,,,,,,,,,,,7.112359,7.033797,7.864911,6.814291,6.963993,6.801512,7.039008,6.883981,6.654479,6.721522,6.417949,6.396874,6.251272,6.288619,6.514499,6.473537,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03544,11.03664,10.51345,12.27501,12.40093,11.21913,10.38611,10.34432,8.792819,8.56782,8.588534,
"United Kingdom",,,,,,,,,,,,,,,,5.10982,5.171955,5.265561,5.348042,5.420895,5.404789,5.169229,5.160336,5.632214,5.501568,5.62146,5.894457,6.012601,6.130609,6.444497,6.821283,7.038466,7.366389,7.510059,8.118435,8.164798,8.56636,
"United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.457914,6.354481,6.203463,6.256702,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,16.5678,16.95545,16.30539,16.03053,16.24694,15.70259,15.58595,15.48709,15.00259,14.70491,14.76255,15.2981,15.75317,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.81004,20.96291,20.45757,15.0726,16.49525,20.87113,21.73507,20.06408
Estonia,,,,,,,,,,,,,,,,,,2.045061,3.535874,3.627874,3.956199,2.793904,3.025988,3.368794,3.495545,3.181514,3.433754,3.533225,3.140175,3.254539,3.585515,3.13917,3.398558,4.076739,4.023384,4.454945,4.374364,
Israel,,,,,,,,,,,,,,,,3.714799,3.8199,3.9249,4.03,4.0867,4.1433,4.2,4.2867,4.3733,4.46,4.82,4.8634,4.9069,4.950283,5.625646,5.7,5.873584,6.1,6.276589,6.676356,6.749253,6.919155,
Slovenia,,,,,,,,,,,,,,,,,5.122438,5.125,5.169867,4.852161,4.118085,4.489394,4.225352,3.253253,4.093154,3.522459,3.558886,4.070305,3.721245,3.78477,5.299699,5.54366,5.332693,5.423477,5.705853,5.781898,5.470616,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38347,10.02552,9.472778,9.115743,8.225361,8.780988,8.788985,
Latvia,,,,,,,,,,,,,,,,,,,6.755594,5.91637,5.57554,5.094839,5.056424,4.751573,4.887803,4.865917,5.333608,4.670827,4.189944,5.193952,5.143513,5.442804,5.49931,5.544148,5.653383,6.08835,6.588881,
