Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,0.28,0.24,0.28,0.28,0.28,0.28,0.31
Albania,0.39,0.395,0.4,0.36,0.43,0.46,0.4633,0.4667,0.47,0.43
Algeria,,,,,,,,,0.43,0.43
Angola,,,,,,,,,0.35,0.36
"Antigua and Barbuda",,,,,,0.7,0.665,0.63,0.595,0.56
Argentina,0.39,0.41,0.43,0.37,0.39,0.43,0.4367,0.4433,0.45,0.44
Australia,0.74,0.73,0.72,0.73,0.77,0.75,0.745,0.74,0.73,0.73
Austria,0.79,0.77,0.75,0.81,0.82,0.83,0.8,0.77,0.8,0.8
Bahamas,,,,,,0.68,0.655,0.63,0.62,
Bangladesh,0.49,0.435,0.38,0.29,0.33,0.33,0.335,0.34,0.34,0.33
Barbados,,,,,,0.61,0.6,0.59,0.58,0.57
Belarus,,,0.59,0.43,0.48,0.51,0.5,0.49,0.48,0.47
Belgium,0.71,0.715,0.72,0.67,0.67,0.76,0.74,0.72,0.72,0.71
Belize,,,,,0.29,0.32,0.325,0.33,0.34,0.36
Benin,,,,,,,,,0.44,0.43
Bolivia,0.32,0.3,0.28,0.23,0.25,0.24,0.225,0.21,0.21,0.22
"Bosnia and Herzegovina",,,0.62,0.54,0.51,0.56,0.54,0.52,0.5,0.48
Botswana,,,0.72,0.665,0.61,0.52,0.5367,0.5533,0.57,0.59
Brazil,0.48,0.485,0.49,0.37,0.37,0.39,0.38,0.37,0.35,0.34
Bulgaria,0.3,0.345,0.39,0.41,0.44,0.41,0.4233,0.4367,0.45,0.45
"Burkina Faso",,,0.45,0.38,0.36,0.43,0.4433,0.4567,0.47,0.49
Cambodia,0.39,0.395,0.4,0.29,0.28,0.3,0.285,0.27,0.25,0.26
Cameroon,0.37,0.345,0.32,0.31,0.32,0.3,0.29,0.28,0.28,0.24
Canada,0.76,0.755,0.75,0.72,0.72,0.74,0.74,0.74,0.73,0.74
Chile,0.59,0.595,0.6,0.57,0.56,0.58,0.57,0.56,0.57,0.56
China,0.61,0.575,0.54,0.43,0.45,0.47,0.47,0.47,0.47,0.45
Colombia,0.43,0.43,0.43,0.35,0.34,0.34,0.34,0.34,0.33,0.34
"Congo (Kinshasa)",,,,,,,,,0.27,0.26
"Costa Rica",,,,,0.57,0.55,0.555,0.56,0.55,0.57
"Ivory Coast",,,,,,0.37,,,,
Croatia,0.5,0.515,0.53,0.55,0.58,0.54,0.53,0.52,0.51,0.51
"Czech Republic",0.76,0.73,0.7,0.67,0.69,0.73,0.735,0.74,0.7,0.71
Denmark,,,0.87,0.84,0.84,0.82,0.82,0.82,0.83,0.83
Dominica,,,,,,0.56,0.5567,0.5533,0.55,0.55
"Dominican Republic",0.48,0.475,0.47,0.37,0.37,0.34,0.335,0.33,0.34,0.36
Ecuador,,,0.44,0.33,0.35,0.36,0.37,0.38,0.35,0.36
Egypt,,,0.45,0.41,0.43,0.43,0.4233,0.4167,0.41,0.37
"El Salvador",0.4,0.325,0.25,0.31,0.34,0.34,0.32,0.3,0.29,0.31
Estonia,0.75,0.75,0.75,0.72,0.71,0.7,0.69,0.68,0.71,0.71
Ethiopia,0.42,0.455,0.49,0.45,0.39,0.33,0.335,0.34,0.33,0.34
Finland,,,0.87,0.85,0.85,0.85,0.85,0.85,0.84,0.83
France,0.68,0.685,0.69,0.65,0.66,0.65,0.65,0.65,0.63,0.62
Gambia,,,,,,,,,,0.42
Georgia,,,0.66,0.51,0.54,0.56,0.5467,0.5333,0.52,0.52
Germany,0.78,0.77,0.76,0.71,0.76,0.77,0.77,0.77,0.78,0.79
Ghana,0.55,0.5,0.45,0.44,0.5,0.47,0.4767,0.4833,0.49,0.49
Greece,,,0.5,0.46,0.49,0.51,0.51,0.51,0.51,0.5
Grenada,,,,,,0.65,0.605,0.56,0.5,0.5
Guatemala,0.42,0.395,0.37,0.3,0.3,0.29,0.295,0.3,0.32,0.3
Guinea,,,,,,,,,0.31,0.31
Guyana,,,,,,0.35,0.36,0.37,0.38,0.38
Honduras,,,,,0.21,0.25,0.245,0.24,0.26,0.26
"Hong Kong",0.85,0.805,0.76,0.775,0.79,0.8,0.76,0.72,0.71,0.72
Hungary,,,0.64,0.53,0.55,0.54,0.52,0.5,0.48,0.47
India,0.51,0.475,0.44,0.44,0.47,0.41,0.4067,0.4033,0.4,0.4
Indonesia,0.6,0.525,0.45,0.37,0.35,0.38,0.365,0.35,0.37,0.39
Iran,0.49,0.47,0.45,0.38,0.39,0.43,0.4267,0.4233,0.42,0.37
Italy,0.73,0.7,0.67,0.63,0.63,0.64,0.64,0.64,0.64,0.64
Jamaica,0.52,0.47,0.42,0.42,0.46,0.45,0.4667,0.4833,0.5,0.5
Japan,0.76,0.72,0.68,0.69,0.74,0.68,0.71,0.74,0.74,0.76
Jordan,0.55,0.535,0.52,0.56,0.55,0.59,0.595,0.6,0.58,0.57
Kazakhstan,0.49,0.475,0.46,0.4,0.42,0.41,0.42,0.43,0.44,0.46
Kenya,0.49,0.445,0.4,0.33,0.32,0.35,0.365,0.38,0.38,0.38
Kosovo,,,,,,,,,,0.47
Kyrgyzstan,0.36,0.355,0.35,0.33,0.34,0.33,0.325,0.32,0.31,
Lebanon,0.48,0.485,0.49,0.42,0.39,0.31,0.34,0.37,0.38,0.35
Liberia,0.3,0.325,0.35,0.33,0.32,0.26,0.285,0.31,0.32,0.31
Madagascar,,,0.49,0.35,0.35,0.4,0.38,0.36,0.34,0.36
Malawi,,,0.45,0.48,0.45,0.44,0.4433,0.4467,0.45,0.46
Malaysia,0.52,0.56,0.6,0.53,0.58,0.56,0.5533,0.5467,0.54,0.56
Mali,,,,,,,,,0.28,0.3
Mauritania,,,,,,,,,0.3,0.3
Mauritius,,,,,,,,,0.53,0.53
Mexico,0.3,0.325,0.35,0.25,0.31,0.29,0.295,0.3,0.29,0.3
Moldova,,,0.4,0.33,0.34,0.38,0.37,0.36,0.34,0.36
