Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Peru,4,4,4,4,4,4.5,5,5.5,6,5.5,5,5,5
Philippines,3,3,3,3,3,3.5,4,4.5,5,4.5,4,4,4
Poland,6,6.5,7,7,7,7,7,7.5,8,8,8,8,8
Qatar,,,,,8,8,8,7.5,7,6.5,6,6,6
Romania,6,6,6,6,6,6.5,7,6.5,6,6.5,7,7.5,8
Russia,4,3.5,3,3,3,3,3,3,3,3,3,3,3
Rwanda,5,4.5,4,4.5,5,5,5,5,5,5,5,5.5,6
"Saudi Arabia",3,3.5,4,4,4,4,4,4.5,5,5,5,5,5
Senegal,5,5,5,4.5,4,4,4,4.5,5,5.5,6,5.5,5
Serbia,5,5.5,6,6,6,6,6,6,6,6.5,7,6.5,6
"Sierra Leone",3,3,3,3.5,4,4,4,4,4,4.5,5,4.5,4
Singapore,9,9.5,10,10,10,9.5,9,9,9,9,9,9,9
Slovakia,7,7,7,6.5,6,6.5,7,7,7,7,7,7,7
Slovenia,9,8.5,8,8,8,8,8,7.5,7,7,7,7.5,8
Somalia,1,1,1,1,1,1,1,1,1,1,1,1,1
"South Africa",6,6.5,7,6,5,5,5,5,5,5,5,5,5
"South Korea",8,7.5,7,7.5,8,8,8,7.5,7,7,7,6.5,6
"South Sudan",,,,,,,,,2,2,2,2,2
"Sri Lanka",6,6,6,5.5,5,5,5,4.5,4,4,4,4.5,5
Sudan,2,2,2,2,2,2,2,2,2,2,2,2,2
Syria,3,2,1,1.5,2,2,2,1.5,1,1,1,1,1
Taiwan,9,8.5,8,8,8,8.5,9,9,9,9,9,9,9
Tajikistan,2,2.5,3,2.5,2,2,2,2,2,2,2,2,2
Tanzania,4,4,4,4,4,4,4,4,4,4,4,4,4
Thailand,6,5.5,5,5,5,5,5,5,5,5,5,5,5
Togo,3,3,3,3,3,3,3,3.5,4,4,4,4,4
Tunisia,4,4.5,5,4,3,3.5,4,4,4,3.5,3,3,3
Turkey,5,5,5,5,5,5.5,6,6,6,5.5,5,5,5
Turkmenistan,2,2,2,2,2,2,2,2,2,2,2,2,2
