Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Greece,1068,1116,1067,1057,1116,918,1055,1223,1580,1809,2095,2296,2689,3094,2879,2459,2528,2049,2017
Grenada,190,203,219,247,291,339,392,353,340,306,372,405,430,458,462,472,470,482,485
Guatemala,55,57,66,67,69,87,106,114,120,126,140,158,170,184,178,186,199,208,216
Guinea,17,15,14,14,14,12,12,12,13,12,9,9,13,14,17,20,21,26,29
"Guinea Bissau",24,19,15,12,10,16,15,17,19,20,23,23,28,33,35,35,36,37,40
Guyana,43,48,53,51,44,56,55,57,60,61,65,92,151,192,198,198,232,247,200
Haiti,23,24,25,27,27,26,23,20,17,23,20,30,35,39,44,54,77,75,65
Honduras,38,35,39,50,55,76,83,88,103,104,111,119,137,161,175,178,199,234,214
Hungary,323,315,309,335,345,326,374,495,706,828,923,922,1038,1146,977,1020,1099,991,1021
Iceland,2157,2225,2218,2718,3056,2966,2616,3151,3945,4522,5254,5094,6058,4892,3671,3690,3985,3857,4182
India,16,16,18,18,18,20,21,21,24,27,31,35,43,47,48,59,66,65,69
Indonesia,20,23,20,10,15,15,17,20,27,27,35,46,58,61,64,86,99,107,106
Iran,68,68,69,73,74,84,98,97,118,145,178,204,254,312,378,452,541,528,422
Iraq,,,,,,,,,16,56,55,59,97,147,147,145,164,294,339
Ireland,1239,1330,1405,1468,1568,1593,1878,2249,2925,3533,3737,3982,4704,5326,4962,4238,4310,4079,4157
Israel,1316,1421,1470,1429,1359,1490,1532,1367,1395,1446,1515,1593,1813,2145,2057,2248,2460,2515,2854
Italy,1462,1657,1628,1681,1675,1588,1656,1830,2246,2658,2789,2952,3211,3624,3488,3384,3559,3242,3295
Jamaica,97,123,176,187,173,200,186,179,162,183,171,187,230,273,229,256,273,303,306
Japan,2845,2455,2333,2196,2598,2839,2531,2451,2694,2927,2928,2791,2807,3256,3742,4110,4654,4749,3960
Jordan,132,139,143,159,163,171,183,188,185,200,210,220,248,321,363,341,358,354,337
Kazakhstan,48,58,67,70,49,51,51,59,75,112,150,194,212,306,295,401,461,522,582
Kenya,14,18,19,21,18,19,19,18,20,20,23,30,35,37,39,39,53,65,70
Kiribati,70,79,81,58,75,65,66,75,101,117,116,121,174,168,155,154,172,170,158
Kuwait,619,666,665,652,596,491,633,666,738,756,849,957,963,1052,1424,1041,1244,1309,1253
Kyrgyzstan,19,22,20,20,14,13,15,17,21,24,28,37,50,59,59,58,69,82,85
Laos,14,15,17,14,10,10,13,13,18,19,20,25,29,24,34,30,28,31,33
Latvia,115,140,159,175,195,196,216,252,301,397,456,613,915,1019,817,739,827,827,869
Lebanon,461,569,665,634,599,579,571,544,496,483,450,474,536,566,624,630,622,626,597
Lesotho,37,34,32,31,29,29,28,24,36,45,45,52,69,73,84,118,146,129,114
Liberia,,,,8,10,11,11,9,5,13,13,18,21,27,43,39,42,42,42
Libya,190,211,227,226,234,246,255,181,190,202,212,234,274,318,351,394,308,655,516
Lithuania,99,130,162,192,192,211,219,264,352,378,454,570,753,977,877,829,968,940,1020
Luxembourg,2842,2830,2490,2599,2891,3500,3405,4202,4988,6145,6488,7030,7329,8304,8126,7964,8334,7551,7981
Madagascar,10,13,12,11,11,13,14,14,15,12,14,15,19,21,20,20,19,15,19
Malawi,7,11,13,9,11,9,8,11,13,17,18,21,25,33,36,37,43,33,26
Malaysia,127,139,125,94,105,122,132,141,175,184,183,226,261,295,291,351,394,422,427
Maldives,95,111,122,150,158,178,181,181,209,236,350,350,368,614,611,556,590,674,860
Mali,15,22,19,17,17,15,17,17,22,25,27,28,32,34,34,33,36,36,46
Malta,610,664,645,691,690,687,695,851,1093,1280,1408,1495,1628,1806,1740,1754,2222,2217,2389
"Marshall Islands",713,412,408,385,374,466,412,418,411,449,462,547,588,569,551,542,566,583,624
Mauritania,28,22,22,25,29,25,20,24,24,28,29,30,36,38,40,40,40,43,47
Mauritius,130,137,128,128,127,146,147,168,192,225,230,240,268,358,353,,,,
Mexico,172,179,219,231,271,322,366,389,413,447,491,522,566,604,526,592,615,633,674
Micronesia,189,174,148,141,155,171,192,181,222,239,285,285,292,323,358,392,411,402,406
Monaco,3093,2991,2864,2889,3075,2684,2716,2987,4217,4902,4976,5096,5668,6619,6472,6410,6865,6552,7045
Mongolia,20,21,18,19,18,23,29,33,40,48,51,62,83,119,91,124,168,185,185
Montenegro,139,102,102,104,102,117,156,175,248,285,310,350,400,449,407,457,500,470,454
Morocco,48,52,50,55,55,53,57,73,88,99,99,112,133,154,162,166,183,179,184
Mozambique,8,8,10,11,13,15,12,14,15,16,21,21,21,24,25,22,33,32,34
"Burma (Myanmar)",2,2,2,2,2,3,2,3,4,5,5,5,7,10,13,15,19,24,18
Namibia,95,99,103,128,127,126,113,105,162,214,262,280,293,286,163,201,217,204,184
Nauru,461,417,377,316,320,292,270,295,344,317,327,341,439,680,512,567,656,834,702
Nepal,10,11,12,13,13,12,13,13,14,17,19,20,25,29,31,39,46,38,37
Netherlands,2262,2215,1974,2074,2112,1932,2079,2411,2987,3410,3994,4162,4802,5462,5355,5286,5649,5456,5688
"New Zealand",1203,1292,1308,1130,1158,1056,1059,1261,1624,1993,2307,2316,2714,3319,3145,3743,4251,4471,4662
Nicaragua,58,59,48,54,52,55,55,58,62,67,72,79,93,106,101,100,107,143,154
Niger,12,12,12,13,12,9,11,11,13,15,18,19,20,24,24,22,25,23,25
Nigeria,38,54,55,61,16,17,18,18,39,45,53,61,81,89,74,80,93,90,110
Niue,351,469,414,321,385,318,1450,464,577,818,669,3417,1229,1513,1553,1096,1599,1086,1112
Norway,2698,2869,3026,3166,3338,3165,3341,4154,4951,5453,5961,6276,7352,8194,7637,8164,9250,9361,9720
Oman,227,242,236,232,247,267,264,276,288,301,321,337,394,462,496,547,540,552,563
Pakistan,16,16,15,16,16,15,14,15,16,18,22,30,32,30,29,31,37,33,34
Palau,711,821,819,694,748,793,747,726,749,858,850,910,949,956,927,1024,979,1046,1090
Panama,223,240,252,266,264,298,295,313,307,352,348,355,387,480,551,640,678,735,906
"Papua New Guinea",30,33,36,28,27,26,37,41,44,59,51,52,40,50,53,59,91,98,101
Paraguay,113,119,124,111,110,125,108,78,70,81,92,116,148,216,238,294,376,398,469
Peru,97,100,100,99,96,95,98,101,101,112,128,140,166,201,224,254,282,331,346
Philippines,37,41,41,31,35,33,29,28,33,35,47,55,66,78,81,94,102,116,127
Poland,197,238,228,264,249,247,292,328,354,411,495,555,706,957,815,868,931,870,882
Portugal,876,940,892,933,985,1056,1071,1182,1507,1777,1876,1919,2194,2458,2404,2352,2332,2000,2059
Qatar,602,653,673,636,631,652,731,828,1459,1564,1603,1591,1564,1556,1619,1483,1717,2032,2068
"South Korea",453,509,469,321,437,505,536,590,700,790,994,1204,1383,1261,1221,1505,1650,1715,1870
Moldova,30,40,42,36,19,23,28,38,45,61,76,101,134,194,189,197,210,243,225
Romania,53,53,66,70,68,73,79,97,147,193,255,294,424,541,457,483,508,468,535
Russia,113,147,195,122,77,96,119,142,167,213,277,368,490,719,632,727,880,963,1024
Rwanda,9,10,13,14,11,9,9,8,13,15,20,34,34,38,38,44,47,51,52
"Saint Kitts and Nevis",315,343,354,362,405,490,495,497,480,489,531,697,717,850,686,727,808,790,875
"Saint Lucia",232,269,256,221,247,275,284,293,304,336,353,403,458,504,545,568,546,601,575
"Saint Vincent and Grenadines",166,175,203,200,199,137,145,168,174,179,185,218,246,299,317,293,309,538,342
Samoa,61,62,74,75,83,79,79,84,96,107,116,131,164,153,160,201,236,214,289
"San Marino",2302,2313,2000,2102,2196,2008,2040,2165,2475,2809,2834,2822,3227,3615,3562,3501,3801,3628,3473
"Saudi Arabia",221,239,252,238,317,373,373,356,369,385,454,526,556,558,640,655,829,961,1052
Senegal,22,23,20,21,24,22,24,26,35,42,41,44,45,54,49,46,48,44,47
Serbia,82,150,167,113,65,66,111,174,231,273,305,373,549,672,576,541,628,560,645
Seychelles,329,328,400,380,386,350,336,349,382,401,405,422,376,278,242,314,386,458,530
"Sierra Leone",26,27,26,19,21,21,30,34,35,34,39,38,41,47,57,46,59,70,92
Singapore,741,772,766,712,636,662,526,632,827,828,1061,1171,1315,1551,1656,1842,2086,2310,2532
Slovakia,222,254,230,235,218,208,216,256,360,566,628,763,1082,1406,1483,1378,1415,1377,1417
Slovenia,785,812,798,856,880,831,883,1000,1281,1435,1520,1637,1881,2298,2271,2083,2225,2069,2115
"Solomon Islands",47,46,49,43,46,48,61,48,45,46,69,63,67,72,92,95,84,102,102
"South Africa",311,296,305,268,263,245,222,202,308,380,414,419,454,441,487,618,687,661,601
"South Sudan",,,,,,,,,,,,,,,,,,26,27
Spain,1129,1178,1063,1109,1136,1045,1089,1213,1688,1975,2121,2313,2690,3072,2995,2847,2954,2651,2644
"Sri Lanka",25,26,27,32,31,33,32,35,39,46,51,58,61,70,71,84,96,93,120
Sudan,21,15,17,17,15,15,16,18,22,29,35,54,83,115,110,119,120,113,119
Suriname,108,141,202,223,171,179,132,159,173,209,247,329,347,413,464,489,501,577,592
Swaziland,87,88,87,84,79,75,64,58,97,130,159,180,190,214,227,250,270,267,273
Sweden,2292,2565,2298,2337,2396,2282,2268,2600,3277,3666,3727,3947,4526,4886,4357,4694,6662,6522,7000
Switzerland,4308,4292,3718,3870,3841,3541,3752,4190,5002,5570,5637,5643,6126,7104,7277,7808,9387,9196,9472
Syria,51,59,58,55,57,58,57,57,61,62,64,67,77,89,93,95,86,71,69
Tajikistan,3,6,6,8,7,7,8,8,11,16,20,23,28,40,39,47,55,63,71
Thailand,100,117,100,68,69,66,60,73,79,87,95,109,133,161,163,182,213,227,230
"Macedonia (F.Y.R.O.M.)",199,200,176,185,162,160,150,178,224,241,244,255,281,331,309,312,336,319,316
"Timor Leste",,,,,,17,21,21,13,15,19,18,11,32,32,37,40,51,57
Togo,13,14,14,13,13,12,11,12,16,18,20,21,24,30,34,27,30,30,32
Tonga,87,96,98,92,103,92,96,92,106,115,167,159,171,170,145,163,172,197,205
"Trinidad and Tobago",216,217,208,200,253,268,305,352,449,522,654,633,797,932,939,819,892,1001,1084
Tunisia,127,126,114,124,130,119,119,125,148,175,178,190,213,243,255,271,305,298,309
Turkey,96,118,131,156,189,207,156,190,243,313,386,447,560,628,522,566,557,555,588
Turkmenistan,43,17,31,33,34,44,59,63,95,122,127,129,115,84,76,87,113,133,166
Tuvalu,104,154,119,122,137,232,248,241,414,374,406,450,466,414,357,547,676,564,649
Uganda,18,19,20,20,19,19,21,22,22,30,37,41,48,53,50,65,58,53,52
Ukraine,51,60,69,56,38,36,45,55,73,91,118,148,196,254,199,233,251,290,311
"United Arab Emirates",737,733,756,801,795,814,798,879,908,915,935,999,1101,1339,1333,1349,1473,1433,1551
"United Kingdom",1364,1437,1543,1661,1769,1763,1840,2071,2462,2964,3177,3426,3937,3864,3491,3491,3649,3649,3685
Tanzania,7,7,9,9,10,10,12,14,16,18,22,31,24,27,26,36,41,46,49
"United States",3788,3944,4116,4302,4522,4788,5140,5576,5995,6369,6741,7122,7512,7786,8023,8269,8524,8790,8988
Uruguay,756,676,615,687,562,537,469,294,236,477,582,657,577,741,827,1030,1212,1322,1465
Uzbekistan,30,42,43,40,39,30,25,21,21,24,28,36,49,61,76,76,91,116,123
Vanuatu,40,35,44,53,48,48,46,48,64,74,73,81,88,99,103,140,126,117,124
Venezuela,183,142,151,172,201,235,257,180,159,204,255,327,437,447,671,684,564,613,606
Vietnam,14,16,17,17,18,20,23,22,25,30,37,43,55,63,73,83,94,120,134
Yemen,40,23,20,21,22,25,27,27,35,38,43,52,58,70,66,68,65,74,79
Zambia,20,23,28,25,24,24,25,26,35,39,52,63,48,67,54,64,71,83,88
Zimbabwe,,,,,,32,29,29,26,28,26,20,17,16,32,36,46,57,61
