Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,16.22,18.97,20.65,20.47,17.71,11.26,14.1,16.97,10.76,28.9,28.9,30.63
Albania,68.85,69.08,69.77,69.69,72.1,72.22,72.26,72.41,72.55,96.5,96.97,96.29
Algeria,49.61,52.81,60.43,60.72,62.47,61.06,61.72,63.28,63.74,24.15,24.15,24.15
Angola,13.81,21.23,24.42,17.93,25.89,27.31,35.23,39.34,40.15,19.27,19.27,19.27
"Antigua and Barbuda",73.82,74.4,74.85,77.68,78.08,78.59,77.98,73.01,73.08,62.01,62.01,65.76
Argentina,46.36,47.76,51.43,56.3,61.66,63.7,66.79,59.03,63.38,62.85,62.85,65.36
Armenia,54.19,54.7,61.36,56.81,56.02,63.98,63.94,64.68,64.46,81.75,86.45,86.45
Australia,79.57,79.89,80.3,79.13,80.5,80.88,80.95,81.22,81.06,70.82,70.65,70.65
Austria,87.99,88.13,88.36,86.78,86.93,87.06,87.18,87.81,87.93,100,100,100
Azerbaijan,23.84,24.23,25.99,26.62,35.75,31.72,36.26,40.83,41.16,71.48,71.48,72.28
Bahamas,,,78.98,79.21,79.33,78.21,78.12,77.97,77.29,41.09,53.07,53.07
Bahrain,,,74.59,75.1,74.48,74.3,76.13,76.77,76.84,71.87,71.87,72.5
Bangladesh,46.05,46.67,56.55,56.29,59.09,59.08,59.26,59.51,60.15,34.86,34.86,34.86
Barbados,,,,,,,83.61,83.44,83.18,61.88,61.88,61.88
Belarus,30.6,30.6,30.6,32.8,34.57,35.18,35.18,46.05,56.77,93.71,93.71,93.71
Belgium,83.67,83.91,84.14,84.29,84.49,84.6,85.06,85.24,85.41,100,100,100
Belize,69.48,69.74,70.22,70.63,70.86,70.59,70.64,72.2,72.86,68.13,68.13,68.13
Benin,53.93,54.34,54.62,54.81,57.42,57.6,57.45,58.26,64.12,44.19,60.33,59.89
Bhutan,41.8,42.71,43.5,43.34,44.14,37.11,38.3,40.51,40.77,94.25,94.25,94.25
Bolivia,54.71,55.75,57.87,62.83,64.31,63.96,65.14,66.85,66.59,68.41,68.41,68.41
"Bosnia and Herzegovina",66.94,67.33,67.74,69.42,69.6,68.81,69.35,69.55,69.6,91.87,91.87,91.87
Botswana,38.75,42.79,44.69,43.61,43.98,44.07,47.56,51.42,51.38,85.93,85.93,85.93
Brazil,67.85,68.53,68.02,69.81,71.48,66.85,65.03,66.11,64.36,52.37,54.2,55.57
Brunei,,77.52,77.91,77.13,77.66,76.9,80.26,81.14,81.02,56.88,56.88,57.69
Bulgaria,64.35,65.18,74.38,72.55,74.29,74.78,76.05,76.68,77.99,97.45,97.45,97.41
"Burkina Faso",19.57,20.48,20.32,20.3,25.09,27.49,29.05,30.26,28.1,66.58,66.58,66.58
Burundi,12.54,12.54,12.54,12.54,16.65,18,22.31,27.47,33.52,47.38,47.38,47.38
"Cape Verde",68.4,68.36,71.13,70.87,71.14,71.04,70.91,71.08,71.33,64.74,64.74,64.74
Cambodia,49.8,50.38,50.7,60.51,61.23,65.31,65.49,65.5,65.87,67.28,67.28,67.28
Cameroon,51.88,52.2,52.65,50.66,50.39,47.64,48.3,48.78,49.12,15.99,15.99,15.99
Canada,85.69,86.05,86.34,84.38,85.48,85.25,85.59,86.21,86.26,88.36,88.36,88.36
"Central African Republic",7.73,8.5,8.58,6.43,4.96,4.78,4.78,4.78,9.44,58.64,58.64,58.64
Chad,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,10.68,40.12,40.12,40.12
Chile,79.8,80.24,80.91,80.32,80.35,80.56,80.93,81.4,81.52,80.56,80.56,80.56
