Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,67123,67123,67123,76923,81707,83333,90099,92929,93000,89109,70297,83654,85849,84259,85185,79630,47222,70093,68269,70192,71569,71429,72340,73333,71591,74419,74324,71429,72727,71838,41973,43674,46106,48960,51814,54668,57522,60376,63230,66084,68938,71793,74560,79462,80737,80000,80000,80000,100000,100000,100000,100000,100000,100000,101418,105125
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,100000,100000,100000,218182,202308,333333,139271,149626
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8557,8736,8915,9094,9272,9451,9630,9809,9988,10166,10345,10524,10703,10450,8795,9750,10917,11175,11414,11632,12222,12222,12222,12225,12398,12217
Angola,50000,50000,50000,51429,53571,53571,55714,57143,57857,58571,58571,57241,57931,58621,55556,57143,58621,57143,57143,57143,56115,56115,56835,56115,54676,55396,56835,57554,56115,53627,54650,57140,59629,62118,64607,67097,67219,64051,57692,57778,67312,69768,72243,74966,70748,77472,77819,118678,119212,117753,125938,72344,81024,97431,104914,102749
Australia,,,,,,,,,,,,,,,,,,,,,,,,,68333,108000,24167,16667,59667,121594,119041,118168,118182,120000,119694,119403,120482,120000,125000,124112,122357,121500,119584,120000,125000,125926,122822,118510,115755,113181,107692,111111,113199,115863,115887,115612
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,35000,32500,35000,32000,40000,40000,40000,40000,36000,40000,30000,50000,15000,20000,28571,37500,37500,70000,43750,43750,46250,50000,45000,44905
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91176,87771,87536,87308,87090,91186,85909,85174,89775,59891,57180,69898,72661,79167,78261,70364,70140,70365
China,23077,22989,23077,23077,23009,23333,23333,23333,23333,21818,27273,27273,27273,27419,27419,26415,30303,28788,30108,31304,30769,31333,30952,31250,24324,37353,38333,38235,35538,48039,64200,46607,61091,73021,77818,74138,84228,117433,148304,119266,144516,145968,135714,143056,141800,137875,200943,269652,257412,259032,228149,277477,425666,280552,286424,316458
Taiwan,78274,70819,69980,83560,87941,97969,87827,93383,87185,107940,78136,71368,85288,56186,50188,53277,52736,131960,135997,82346,85122,88959,99292,108174,116583,116909,105544,130490,128745,145258,133435,131516,134253,109660,134813,167093,167002,139848,141612,148043,149724,130131,125514,146659,118038,144664,131878,137247,139441,160793,166166,159387,154484,169790,149297,152411
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,166595,168293,166667,166785,175957,175920,176190,174419,171073,168024,165283,161210,158052,165314,156049,153190,151561
"Ivory Coast",24000,56000,44000,30000,56250,46250,80000,85000,62778,94500,119662,83959,91455,105550,116550,117698,93677,77558,78571,125043,133516,119882,111191,152211,85274,101579,95191,100653,128034,73777,101449,106519,111819,113200,110184,111538,111084,107715,117004,117944,118074,122881,129825,129403,126618,124647,124657,124667,124677,124686,124696,124706,124716,124726,124736,124746
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,71767,71900,93817,80083,82633,66667,66552,75000,58182,54545,48077,51923,50000,51923,52500,55000,55294,81395,77778,70000,70000,50000,50000,51590,54455,54930,55672,55435,55435,55556,55489,54343
