Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,36.9,29.9667,23.0333,16.1,20.8333,25.5667,30.3,33.15,36,47.8,59.6,47.9,50.575,53.25,55.925,58.6,
Albania,,,,,,,,,,,,,,,,,95.3,92.95,90.6,92.7667,94.9333,97.1,97.15,97.2,97.25,97.3,,,,,,,
Algeria,,,,,,,,,58,60.625,63.25,65.875,68.5,71.125,73.75,76.375,79,79.85,80.7,82.875,85.05,87.225,89.4,89.8714,90.3429,90.8143,91.2857,91.7571,92.2286,92.7,,,
Angola,,,,,,,,,,,,,,,,,,65.6,67.9667,70.3333,72.7,75.0667,77.4333,79.8,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,82,90.95,99.9,95.95,92,95,100,99.9,99.9,100,100,,,,,,,,
Argentina,,,,,,,,,,95,95.3125,95.625,95.9375,96.25,96.5625,96.875,97.1875,97.5,97.925,98.35,98.775,99.2,99.0429,98.8857,98.7286,98.5714,98.4143,98.2571,98.1,,,,
Armenia,,,,,,,,,,,,,,82,85.4667,88.9333,92.4,92.52,92.64,92.76,92.88,93,94.22,95.44,96.66,97.88,99.1,,,,,,
Australia,,,,,,,,100,99.9,99.8,99.7,99.6,99.5,99.4,99.3,99.2,99.1,99,98.9,98.8,98.7,98.6,98.5,98.4,98.3,,,,,,,,
Austria,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,98.3,87.5333,76.7667,66,70,71.32,72.64,73.96,75.28,76.6,79.62,82.64,85.66,88.68,91.7,,,,,
Bahamas,,,,,,,,,,,,,,,,87,89.2,91.4,93.6,94,98,98,98,98,,,,,,,,,
Bahrain,,,,,,,,,,,,97.1,97.3417,97.5833,97.825,98.0667,98.3083,98.55,98.7917,99.0333,99.275,99.5167,99.7583,100,,,,,,,,,
Bangladesh,,,,,,,,,,,25.7,25.9333,26.1667,26.4,28.7,31,33.3,39.8,39.75,39.7,48.7,48.2,47.7,51.7,52.0667,52.4333,52.8,54.6,53.55,52.5,63.9,,
Barbados,,,,,,,100,98.7778,97.5556,96.3333,95.1111,93.8889,92.6667,91.4444,90.2222,89,98,99,100,100,100,100,100,100,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,99.9,99.8167,99.7333,99.65,99.5667,99.4833,99.4,99.4429,99.4857,99.5286,99.5714,99.6143,99.6571,99.7,,,,
Belize,,,,,,,,96,96.2857,96.5714,96.8571,97.1429,97.4286,97.7143,98,95.9,100,99,98,96.6667,95.3333,94,94,99.2,98.45,97.7,96.95,96.2,,,,,
Benin,,,,,,,,,,,,,77.8,78.46,79.12,79.78,80.44,81.1,81.7,82.3,82.9,83.5,84.1,84,83.9,83.8,83.7,83.6,83.5,83.15,82.8,,
Bhutan,,,,,,,,,,,,,,,,,51,57.9333,64.8667,71.8,75.85,79.9,83.95,88,91.1,94.2,97.3,97.6,97.9,,,,
Bolivia,,,,,,46,47.3,48.6,49.9,51.2,52.5,56.625,60.75,64.875,69,75.8,82.6,81.4333,80.2667,79.1,80.44,81.78,83.12,84.46,85.8,86.875,87.95,89.025,90.1,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,99.2,99.15,99.1,99.05,99,98.95,98.9,96.9167,94.9333,92.95,90.9667,88.9833,87,,,,
Botswana,,,,,92.2,92.5833,92.9667,93.35,93.7333,94.1167,94.5,94.8833,95.2667,95.65,96.0333,96.4167,96.8,96.4143,96.0286,95.6429,95.2571,94.8714,94.4857,94.1,,,,,,,,,
Brazil,,,74,75.17,76.34,77.51,78.68,79.85,81.02,82.19,83.36,84.53,85.7,87.2857,88.8714,90.4571,92.0429,93.6286,95.2143,96.8,97.2,97.4,97.8,96.7,97.45,98.2,,,,,,,
"British Virgin Islands",,,,,,,100,99.9333,99.8667,99.8,99.7333,99.6667,99.6,99.5333,99.4667,99.4,99.3333,99.2667,99.2,99.1333,99.0667,99,,,,,,,,,,,
Brunei,,,,,,,,,,,100,99.9333,99.8667,99.8,99.7333,99.6667,99.6,99.5333,99.4667,99.4,99.3333,99.2667,99.2,99.1333,99.0667,99,,,,,,,
"Burkina Faso",,,,,,,,,,58.6,58.95,59.3,59.65,60,60.35,60.7,63.875,67.05,70.225,73.4,77.2667,81.1333,85,87.475,89.95,92.425,94.9,,,,,,
Burundi,,,,79,78.9231,78.8462,78.7692,78.6923,78.6154,78.5385,78.4615,78.3846,78.3077,78.2308,78.1538,78.0769,78,80.88,83.76,86.64,89.52,92.4,93.7,95,96.3,97.6,98.9,,,,,,
"Cape Verde",,,,,,,,,,,,,,,99.3,99.0571,98.8143,98.5714,98.3286,98.0857,97.8429,97.6,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,34.3,36,37.7,44.02,50.34,56.66,62.98,69.3,73.26,77.22,81.18,85.14,89.1,90.65,92.2,93.75,95.3,,
Cameroon,,,,,,,,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,77.05,75.3,77.3,79.3,81.3,83.3,82.65,82,82.54,83.08,83.62,84.16,84.7,84.0667,83.4333,82.8,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
"Central African Republic",,,,,,,,,,,,66.9,65.92,64.94,63.96,62.98,62,63.2167,64.4333,65.65,66.8667,68.0833,69.3,69.025,68.75,68.475,68.2,,,,,,
Chad,,,,,,,,,,,,,,23.4,29.4667,35.5333,41.6,40.925,40.25,39.575,38.9,41.2833,43.6667,46.05,48.4333,50.8167,53.2,55.3,57.4,59.5,61.6,63.7,
Chile,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,69.7,72.2,76.3,78.7,83.7,85.9,87.1,89.3,89.4,90.3,90.1,88.9,89.7,89.8,89.7,90.9,91,92.2,94.1,93.7,95,95.6,,,
Colombia,,,,,,,82,82.12,82.24,82.36,82.48,82.6,84.24,85.88,87.52,89.16,90.8,91.34,91.88,92.42,92.96,93.5,94.2,94.9,95.6,96.3,97,,,,,,
Comoros,,,,,,,,,,,,,84.5,81.95,79.4,76.85,74.3,74.475,74.65,74.825,75,77.1375,79.275,81.4125,83.55,85.6875,87.825,89.9625,92.1,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,68.2,71.05,73.9,76.75,79.6,82.45,85.3,86.4667,87.6333,88.8,88.7,88.6,88.5,88.4,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,85.8,86.7714,87.7429,88.7143,89.6857,90.6571,91.6286,92.6,,,,
"Costa Rica",,,,,,,,,95,90.9333,86.8667,82.8,78.7333,74.6667,70.6,69.6,74.02,78.44,82.86,87.28,91.7,91.7,91.7,90.8,89.9,92.6333,95.3667,98.1,,,,,
"Ivory Coast",,,,,,,,,,,83.2,83.42,83.64,83.86,84.08,84.3,87.6,87.54,87.48,87.42,87.36,87.3,84.8,85.7667,86.7333,87.7,88.6667,89.6333,90.6,,,,
Croatia,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
Cuba,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.25,98.5,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,
"Czech Republic",,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,67,75.4333,83.8667,92.3,91.5333,90.7667,90,89.2333,88.4667,87.7,,,,
Dominica,,,,,,,90,91.1,92.2,93.3,94.4,95.5,96.6,97.7,98.8,99.9,100,100,100,100,100,100,100,100,100,,,,,,,,
"Dominican Republic",,,,,,,,96.9,97.18,97.46,97.74,98.02,98.3,98.175,98.05,97.925,97.8,98.15,98.5,98.125,97.75,97.375,97,98.9,98.9667,99.0333,99.1,99.1667,99.2333,99.3,98,,
Ecuador,76.2,76.05,75.9,75.75,75.6,75.45,75.3,75.15,75,74.85,74.7,73.225,71.75,70.275,68.8,71.3667,73.9333,76.5,79.0667,81.6333,84.2,,,,,,,,,,,,
Egypt,,,,,52.8,52.5667,52.3333,52.1,52.9,48.3,43.7,39.1,45.55,52,47.2,50.05,52.9,58.1667,63.4333,68.7,69.15,69.6,70.9333,72.2667,73.6,76.3833,79.1667,81.95,84.7333,87.5167,90.3,,
"El Salvador",,,,,,,,,,68.7,70.16,71.62,73.08,74.54,76,78,80,82,84,86,87.6,89.2,90.8,92.4,94,94.3333,94.6667,95,95.3333,95.6667,96,,
"Equatorial Guinea",,,,,,,,,,,37,45.1833,53.3667,61.55,69.7333,77.9167,86.1,86.5727,87.0455,87.5182,87.9909,88.4636,88.9364,89.4091,89.8818,90.3545,90.8273,91.3,,,,,
Eritrea,,,,,,,,,,,,48.9,51.9571,55.0143,58.0714,61.1286,64.1857,67.2429,70.3,72.575,74.85,77.125,79.4,81.675,83.95,86.225,88.5,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,26.7,26.88,27.06,27.24,27.42,27.6,30.0833,32.5667,35.05,37.5333,40.0167,42.5,42.0667,41.6333,41.2,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,
Finland,,,,,,,,,,100,99.9818,99.9636,99.9455,99.9273,99.9091,99.8909,99.8727,99.8545,99.8364,99.8182,99.8,,,,,,,,,,,,
France,,,,,,,,,,99,99.0727,99.1455,99.2182,99.2909,99.3636,99.4364,99.5091,99.5818,99.6545,99.7273,99.8,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,94.4,94.425,94.45,94.475,94.5,94.525,94.55,94.575,94.6,94.625,94.65,94.675,94.7,,,,
Gambia,,,,,,,,,,,,,,,,,90.7,91.8833,93.0667,94.25,95.4333,96.6167,97.8,97.875,97.95,98.025,98.1,94.1333,90.1667,86.2,,,
Georgia,,,,,,,,,,,,,,74,84.65,95.3,95.4667,95.6333,95.8,95.9667,96.1333,96.3,96.56,96.82,97.08,97.34,97.6,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
Ghana,,,,,82.4,83.06,83.72,84.38,85.04,85.7,86.06,86.42,86.78,87.14,87.5,88.38,89.26,90.14,91.02,91.9,91.9667,92.0333,92.1,96.1,90.1,92.2,94.3,96.4,94.4333,92.4667,90.5,,
Grenada,,,,,,,100,99.7778,99.5556,99.3333,99.1111,98.8889,98.6667,98.4444,98.2222,98,85,92,99,99,99.5,100,100,100,,,,,,,,,
Guatemala,,,,35.4,37.5375,39.675,41.8125,43.95,46.0875,48.225,50.3625,52.5,54.275,56.05,57.825,59.6,67.8333,76.0667,84.3,85.5714,86.8429,88.1143,89.3857,90.6571,91.9286,93.2,92.8833,92.5667,92.25,91.9333,91.6167,91.3,
Guinea,,,,,,,,,57.6,59.4714,61.3429,63.2143,65.0857,66.9571,68.8286,70.7,74.1,77.5,80.9,84.3,83.25,82.2,85.3,88.4,87.76,87.12,86.48,85.84,85.2,,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,62.1,64.7333,67.3667,70,72.6333,75.2667,77.9,81.575,85.25,88.925,92.6,92.55,92.5,92.45,92.4,,
Guyana,,,,,,,,,,,,,,,90,85.45,80.9,95.3,92.65,90,94,98,89.7,81.4,86.75,92.1,91.82,91.54,91.26,90.98,90.7,,
Haiti,,,,,,71,70.45,69.9,69.35,68.8,68.25,67.7,69.92,72.14,74.36,76.58,78.8,79.75,80.7,81.65,82.6,83.55,84.5,85.4667,86.4333,87.4,88.3667,89.3333,90.3,,,,
Honduras,,,,86.1,86.44,86.78,87.12,87.46,87.8,86.9,86,85.1,84.2,83.88,83.56,83.24,82.92,82.6,84.42,86.24,88.06,89.88,91.7,92.5167,93.3333,94.15,94.9667,95.7833,96.6,,,,
India,,,,,,,,,,61.9,62.4333,62.9667,63.5,64.0333,64.5667,65.1,61.8,63.8667,65.9333,68,70.0667,72.1333,74.2,74.7,75.2,,,,,,,,
Indonesia,,,,,,,,76.3,78.3,80.3,82.3,84.6667,87.0333,89.4,89.0333,88.6667,88.3,89.3667,90.4333,91.5,90.05,88.6,90.38,93.3,92.65,94.51,92.7,94.2,95.7,95.4,,,
Iran,,,,,,,,,,,,,,76.5,79.225,81.95,84.675,87.4,90.125,92.85,95.575,98.3,98.02,97.74,97.46,97.18,96.9,,,,,,
Iraq,,,,,,,,,,,,,78,77.675,77.35,77.025,76.7,77.8833,79.0667,80.25,81.4333,82.6167,83.8,82.58,81.36,80.14,78.92,77.7,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,
Jamaica,,,,,,98,98.125,98.25,98.375,98.5,98.625,98.75,98.875,99,93.8,98.4,66.6,70.1,98.1,95.5667,93.0333,90.5,93.3333,96.1667,99,98.5667,98.1333,97.7,,,,,
Jordan,,,,,,,80.2,82.4,84.6,86.8,89,91.2,93.4,95.6,96.2,96.8,97.4,98,98.6,98.64,98.68,98.72,98.76,98.8,98.86,98.92,98.98,99.04,99.1,,,,
Kazakhstan,,,,,,,,,,,,92.5,92.975,93.45,93.925,94.4,95.1857,95.9714,96.7571,97.5429,98.3286,99.1143,99.9,99.76,99.62,99.48,99.34,99.2,,,,,
Kenya,,,,,,77.2,81.625,86.05,90.475,94.9,94.3,93.7,93.1,92.5,91.9,84.05,76.2,80.1667,84.1333,88.1,88.6667,89.2333,89.8,90.3667,90.9333,91.5,92.3,93.1,93.9,94.7,95.5,94.5,
Kiribati,,,,,,,,,,,88,88.8571,89.7143,90.5714,91.4286,92.2857,93.1429,94,94.8571,95.7143,96.5714,97.4286,98.2857,99.1429,100,88.4,,,,,,,
"North Korea",,,,,,,,,,,,,,,,,97.1,97.4222,97.7444,98.0667,98.3889,98.7111,99.0333,99.3556,99.6778,100,,,,,,,
Kuwait,,,,,,,,,,,,,95,95.4545,95.9091,96.3636,96.8182,97.2727,97.7273,98.1818,98.6364,99.0909,99.5455,100,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,97.3,97.2556,97.2111,97.1667,97.1222,97.0778,97.0333,96.9889,96.9444,96.9,96.9167,96.9333,96.95,96.9667,96.9833,97,97.7,98.4,,
Laos,,,,,,,,,,,,,,,,,,26.5,27.05,27.6,28.15,28.7,35.1,44.075,53.05,62.025,71,62.6,54.2,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,87,88.2286,89.4571,90.6857,91.9143,93.1429,94.3714,95.6,95.6,95.6,,,,,,,,,,,,
