"Data Item",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"Physical abuse per 100000",713.3334,721.6667,731.6667,716.6667,713.3334,713.3334,691.6667,673.3334,585,496.6667,471.6667,463.3334,458.3334,470,420,396.6667,383.3334,351.6667
"Sexual abuse per 100000",686.6667,686.6667,680,656.6667,618.3334,561.6667,538.3334,503.3334,445,393.3334,371.6667,358.3333,366.6667,368.3333,346.6667,340,323.3333,321.6667
