Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,,,,,,,,,,,,,,,,,,,4.19,4.66,5.13,5.6,6.07,6.54,6.758,6.976,7.194,7.412,7.63,7.64,8.33,8.58,7.84,8.04,8.05,8.79,8.24,7.73,7.74,7.72,8.06,7.8,7.9,7.96
Algeria,6.27,6.296,6.322,6.348,6.374,6.4,5.984,5.568,5.152,4.736,4.32,4.106,3.892,3.678,3.464,3.25,3.52,3.79,4.06,4.33,4.6,5.022,5.444,5.866,6.288,6.71,6.498,6.286,6.074,5.862,5.65,5.42,4.73,4.26,4.26,4.84,4.21,4.06,3.49,3.54,3.38,3.71,3.17,3.4,3.46,3.56
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,3.48,3.92,3.97,6.05,5.34,4.96,4.92,5.27,5.4,5.96
Argentina,5.96,5.894,5.828,5.762,5.696,5.63,5.724,5.818,5.912,6.006,6.1,5.924,5.748,5.572,5.396,5.22,5.412,5.604,5.796,5.988,6.18,6.588,6.996,7.404,7.812,8.22,8.132,8.044,7.956,7.868,7.78,7.94,7.73,7.82,8.15,7.56,7.48,7.43,6.4,6.25,5.81,5.43,5.24,5.17,4.94,4.87
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,7.75,7.76,7.85,8.76,8.13,8.19,8.73,8.62,8.05,7.72,7.12
Australia,5.08,5.006,4.932,4.858,4.784,4.71,4.784,4.858,4.932,5.006,5.08,4.948,4.816,4.684,4.552,4.42,4.606,4.792,4.978,5.164,5.35,5.416,5.482,5.548,5.614,5.68,5.788,5.896,6.004,6.112,6.22,6.13,6.18,6.17,6.14,6.38,6.77,6.85,6.8,6.12,6.67,6.7,6.67,6.72,6.57,6.59
Austria,5.76,5.39,5.02,4.65,4.28,3.91,3.756,3.602,3.448,3.294,3.14,3.122,3.104,3.086,3.068,3.05,3.062,3.074,3.086,3.098,3.11,3.052,2.994,2.936,2.878,2.82,3.21,3.6,3.99,4.38,4.77,4.84,4.78,5.15,5.19,5.23,5.18,5.16,5.07,4.85,4.9,5.26,5.25,5.13,5.12,5.09
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,5.02,5,4.54,4.86,4.62,4.34,4.96,4.95,5.03,5.14,5.19
Bahamas,,,,,,8.4,8.41,8.42,8.43,8.44,8.45,8.454,8.458,8.462,8.466,8.47,8.478,8.486,8.494,8.502,8.51,8.446,8.382,8.318,8.254,8.19,8.11,8.03,7.95,7.87,7.79,8.22,8.14,8.17,8.14,8.06,8.23,8.27,8.29,8.12,8.13,8.15,8.14,8.05,8.1,7.97
Bahrain,,,,,,5,5.452,5.904,6.356,6.808,7.26,7.008,6.756,6.504,6.252,6,5.982,5.964,5.946,5.928,5.91,5.964,6.018,6.072,6.126,6.18,6.304,6.428,6.552,6.676,6.8,6.79,6.59,6.52,6.8,6.48,6.34,6.83,6.58,6.57,7.04,6.84,6.74,6.79,6.8,6.77
Bangladesh,,,,,,5,4.86,4.72,4.58,4.44,4.3,4.306,4.312,4.318,4.324,4.33,4.864,5.398,5.932,6.466,7,7.134,7.268,7.402,7.536,7.67,7.75,7.83,7.91,7.99,8.07,8.07,8.07,8.1,8.04,8.62,8.87,8.86,8.83,9.09,9.09,9.07,8.84,8.85,8.83,8.83
Barbados,8.11,7.658,7.206,6.754,6.302,5.85,5.934,6.018,6.102,6.186,6.27,6.292,6.314,6.336,6.358,6.38,6.388,6.396,6.404,6.412,6.42,6.416,6.412,6.408,6.404,6.4,6.49,6.58,6.67,6.76,6.85,6.94,6.13,6.45,5.25,4.59,3.94,3.14,4.28,5.06,5.95,6.1,6.23,6.31,6.37,6.3
Belgium,5.43,5.142,4.854,4.566,4.278,3.99,3.916,3.842,3.768,3.694,3.62,3.616,3.612,3.608,3.604,3.6,3.718,3.836,3.954,4.072,4.19,4.16,4.13,4.1,4.07,4.04,4.146,4.252,4.358,4.464,4.57,4.57,4.49,4.35,4.31,4.34,4.31,4.3,4.2,3.91,3.99,3.93,3.92,3.94,3.91,3.93
Belize,,,,,,5.47,5.412,5.354,5.296,5.238,5.18,5.15,5.12,5.09,5.06,5.03,4.996,4.962,4.928,4.894,4.86,5.156,5.452,5.748,6.044,6.34,6.408,6.476,6.544,6.612,6.68,6.67,5.63,6.94,6.96,7.84,7.73,7.53,7.41,7.43,6.98,7.54,7.56,7.08,7.04,7
Benin,4.37,4.596,4.822,5.048,5.274,5.5,5.334,5.168,5.002,4.836,4.67,4.456,4.242,4.028,3.814,3.6,3.714,3.828,3.942,4.056,4.17,4.144,4.118,4.092,4.066,4.04,4.176,4.312,4.448,4.584,4.72,6.57,7.25,7.21,7.17,7,7.72,6.72,6.62,6.61,6.23,6.21,5.22,6.33,5.36,5.8
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,7.75,7.75
Bolivia,5.94,6.292,6.644,6.996,7.348,7.7,7.132,6.564,5.996,5.428,4.86,5.274,5.688,6.102,6.516,6.93,6.906,6.882,6.858,6.834,6.81,6.76,6.71,6.66,6.61,6.56,6.842,7.124,7.406,7.688,7.97,7.51,7.32,6.68,6.18,6.14,6.2,6.31,6.36,6.3,6.31,6.3,6.29,6.28,6.26,6.17
