Country,2012,2013,2014,2015,2016
Albania,8.807526645,18.40506195,24.72814329,30.87251166,40.57831435
Algeria,,,,20.79293501,40.11471924
Angola,,1.544946001,12.10801161,,
Argentina,11.71360585,12.40327278,16.20209513,53.63235404,67.30220349
Armenia,11.39889369,27.61440116,31.01842862,34.20192427,41.2928793
Australia,42.83426876,96.22714878,110.5063358,112.233645,112.8616227
Austria,43.32359612,55.53502438,62.82635552,67.19342881,68.57301811
Azerbaijan,21.50198855,33.29132185,43.92521528,46.83458669,60.92240585
Bahrain,9.549048571,67.12858178,109.685168,126.1860814,131.7833152
Bangladesh,,0.202337432,0.363239655,6.410119399,13.45227229
Barbados,,36.42589152,41.45529152,48.1577,54.86013037
Belgium,19.35384194,33.72734058,45.96313234,57.78796025,66.5866702
Benin,,0.349556953,1.5934,2.837197191,4.237447504
Bhutan,,2.489995909,15.60573886,28.17117583,56.41133296
Bolivia,1.865295257,6.713448286,13.88043519,28.13402959,33.84715455
"Bosnia and Herzegovina",9.225878598,10.86926969,19.3167,27.76414434,33.48415733
Botswana,1.526538628,16.59301873,74.13544013,49.74214983,67.31016305
Brazil,20.90686841,36.63486617,51.46066,78.13922848,88.62233063
Brunei,6.332001439,7.603198899,6.5619,5.5205,4.479172257
Bulgaria,14.51759873,40.28184858,58.2653082,66.41144431,81.29043769
"Burkina Faso",,,8.952367365,,
Burundi,,,0.002741237,0.534210864,7.562608097
"Cape Verde",2.996494102,22.53514995,42.64307061,51.25715545,72.92859742
Cambodia,2.23695146,6.906878699,9.565846275,13.96003575,42.8047378
Cameroon,,,,,4.274759482
Canada,32.91454001,50.03762396,41.04601306,59.79777694,56.31803022
Chad,,,,,1.375945611
Chile,17.1370029,27.95783258,35.58745128,50.46690543,57.60713169
China,9.463066297,17.24289905,21.3602878,41.79550551,56.03121455
Colombia,3.68217955,4.946956836,7.87238285,45.06123335,40.97119219
"Congo (Kinshasa)",,,,,8.473373831
"Costa Rica",2.00991204,14.52918138,72.06148148,86.88922395,95.51648584
"Ivory Coast",,,,24.55550827,40.39471838
Croatia,6.550996915,52.26043995,65.34023014,68.52148527,75.41988084
Cyprus,24.09929032,33.76527455,31.60407864,42.12095142,54.80524944
"Czech Republic",43.0593681,43.95363932,45.31779783,62.82264423,68.80540704
Denmark,80.24478367,87.5177954,107.302438,115.7681203,116.7951876
"Dominican Republic",7.708244313,15.43737275,25.4055913,30.08573311,39.60841653
Ecuador,10.31706891,22.20304666,26.5373,30.87164246,35.08798485
Egypt,21.02966835,26.85055733,31.13889209,43.49516174,50.66165751
"El Salvador",3.580896383,5.512338587,6.037674905,34.3957754,19.94129476
Estonia,41.96571971,72.54206344,77.4072811,117.0024872,114.26622
Ethiopia,0.283238438,0.440727364,4.783719272,7.549356164,11.94543856
Finland,87.09749906,106.522253,123.4685071,138.4716479,144.0503154
France,43.95977346,52.1606674,57.11505511,66.22703118,74.65349266
Gabon,,,,,33.1201651
Gambia,0.506727369,1.218614658,1.241440913,8.043200622,10.02410561
Georgia,20.54182627,22.3825918,16.35061433,21.76725404,50.44903753
Germany,34.80906231,41.00109504,44.73408598,63.61039074,75.09507642
Ghana,23.02242394,33.30182148,39.85370088,59.77542773,66.82096363
Greece,31.77868436,44.48125289,36.06584837,40.97584883,45.64818652
