Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,,,,,,,,,,,,,,81470,77495,78241,78987,84599,
Australia,,,,,,,,,,,,,28050,28830,28850,35410,36204,36879.5,37555,
Austria,,,,,,,,11579,11340,11666,11562,11939,20335,28731,14010,13894,11112,11178.5,11245,11459
Belgium,,,,,,,,16979,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,174,198,,,,
Brazil,,,,,,,,,,,,,,,172582,,,,,
Bulgaria,,,,,,,1429,1305,1353,1214,1165,1234,,,,,,,,
Chile,46716,42856,37727,40987,40888,43354,44368,44998,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,16363,15685,,,,
"Dominican Republic",,,,,,,,,,,,398,,,,,,,,
"El Salvador",,,,4775,6150,3381,4089,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,1328,1601,1545,1652,1627,1766
Finland,,,,,,,,,,,,,15439,15865.5,16292,16178.5,16065,,,
France,130654,135898,143112,156042,158958.2,161874.4,164790.6,167706.8,170623,175407,186449,188617,183756,192706,,,,,,
Guyana,,,175,,,,,,,,,,,,,,,,,
Hungary,6727,6889,6928,7200,6928,7167,7549,7244,7427,6962,6386,7132,7259.5,7387,7514.5,7642,7769.5,7897,8024.5,8152
Ireland,,,,,,,,,,,,,10232,13417,,,,,,
Italy,98303,102481,117251,126115,122106,117193,116217,115541,113386,111674,110062,107122,103701.3333,100280.6667,96860,87195,80991,79521,74220,75391
Latvia,,,,,,,,,,,,,442,,,,,,,
Macau,,,,1431,1447,1535,1634,1853,1966,1060,2176,1982,2819,2869,3163,3496,3445,3419,3415,
Malaysia,,,,,,,,,,,,,,,,,5259,5184,5109,
Malta,,,,,552,498,538,500,506,518,499,524,467,514,461,472,499.6667,527.3333,555,667
Mauritius,,,,,,,,,,,,,,,111,66,84.6667,103.3333,122,112
Mexico,,,,,,104052,95350,98050,103088,111695,117321,128411,,,,,,,,
"Antilles (Netherlands)",323,264,282,,,,,,,,,,,,,,,,,
"New Zealand",4869,3790,438,4564,5132,5708,5892,5878,6173,6876,6649,7736,5916,5414,,,,,,
Panama,,,2022,1296,1834,1955,1681,1516,1566,1027,1067,,,,,,,,,
Peru,,,,,,,,,,,,,,,433,1078,1699,929,159,
Romania,1071,904,833,816,875,823,816,846,790,857,799,844,672,701.5714,731.1429,760.7143,790.2857,819.8571,849.4286,879
"Saint Vincent and Grenadines",,,53,18,21,13,8,15,15,11,23,31,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,2350,
Slovakia,,,,,,,,,,,,,,,2750,2739,2768,2809,2850,3192
Spain,102310,118657,143457,164011,173927,169871,176993,177371,179745,187776,200934,193732,163191,155436,143674,134659.5,125645,132692,139827,
"Sri Lanka",,,342,356,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,1133,
"United Kingdom",,,,,,,,,,,,,,,,,,33801,,
