Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.33,5.75,6.46,6.46,6.46,6.46,6.46
Albania,64.17,64.17,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61,62.61
Algeria,3.71,3.78,4.01,4.15,4.2,4.3,4.37,4.37,4.37,4.37,4.37,4.41,4.46,4.5,4.55,4.58,4.61,4.64,4.67,4.7,4.77
Angola,5.83,5.83,5.83,5.83,5.83,5.83,5.83,6.15,6.15,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13
"Antigua and Barbuda",264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77,264.77
Argentina,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.94,8.13,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32
Armenia,25.86,28.8,28.81,28.81,28.72,28.63,28.53,28.44,28.35,27.48,26.61,25.74,24.87,25.67,25.65,25.27,25.23,25.27,25.9,25.91,25.91
Australia,10.47,10.7,10.9,11.11,11.34,11.57,11.79,11.79,11.79,10.48,10.48,10.49,10.5,10.5,10.47,10.49,10.51,10.53,10.55,10.63,10.66
Austria,128.58,133.79,130.02,154.31,154.15,155.03,153.88,154.29,159.01,158.53,158.58,158.96,159.34,159.69,142.83,125.98,127.89,127.82,127.36,127.37,131.39
Azerbaijan,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.29,64.71,61.13,61.13,61.13,61.13,61.13
Bahamas,15.99,16.35,16.64,17,17.29,17.65,18.01,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4
Bahrain,383.48,387.1,385.92,389.72,396.9,399.3,424.37,437.04,445.63,454.08,459.3,473.24,487.18,485.83,493.56,501.08,513.92,513.47,518.68,537.24,542.37
Bangladesh,130.56,135.7,152.63,152.25,117.07,141.68,136.4,139.71,142.18,144.09,144.09,151.43,158.78,166.13,90.28,14.43,14.43,14.49,14.58,14.6,14.77
Barbados,339.53,344.19,351.16,358.14,365.12,374.42,383.72,377.91,372.09,372.09,372.09,372.09,372.09,372.09,372.09,372.09,372.09,372.09,372.09,372.09,372.09
Belarus,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.82,44.95,45.66,44.64,43.63,42.61,41.59,41.61
Belgium,454.88,456.41,458.31,460.95,463.25,468.96,474.66,477.73,477.73,481.89,485.48,487.97,490.46,490.46,493.18,495.81,498.71,501.43,503.1,504,504.46
Belize,9.79,9.79,9.79,9.79,9.79,9.79,9.79,11.96,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Benin,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56,16.56
Bhutan,17.13,17.13,17.13,17.13,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,20.09,16.2,11.44,11.84,12.88,13.97,15.58,18.02
Bolivia,3.89,3.9,4.22,4.59,4.74,4.75,4.84,4.87,4.87,4.88,5.15,5.32,5.49,5.53,5.7,6.11,6.35,6.8,7.36,7.33,7.33
"Bosnia and Herzegovina",41.73,42.33,42.43,42.47,42.52,42.62,42.66,42.66,42.66,42.66,42.65,42.63,42.62,42.63,42.65,42.66,43.08,43.5,43.91,44.33,44.33
Botswana,1.39,1.4,3.15,3.15,3.15,3.27,3.4,3.52,3.65,3.77,3.89,4.02,4.14,4.34,4.2,4.43,4.43,4.43,4.43,4.43,4.43
Brazil,19.61,19.52,19.52,21.43,21.43,19.47,23.25,19.48,19.61,20.28,20.26,20.31,20.37,20.42,20.57,18.91,18.91,18.83,18.83,19.19,18.57
Brunei,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.39,58.38,59.38,60.21,51.38,51.51,53.1,52.5
Bulgaria,33.27,33.27,33.28,33.28,33.26,33.14,33.08,33.09,33.12,33.57,34.01,34.46,34.91,35.35,35.8,36.24,31.56,26.88,22.19,17.51,17.53
"Burkina Faso",33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,33.73,28.1,22.47,16.83,11.2,5.57,5.57
"Burma (Myanmar)",3.69,3.77,3.84,3.92,3.99,4.08,4.17,4.16,4.14,4.13,4.13,4.1,4.08,4.05,4.02,3.99,4.21,4.43,4.64,4.86,5.08
Burundi,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,52.03,50.09,48.15,46.21,44.28,44.28,44.28,44.28,44.28,44.28,44.28
Cambodia,19.77,19.76,19.76,19.76,19.76,19.76,19.76,19.76,19.95,20.15,20.35,20.54,20.74,20.94,21.13,21.28,21.43,21.58,21.73,21.88,21.88
Cameroon,7.19,7.18,7.19,7.19,7.19,7.21,7.21,7.21,7.21,7.21,10.52,10.59,10.66,10.73,10.8,8.42,6.04,6.05,6.07,6.07,6.07
Canada,8.27,8.51,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,10.73,12.42,14.11,14.11,14.11,14.11,14.11,14.11,14.11,10.44,10.44
