Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,887,753.2,619.4,485.6,351.8,218,1533.2857,2848.5714,4163.8571,5479.1429,6794.4286,8109.7143,9425,10740.2857,12055.5714,13370.8571,14686.1429,16001.4286,17316.7143,18632,19947.2857,21262.5714,22577.8571,23893.1429,25208.4286,26523.7143,27839,29154.2857,30469.5714,31784.8571,33100.1429,34415.4286,35730.7143,37046,38735,19903,12036.5,4170,10000,24639,4330,4499,3,41,37,33,1483.3333,2933.6667,4384,662,2369,3733,12,3957,45481,58064,677
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,1332,646,605,738,1165,286,262,220,2513,614,482,350,218,45,532.3333,1019.6667,1507,699,393,1299,684,69,93.5,118,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,1,268,263,934,88,407,726,2275.6,3825.2,5374.8,6924.4,8474,10023.6,11573.2,13122.8,14672.4,16222,15500,17601,9527,8590,3608,3525.5,3443,3295,1306,7901.1,14496.2,21091.3,27686.4,34281.5,40876.6,47471.7,54066.8,60661.9,67257,18422,10511,2019,1484,1810,1215,6655,213,145.5,78
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,889,188,474,637,12,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,40,32.4,24.8,17.2,9.6,2,1,1,2,2,1,4,1,2,1.5,1,1,1.5,2,2.5,3,5,3,5,2,2,5,4,1,2,5,3.5,2,2,3,3,3,3,3,6,5,3,2,2,1
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.6667,1.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Bahrain,,,,,,,,,,,,,,,,,1,11.4286,21.8571,32.2857,42.7143,53.1429,63.5714,74,37,210.8,384.6,558.4,732.2,906,39,38.1389,37.2778,36.4167,35.5556,34.6944,33.8333,32.9722,32.1111,31.25,30.3889,29.5278,28.6667,27.8056,26.9444,26.0833,25.2222,24.3611,23.5,22.6389,21.7778,20.9167,20.0556,19.1944,18.3333,17.4722,16.6111,15.75,14.8889,14.0278,13.1667,12.3056,11.4444,10.5833,9.7222,8.8611,8,
Bangladesh,,29809,20894,21154,27631,15617,16642,23699,8054,15631,16915,15618,2663,2524,3975,3333,1123,3154,664,3156,7411,7419,2342,1059,1969,5614,4888,957,10403,5576,2154,1950.125,1746.25,1542.375,1338.5,1134.625,930.75,726.875,523,571,94,82,8,479,78,562,2297,418,1959,1067,3440,1021,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,135,6,19,26,2,28,12,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,175,2133,250,3,73,45,146,2,27,15,3,2,3,1,1,122,243,1689.2,3135.4,4581.6,6027.8,7474,413,10,187,203,6190,796,206,855,468,3943,270,434,642,749,91,538,985,74,983,755,625,528,832,796.5,761
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,494,337.6667,181.3333,25,23,21,19,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,22260,10134,2710,2293,2847,1632,466,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103,30317,59212,49455,15915,5522,2881,2571,4495,715,7,11.6667,16.3333,21,5,4.3333,3.6667,3,2.3333,1.6667,1,,,,,
Brunei,,,,,,,1,20.7,40.4,60.1,79.8,99.5,119.2,138.9,158.6,178.3,198,163.2,128.4,93.6,58.8,24,22.5,21,19.5,18,16.5,15,13.5,12,10.5,9,7.5,6,11.1176,16.2353,21.3529,26.4706,31.5882,36.7059,41.8235,46.9412,52.0588,57.1765,62.2941,67.4118,72.5294,77.6471,82.7647,87.8824,93,85.5,78,70.5,63,55.5,48,40.5,33,25.5,18,10.5,3,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,1,1761,1,1118,632,3,2.3333,1.6667,1,366,731,1096,1461,1826,2191,1149,1047,945,843,741,639,537,765.5,994,1222.5,1451,425,730.5,1036,93,617,477,239,1,525.5,1050,878.3333,706.6667,535,363.3333,191.6667,20,143,,,,
"Burma (Myanmar)",,4212,6753,347,22,35,42,13,10,7,3,259,1,1,3019,922,207,263,9,3,205,911,378,180,386,2363,2942,1519,2535,3551,874,1018,28,508.5,989,923.6667,858.3333,793,727.6667,662.3333,597,760.5,924,826,1758,421,1296,1199.7692,1103.5385,1007.3077,911.0769,814.8462,718.6154,622.3846,526.1538,429.9231,333.6923,237.4615,141.2308,45,35.3333,25.6667,16,174,33,400,103,782
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8297,915,2039,582,415,512,180,259,223.6,188.2,152.8,117.4,82,3,479,78,562,2297,418,1959,1067,3440,1021,1003,577,432,819,1309,886,365,234,355,333,1072,214,1557,582,442,434
