"Data Item",1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Million tons per year",1604.67,1567.756,1530.842,1493.928,1457.014,1420.1,1362.816,1305.532,1248.248,1190.964,1133.68,1107.634,1081.588,1055.542,1029.496,1003.45,1001.3,999.15,997,994.85,992.7,980,967.3,954.6,941.9,929.2,934.258,939.316,944.374,949.432,954.49,967.01,979.53,992.05
"Tons per acre per year",3.82,3.756,3.692,3.628,3.564,3.5,3.394,3.288,3.182,3.076,2.97,2.91,2.85,2.79,2.73,2.67,2.676,2.682,2.688,2.694,2.7,2.678,2.656,2.634,2.612,2.59,2.6,2.61,2.62,2.63,2.64,2.6633,2.6867,2.71
