Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Botswana,0.007,0.008,0.008,0.008,0.008,0.009,0.01,0.01,0.012,0.013,0.016,0.016,0.018,0.018,0.018,0.018,0.015,0.016,0.019,0.015,0.019,0.018,0.019,0.017,0.018,0.02,0.019,0.017,0.018,0.015,0.02,0.016,0.03,0.03,0.03
Brazil,1.89300992,1.987,2.205519996,2.524,3.027,3.368,3.398,3.441,3.528,3.721,3.764,3.917,3.971,4.101,4.270534964,4.479,4.845,5.076,5.491,5.896,6.375,6.167,6.714,7.031,7.155,4.338185374,4.590477467,4.664659225,4.770805811,4.937604151,5.254657525,5.459232037,5.486115918,5.574678485,6.012793508
Brunei,0.9461577,0.806,0.764,0.79,0.736,0.711,0.736,0.689,0.682,0.672,0.723,0.681,0.704,0.711,0.722,0.751,0.726,0.742,0.702,0.775,0.816,0.837,0.793,0.829,0.85,0.881,0.986,0.863,0.835,0.737,0.765,0.828,0.776,0.729,0.677
Bulgaria,0.294459534,0.318,0.346,0.367,0.38,0.362,0.379,0.393,0.40733005,0.40633005,0.367465842,0.336321304,0.32627918,0.345,0.352,0.393,0.417,0.39,0.392,0.347704181,0.38,0.380138717,0.403070277,0.372066887,0.365033231,0.341482246,0.356070737,0.334248293,0.342250452,0.32384252,0.336029622,0.406995584,0.369560166,0.330555896,0.361244084
"Burkina Faso",,,,,,,,,,,9.36E-05,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.001,0.001,0.000795366,0.001,0.000989497,0.000547649,0.000651072,0.000972,0.001,,,,,,,,,,
"Burma (Myanmar)",0.0860996,0.082,0.094,0.098,0.107,0.107,0.106,0.092,0.079,0.088,0.084,0.087,0.085795684,0.090634808,0.101476106,0.100476106,0.096318274,0.094317404,0.101317404,0.090317404,0.165,0.276,0.378,0.431,0.458,0.54,0.536,0.565,0.523,0.483,0.51,0.502,0.509,0.515,0.677
Burundi,2.08E-05,2.09E-05,2.09E-05,0.00024196,0.00040716,0.000480562,0.000637206,0.000979386,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000991922,0.000999698,0.001,0.001,0.001,0.00090144,,,,,,,,,,
Cambodia,0.000509012,0.000554009,0.00057497,0.000420801,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000497053,0.000420756,0.000149985,0.000168623,0.000158144,,,,,,,
Cameroon,0.140264144,0.208,0.258,0.268,0.316,0.426,0.408,0.402,0.381,0.396,0.377,0.36,0.332,0.303,0.261,0.269,0.264,0.3,0.294,0.251,0.22,0.202,0.184,0.18,0.183,0.179,0.194720426,0.18149068,0.177739496,0.167739496,0.141739496,0.139,0.147,0.149,0.18
Canada,10.12763118,9.935,9.93,10.184,11.116,11.771,11.683,12.321,13.134,13.034,13.109,13.639,14.187,15.082,16.007,16.473,16.862,17.006,16.997,17.26,17.728,17.841,18.194,18.116,18.503,15.1362394,15.59305405,15.75494372,15.1221395,14.55834924,14.60954878,14.77905838,15.20399877,15.8374507,16.71073158
"Cape Verde",,,,,,,,,,,,,,2.06E-05,5.16E-05,6.19E-05,7.24E-05,7.15E-05,8.16E-05,8.18E-05,8.16E-05,6.20E-05,6.10E-05,5.12E-05,6.01E-05,6.00E-05,6.94E-05,6.92E-05,5.91E-05,6.83E-05,,,,,
"Central African Republic",0.000685608,0.000679445,0.000710872,0.000673281,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.39,0.402,0.36,0.328,0.29,0.272,0.279,0.262,0.239,0.239,0.251
Chile,0.267042032,0.283,0.26,0.254,0.262,0.267,0.252,0.256,0.25,0.25,0.291,0.284,0.317,0.324,0.322,0.347,0.329,0.331,0.286,0.222,0.276,0.311,0.312,0.335,0.301,0.115069993,0.106069433,0.108088956,0.087374452,0.09577104,0.1,0.093,0.079,0.101,0.092
China,18.6917234,18.507,19.525,20.881,22.839,25.091,25.844,26.775,28.037,29.755,30.401,30.646,31.386,32.475,34.533,36.188,38.163,37.611,37.276,37.063,39.368,41.999,44.076,50.238,57.401,59.58291128,64.34676386,68.94736611,72.46217243,77.30808761,84.62477226,92.01492758,96.0035734,97.30293149,95.82866619
Colombia,0.652966136,0.661,0.745,0.773,0.917,0.999,1.362,1.521,1.581,1.74,1.904,1.826,1.847,1.94,2.01,2.376,2.613,2.723,2.928,3.083,2.939,2.945,2.759,2.946,3.048,2.770489951,2.952624897,3.066484316,3.319532116,3.52856608,3.842,4.385,4.564,4.635,4.673
Comoros,2.08E-05,2.09E-05,2.09E-05,2.10E-05,2.09E-05,2.09E-05,2.09E-05,2.08E-05,2.06E-05,2.09E-05,2.08E-05,2.09E-05,2.07E-05,2.06E-05,2.06E-05,2.06E-05,2.07E-05,2.04E-05,2.04E-05,2.05E-05,2.04E-05,2.07E-05,3.05E-05,4.05E-05,5.01E-05,,,,,,,,,,
"Congo (Brazzaville)",0.1390297,0.1766282,0.1906282,0.1867329,0.2597329,0.258,0.2544188,0.264,0.308,0.35,0.353,0.334,0.372,0.386,0.383,0.401,0.43,0.558,0.581,0.594,0.614,0.559,0.547,0.538,0.517,0.5,0.526,0.459,0.518,0.596,0.688,0.667,0.654,0.626,0.622
"Congo (Kinshasa)",0.09102696,0.09,0.095,0.104,0.121,0.126,0.126,0.126,0.123,0.124,0.122,0.116,0.12,0.112,0.112,0.129,0.129,0.113,0.106,0.103,0.119,0.116,0.114,0.112,0.118,0.045,0.046144085,0.051,0.046,0.05,0.049,0.047324192,0.046,0.047,0.046
"Cook Islands",,,,,,,,,,,,,1.03E-06,1.03E-06,1.03E-06,1.03E-06,1.03E-06,1.02E-06,1.02E-06,1.02E-06,1.02E-06,1.03E-06,1.02E-06,1.02E-06,1.30E-06,1.30E-06,1.29E-06,2.97E-07,2.96E-07,2.93E-07,,,,,
"Costa Rica",0.022,0.024,0.025,0.03,0.031,0.029,0.03,0.031,0.031,0.034,0.035,0.038,0.042,0.045,0.045,0.041,0.045,0.055,0.05,0.061,0.069,0.07,0.074,0.072,0.079,0.013479952,0.01559514,0.01469188,0.013,0.015,0.012,,,,
"Ivory Coast",0.016160132,0.033,0.037,0.061,0.062,0.074,0.055,0.052,0.039,0.017,0.018,0.017,0.014,0.012,0.027,0.036,0.073,0.082,0.087,0.1,0.093,0.092,0.09,0.106,0.12,0.131,0.18,0.166,0.185,0.181,0.151,0.138,0.145,0.143,0.148
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.2,0.21,0.211,0.208,0.215,0.186,0.19,0.187,0.181,0.19,0.166,0.171,0.179,0.103239976,0.10129757,0.113425012,0.11039416,0.11252704,0.107,0.09,0.089,0.085,0.079
Cuba,0.023911216,0.03132457,0.036324467,0.04128269,0.04812564,0.05425128,0.0572094,0.05781666,0.05174337,0.052,0.053,0.051,0.056,0.061,0.07,0.074,0.086,0.112,0.1,0.12,0.131,0.138,0.134,0.152,0.159,0.141010999,0.140010911,0.14304942,0.16319708,0.1541952,0.161,0.166,0.158,0.153,0.149
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-05,9.92E-06,9.88E-06,,,,,,,
"Czech Republic",--,--,--,--,--,--,--,--,--,--,--,--,--,1.568105116,1.441169543,1.397037299,1.442170007,1.389339085,1.281339085,1.154339085,1.251,1.281,1.286,1.363,1.379,1.305247284,1.332604139,1.333646485,1.286978598,1.233296815,1.219074151,1.266958456,1.252528533,1.145068768,1.111913107
Denmark,0.012782724,0.031324043,0.073292712,0.095631201,0.10869948,0.167908889,0.238,0.305,0.311,0.367,0.382,0.461,0.514,0.556,0.594,0.615,0.709,0.816,0.839,0.982,1.145,1.118,1.178,1.185,1.285,1.301019998,1.220019838,1.12,1.06,0.937,0.832,0.718,0.647,0.552,0.525
Dominica,9.35E-05,0.00010453,9.41E-05,0.0001578,0.00016704,0.000146258,0.000135798,0.000145866,0.000165184,0.000166912,0.000166432,0.000166976,0.000165472,0.000164944,0.000175372,0.000195928,0.00019646,0.00020426,0.000275319,0.000327232,0.000326432,0.000278991,0.00030519,0.000293625,0.000340544,0.0003,0.0002,0.0001,0.0001,4.88E-06,,,,,
"Dominican Republic",0.007,0.009,0.009,0.009,0.007,0.011,0.01,0.01,0.009,0.006,0.004,0.006,0.006,0.012,0.006,0.007,0.009,0.007,0.008,0.012,0.008,0.008,0.009,0.013,0.017,5.00E-05,0.000287651,0.000375592,0.0002,4.88E-06,,,,,
Ecuador,0.46303726,0.475,0.476,0.543,0.606,0.661,0.692,0.432,0.718,0.668,0.682,0.712,0.764,0.822,0.874,0.92,0.945,0.924,0.896,0.899,0.953,0.984,0.943,0.981,1.241,1.17750035,1.193000397,1.142009884,1.119029562,1.07502928,1.078,1.104,1.105,1.171,1.241
Egypt,1.45237062,1.482,1.69,1.841,2.08,2.233,2.092,2.299,2.238,2.32,2.361,2.395,2.388,2.48,2.522,2.6,2.649,2.511,2.477,2.594,2.546,2.691,2.666,2.849,2.858,3.004002,3.063001984,3.141,3.674,3.86,3.803,3.706,3.73,3.568,3.266
"El Salvador",0.016,0.016,0.017,0.016,0.018,0.017,0.017,0.016,0.018,0.019,0.019,0.013,0.014,0.016,0.017,0.02,0.024,0.02,0.021,0.024,0.02,0.022,0.022,0.026,0.025,0.011889911,0.012,0.015,0.015,0.015,0.015,,,,
"Equatorial Guinea",2.08E-05,2.09E-05,2.09E-05,2.10E-05,2.09E-05,2.09E-05,2.09E-05,2.08E-05,2.06E-05,2.09E-05,2.08E-05,0.000220308,0.003020684,0.009020618,0.010020632,0.010020624,0.03402068,0.104030639,0.166770087,0.203770174,0.336020402,0.363020666,0.471050865,0.460070875,0.739070112,0.79,0.762,0.831,0.927,0.91,0.88,0.839,0.846,0.811,0.788
Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,1.02E-05,1.02E-05,1.02E-05,1.02E-05,1.03E-05,1.02E-05,1.02E-05,1.00E-05,1.00E-05,1.98E-05,,,,,,,,
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,1.03E-05,1.03E-05,3.09E-05,8.25E-05,7.24E-05,0.000112343,0.000173349,0.000173842,0.000193819,0.000196327,0.00030519,0.000500301,0.000601188,0.000889911,0.001150604,0.001225616,0.001,0.002,,,,,
Ethiopia,0.005,0.005,0.006,0.007,0.007,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.013,0.014,0.015,0.015,0.016,0.016,0.016,0.017,0.02,0.02,0.023,0.025,0.0188,0.0126,0.0064,0.000137956,0.00023424,0.000175608,,,,
"Falkland Islands",,,,,,,,,,,,,,,,,,,,,2.04E-06,2.07E-06,2.03E-06,2.56E-06,2.51E-06,2.50E-06,2.98E-06,2.97E-06,1.97E-05,1.95E-05,,,,,
"Faroe Islands",0.000509012,0.000512197,0.000512246,0.000515481,0.00051156,0.000511903,0.000511854,0.000510531,0.000640088,0.000740672,0.000769748,0.000772264,0.000858386,0.000756918,0.000779941,0.000779278,0.000725289,0.000772266,0.000785648,0.000715973,0.000773083,0.000782198,0.000977503,0.000889555,0.001,0.00010331,0.000148567,0.000155762,0.000127797,0.000146449,,,,,
Fiji,,,,0.000515481,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.005,0.004,0.004,0.00020098,0.000199372,0.00029652,0.00019708,0.0001952,,,,,
Finland,0.174,0.284,0.299,0.314,0.321,0.314,0.315,0.334,0.328,0.322,0.354,0.38,0.394,0.394,0.377,0.386,0.374,0.402,0.463,0.442,0.456,0.443,0.418,0.415,0.477,0.327246014,0.334601423,0.331737049,0.228092287,0.233717042,0.223448756,0.227297273,0.225260557,0.231813931,0.231318663
Czechoslovakia,2.16270312,2.133149993,2.173170017,2.243170017,2.300170007,2.320170017,2.386170017,2.428170017,2.403170007,2.321169543,2.093169543,1.974169543,1.810170007,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Serbia and Montenegro",--,--,--,--,--,--,--,--,--,--,--,--,0.458,0.443,0.427,0.485,0.499,0.493,0.507,0.427,0.431,0.432,0.435,0.418,0.431,--,--,--,--,--,--,--,--,--,--
"Soviet Union",59.48113498,59.771,61.71,63.168,66.238,68.255,70.854,72.869,75.515,74.999,75.327,69.225,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Yugoslavia,0.913463092,0.982,1.009,1.038,1.143,1.197,1.229,1.22,1.243,1.226,1.179,1.107,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,2.010577064,2.345,2.325,2.66,3.075,3.282,3.55,3.709,3.829,3.829,4.048,4.258,4.439,4.677,4.721,4.805,4.889,4.812,4.683,4.837,4.967,5.109,5.104,5.115,5.166,4.613297767,4.611268119,4.52596128,4.478609608,4.205730237,4.330874097,4.462142754,4.287283299,4.240472979,4.375626354
"French Guiana",,,,,,,,,,,,,,,,,,,,,,0.005,0.006,0.006,0.006,,,,,,,,,,
"French Polynesia",,,,0.00016832,0.00025056,0.000334304,0.00036561,0.000364665,0.000598792,0.000667648,0.000717738,0.000772264,0.00093078,0.000969046,0.000990336,0.001,0.001,0.001,0.002,0.000889662,0.001,0.001,0.001,0.002,0.002,,,,,,,,,,
Gabon,0.3831264,0.331,0.342,0.349,0.35,0.379,0.365,0.344,0.354,0.457,0.59,0.643,0.653,0.684,0.719,0.796,0.805,0.807,0.768,0.723,0.69,0.592,0.552,0.531,0.528,0.576069993,0.514069433,0.528069188,0.538,0.523,0.531,0.522,0.51,0.489,0.489
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,0.07574337,0.074,0.076,0.055,0.064,0.069,0.071,0.072,0.065,0.063,0.071473791,0.071728902,0.064707006,0.004513838,0.002365157,0.002330195,0.002264156,0.005321367,0.003678634,0.004228223,0.006,0.009,0.007
Germany,--,--,--,--,--,--,--,--,--,--,--,5.405,5.208,4.922,4.768,4.725,4.811,4.699,4.489,4.573,4.626,4.709,4.755,4.731,4.801,4.521311182,4.627377679,4.555841656,4.178943428,3.9260099,3.496136807,3.229621649,3.141734974,3.041466947,2.907945279
"East Germany",2.459149884,2.536,2.587,2.637,2.805,2.952,2.912,2.883,2.908,2.817,2.356,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"West Germany",3.425573944,3.549,3.534,3.492,3.773,4.037,3.865,3.968,4.064,3.981,3.821,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ghana,0.059320264,0.06,0.056,0.031,0.023,0.033,0.046649992,0.048,0.05,0.054,0.059,0.063,0.07,0.067,0.065,0.071,0.081,0.08,0.05,0.065,0.082,0.083,0.066,0.054,0.067,0.013,0.013,0.013,0.013,0.013,0.016,0.166,0.17,0.212,0.23
Greece,0.141,0.178,0.211,0.223,0.241,0.253,0.269,0.293,0.3,0.303,0.297,0.315,0.311,0.305,0.312,0.32288695,0.34,0.333,0.33588695,0.335646736,0.349,0.349,0.37,0.381,0.388,0.339816311,0.320009919,0.327972257,0.325645205,0.325516658,0.264309748,0.273271007,0.292304274,0.250255963,0.236239789
Guadeloupe,,,,,,,0.00031338,0.00031257,0.00030972,0.00031296,0.00031206,0.00031308,0.00031026,0.000316486,0.000316701,0.000316578,0.00032054,0.000357455,0.00040788,0.00040904,0.00051005,0.00051665,0.00061038,0.002,0.002,0.00149985,0.00148785,0.0014826,0.0014781,0.001464,0.0009756,,,,
