Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,85000,85000,85000,90000,96000,95000,85700,76000,76600,76400,76000,76800,76000,78100,75000,119200,76000,75800,74400,71400,69700,71700,69200,66100,64400,56800,57000,56400,52500,54684,52580,53342,55400,57910,60425,62993,65771,67780,72033,72711,72719,75031,77158,63000,110000,113400,113000,112999,132700,129749,101027,105938,95995,106168
Albania,10500,11500,13500,14500,14352,11561,11905,12854,17230,17660,17316,16900,17200,18000,16000,19500,20700,21500,22000,24200,23800,23800,23500,23400,22000,23000,23000,23000,23000,24380,21760,30160,31920,32265,28115,29345,28860,30119,26520,28090,30004,29790,32517,32110,33590,31069,30040,30351,31417,37223,39407,41081,37798,37262
Algeria,47840,49700,50600,52340,53710,49380,51470,58390,59150,67270,76000,82360,89550,93140,107630,114130,126180,127700,137160,143520,162740,149815,163078,180870,216475,215785,220975,212745,219735,205014,231138,234759,233929,232680,237501,231651,227942,228983,246543,229464,234704,244741,263295,279056,288908,282572,266018,260529,317648,299128,308939,321301,334799,334128
"American Samoa",42,42,42,42,37,32,27,27,27,27,28,33,33,33,33,33,28,28,28,43,48,53,53,53,53,54,55,56,57,58,59,60,62,63,62,61,61,114,143,174,212,252,313,306,292,338,324,330,327,324,321,314,320,323
Angola,27400,27400,28400,28900,29100,30800,31300,32000,32400,33000,33300,34300,35600,35600,35600,37000,38000,39300,40300,41300,41500,40500,41000,42000,40100,41100,41100,42300,42500,44142,46112,46269,44465,45072,46200,48000,46300,48000,45000,47500,48014,48619,49094,50030,48120,50977,60116,104271,136506,141375,156173,155996,157778,159137
"Antigua and Barbuda",15,20,28,36,43,49,68,89,120,149,187,206,143,83,105,137,103,136,230,222,279,236,228,150,226,234,248,282,285,305,322,351,338,335,322,338,344,350,358,367,375,399,426,453,448,460,466,475,478,478,495,497,521,525
Argentina,178466,186220,183424,186395,185828,185445,191720,186127,191786,192922,192523,191595,198063,199066,210400,196801,187660,199930,197777,201135,167390,183540,181769,183625,200986,193844,197282,199947,196476,198861,209167,215172,212357,207106,185198,193812,175917,191481,190550,182161,177796,182988,186440,184809,183182,185122,190305,188718,188004,189962,191776,185460,194592,189690
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29700,22100,23100,24400,24871,25300,22571,25116,23427,23075,24062,27202,26273,26852,29178,31460,29663,30076,27928,30677,30137,30686,32175
Australia,66275,66101,67995,63452,68297,70089,69750,72511,72383,65249,72956,73163,70602,70493,69918,69878,66666,70892,66545,65575,66592,69542,69353,68773,69982,71529,73278,76966,80346,75233,74094,75140,74587,76370,78933,84773,84798,83165,83589,84809,84588,71708,77244,78286,74749,74793,70587,61331,64094,69178,73397,71085,65362,67971
Austria,18553,18384,21031,20051,22015,21805,22047,23215,23361,22091,23543,23601,22331,22278,23540,20254,22228,22740,23218,24680,24644,23412,14381,13723,12777,12461,12257,11527,11444,11744,11219,10620,9641,9223,12803,13073,13472,12765,13772,13630,13846,13877,14235,14587,13354,13822,15225,16037,15337,15107,16160,14999,15632,15924
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40704,35205,37905,34805,39390,35738,43763,69975,83807,104419,102073,105282,110275,118188,124331,131826,114482,110104,112464,115677,108235,106294,104173
Bahamas,1630,1680,1710,1780,1800,1825,1836,1873,1892,1925,1976,1938,2000,2015,2128,2200,2220,2223,2175,2182,2253,2175,2188,2192,2792,2795,2800,2788,2798,2730,2660,2590,2455,2326,2330,2326,2280,2270,2326,2442,2442,2540,2670,2782,2723,2825,2630,2585,2622,2893,2913,3204,2920,2851
Bahrain,225,275,288,288,291,141,146,146,153,161,173,186,201,277,364,395,474,476,517,565,576,490,556,570,604,762,822,823,838,752,798,889,957,1021,1096,1081,1031,921,938,908,742,665,686,589,648,608,602,584,590,606,554,552,545,538
Bangladesh,163150,156350,169000,170400,170850,172284,181876,184548,175073,177816,177060,155710,155944,158788,167155,170892,166923,171722,173568,177432,176880,186554,193119,195728,196817,199445,201568,208359,217608,212801,230905,232494,237119,240180,243405,249687,252006,257104,316510,300281,301555,306794,311371,344364,389376,422242,453012,477031,466185,488424,504767,515343,516535,548469
Barbados,161,178,218,261,353,323,280,328,316,433,613,680,665,669,682,646,797,977,1272,2027,2155,2250,2515,1201,728,787,968,936,980,1011,1150,1099,1287,1180,2134,2107,1472,1398,1175,1140,1120,1123,1287,1081,1093,1136,1148,1034,1010,883,896,989,896,1081
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61900,65000,71300,77000,85000,86840,87020,94000,102200,100000,96000,105857,100197,96405,90302,85438,85910,82184,81612,69532,63122,64435,67252
Belgium,29725,33404,36332,35741,28176,33886,31715,31010,33400,34623,34193,38066,43268,46185,36834,35814,39529,39699,28956,28505,37456,43712,37348,39938,44026,45054,45544,43319,42941,41377,43311,44404,43408,43153,43639,43012,44263,47035,48171,,,,,,,,,,,,,,,
Belize,182,182,215,215,215,320,650,800,1150,900,950,740,350,385,385,410,410,415,430,450,460,465,480,480,500,650,950,850,624,475,667,725,770,633,614,610,703,755,658,975,1051,1018,1019,917,894,1087,912,1161,1318,1665,2187,1872,1967,2115
Benin,13280,14683,15044,16153,18033,17342,18447,19153,19560,19487,20132,19400,20340,20016,21501,23397,24217,28330,30881,30120,30244,29898,33446,34306,35686,41597,37810,45664,45119,50649,49118,52862,54451,63481,59422,72304,74283,74506,78166,83451,75903,88218,80765,67989,77864,58079,62185,73003,64613,75211,66763,95413,93705,98195
Bermuda,162,172,191,196,200,203,178,172,131,192,73,46,110,140,125,141,153,155,160,172,181,185,188,174,188,188,187,203,234,234,235,244,239,240,245,249,250,251,253,256,265,229,249,250,252,253,261,252,270,265,265,266,262,264
Bhutan,2300,2320,2340,2360,2380,2400,2420,2440,2460,2480,2500,2500,2530,2550,2570,2580,2590,2600,2610,2620,3100,2900,2200,1711,2100,2600,2800,2630,2700,3234,5874,5867,5961,5954,5472,5250,4825,4430,4235,3747,3652,3793,4195,4731,6747,8368,7865,6762,6950,6813,13549,7738,9428,8596
