Country,2009,2010,2011,2012,2013,2014,2015,2016
Lesotho,,,1.298276416,1.558206248,,,,
Liberia,,,,2.861554,1.969623354,2.3566,2.74358964,2.759077551
Libya,1.130556615,,,,,,,
Lithuania,4.185233573,4.288941433,4.435589449,4.693005451,4.674166338,4.495948538,4.419562689,4.457432095
Luxembourg,5.103822498,5.173114193,5.101115954,5.179658912,5.034520782,5.029765787,5.053615538,5.05566748
"Macedonia (F.Y.R.O.M.)",2.156749539,2.080601115,2.067227984,1.946296608,1.873913944,1.967706332,2.172141814,2.737051505
Madagascar,1.884968183,1.666453677,1.552389215,1.868823787,2.009440339,1.847567609,1.665683563,1.805701782
Malawi,2.069971468,2.240134445,2.39174956,2.18517564,1.935441044,1.934452864,1.773135144,1.83693309
Malaysia,4.761859062,4.692663011,4.978458843,4.876121151,4.781856441,5.041579422,5.12389847,5.064350581
Mali,1.846172562,2.024092449,2.346475522,2.703825405,2.38517136,2.090852665,2.127318573,2.193397892
Mauritania,1.936935983,1.989519646,1.77559333,2.002151499,2.015156118,2.362484776,2.088363374,1.969777762
Mexico,2.309963353,2.26456826,2.558162087,2.799001622,2.832561698,2.774969781,2.827796923,2.910132797
Moldova,,2.596239,2.610743468,2.505946864,2.608833272,2.820004913,2.749549955,2.701898998
Mongolia,2.049466877,2.478777224,2.569201355,2.498386297,2.623281098,2.582826652,2.549437332,2.726841678
Montenegro,2.086240725,2.594646564,2.878452169,2.919540496,3.018660992,2.880195047,2.846641895,2.90644392
Morocco,3.594567195,3.654753717,3.614856,3.888965469,3.910919725,3.922368485,3.913508214,3.924659369
Mozambique,2.087130135,2.375196229,2.176759993,2.029966621,2.085887038,2.093545374,2.26924739,2.434259844
"Burma (Myanmar)",,,,,1.753851,1.820138227,1.794773491,
Namibia,4.227729344,4.095237243,4.026117769,3.688569138,3.504348513,3.344045455,3.122856527,3.241947889
Nepal,1.19688878,1.190549646,1.149694665,1.100669462,1.0937647,,,
Netherlands,5.63992892,5.689236222,5.734463202,5.71460634,5.480701593,5.617016458,5.69261235,5.638527962
"New Zealand",3.676933283,3.440582494,3.343997379,3.582515608,3.660897553,3.721347903,3.504431901,3.408026765
Nicaragua,1.612113437,1.6049,1.597688519,2.171645182,2.809839029,,,
Nigeria,1.348668993,1.454673116,1.576965709,1.892929329,1.812308583,1.513981189,1.488960978,1.480385583
Norway,3.755963802,3.223097252,2.968008402,3.305725686,3.553156827,3.877608029,3.730906225,3.624385701
Pakistan,3.089185202,3.067423222,2.758694399,2.570315129,2.509255363,2.504429219,2.834234417,3.076247555
Panama,2.506645528,2.959179489,3.407306032,4.044237211,4.235378754,3.90084541,3.880363319,4.248744453
Paraguay,1.018072341,1.031459076,1.043467847,1.055773463,,,,
Peru,1.827169331,1.8853666,1.868743498,1.871516533,1.79341992,1.879263438,1.89355109,1.915583316
Philippines,1.749245874,1.658225504,1.651579229,1.897519373,2.057448838,2.285612281,2.175975981,1.973958434
Poland,2.888376678,2.748453715,2.47458668,2.379236718,2.560434261,2.932732282,3.105497553,3.338253023
Portugal,4.411120973,4.51142612,4.398869838,4.460805971,4.435676795,4.441956867,4.259931348,4.159752258
"Puerto Rico",2.130600836,2.2284,2.326232765,2.125895775,2.558525563,,,
Romania,2.731435607,2.461609479,2.356885351,2.243507958,2.331374593,2.855063684,2.754697041,2.404833724
Russia,3.87418234,4.085297163,4.152114415,4.173511461,4.185405691,4.290863474,4.290863474,4.439798938
"Saudi Arabia",2.956499613,3.639235097,3.95922,3.738358954,3.363438766,3.055328367,2.991664314,2.98946224
Senegal,1.792088321,1.925844919,1.863960365,1.704125949,1.887988808,2.311025394,2.314505432,2.165277415
Serbia,1.802095263,1.737432014,1.635593944,1.7398069,1.979107609,2.134399597,2.092513018,2.149494982
"Sierra Leone",,,,1.304647,1.4632582,,,
Singapore,5.652089057,5.837632732,5.680723239,5.744798788,5.638914366,5.6568,5.674659744,5.739918054
Slovakia,4.431544996,4.659670404,4.453005207,4.524824186,4.346480075,4.397850481,4.594809733,4.583320774
Slovenia,3.477543924,3.23731941,2.88231,3.088671174,3.244721914,3.355533265,3.184999647,2.965440922
"South Africa",3.538971911,3.346685358,3.35508125,3.360587503,3.362452917,3.42349708,3.628265708,3.800390668
Spain,4.772461068,5.412230545,5.647206491,5.716219249,5.88248682,5.977686688,5.945122004,5.594821326
"Sri Lanka",3.398622745,3.597045669,3.777369434,3.797672,3.598231134,3.67983842,3.877405789,3.589499891
Suriname,,,1,1.125550501,1.656026611,,,
Swaziland,,3.673606,3.444580832,3.244993793,3.696829802,3.533906769,3.103225839,
Sweden,5.421871352,5.35462216,4.998939986,4.679695519,4.570361105,4.535420871,4.249890529,4.11061813
Switzerland,6.804500217,6.775411136,6.777617601,6.78273344,6.64870837,6.608631959,6.608889491,6.565912035
Syria,2.924575957,2.623634433,2.889725522,,,,,
Tajikistan,3.31293525,3.214856933,3.548220948,3.487544444,3.2278,2.968085051,3.364992431,3.740252175
Tanzania,2.26747975,2.43145784,2.422706974,2.255971108,2.011007696,1.960986,2.104266912,2.526269778
Thailand,3.016017759,3.009894855,2.647523643,2.590514423,2.554590583,2.39972512,2.41813017,2.517342108
Tunisia,4.092086729,4.152554478,3.741585277,3.548,3.354445733,3.288335622,2.969887611,2.805529718
Turkey,2.484621012,2.736007108,2.73757861,3.124350605,3.117360846,3.079543569,3.08282099,3.029158687
Uganda,1.249231125,1.236429647,1.408978844,1.442853211,1.531519718,1.50400568,1.541612107,1.588095759
Ukraine,4.068005552,4.384499877,4.3610091,4.549651147,4.467032767,4.310959636,4.159523106,4.014369488
"United Kingdom",4.521772492,4.699119204,4.879657692,5.013214031,5.005543523,4.886509356,4.782330426,4.779742972
"United States",4.810132577,4.750358042,4.823538653,4.830934698,4.889930593,4.894029855,5.023574656,5.126570624
Uruguay,1.404437856,1.398972919,1.427046326,1.297205374,1.229558921,1.310795636,1.285974061,1.232754922
Venezuela,1.600172025,1.529280638,1.336024125,1.408193386,1.580609119,1.635605614,1.472564134,1.481464497
Vietnam,2.800438943,2.90256049,2.5246376,2.5529552,2.96568002,3.015184263,3.158506839,3.146558358
Zambia,1.78997028,2.032427608,2.222834617,2.280992552,2.110393253,1.961362034,2.334476482,2.569424157
Zimbabwe,2.792322238,2.774531095,2.671669833,2.4021823,2.270709121,2.183245183,2.233110991,2.284615409
