Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,0.34,0.435,0.53,0.605,0.68,0.865,1.05,1.1,1.15,1.215,1.28,1.175,1.07,0.885,0.7
Albania,,,,,,,,0.86,0.715,0.57,0.685,0.8,1.015,1.23,1.335,1.44,1.4,1.36,1.41,1.46,1.635,1.81,1.785,1.76,1.56,1.36
Algeria,0.15,0.2,0.2667,0.3333,0.4,0.37,0.34,0.31,0.29,0.27,0.245,0.22,0.27,0.32,0.32,0.32,0.33,0.34,0.33,0.32,0.305,0.29,0.28,0.27,0.275,0.28
Andorra,,,,,,,,,,,,,,,,,,1.24,1.365,1.49,1.58,1.67,1.59,1.51,,
Angola,,,,,,,,0.38,0.34,0.3,0.245,0.19,0.29,0.39,0.445,0.5,0.515,0.53,0.59,0.65,0.64,0.63,0.695,0.76,0.865,0.97
"Antigua and Barbuda",,,,,,,,,,0.56,0.59,0.62,0.65,0.68,0.825,0.97,1.04,1.11,1.05,0.99,,,,,,
Argentina,,0.79,0.7267,0.6633,0.6,0.7133,0.8267,0.94,1.005,1.07,0.85,0.63,0.63,0.63,0.625,0.62,0.7,0.78,0.87,0.96,1.21,1.46,1.49,1.52,1.31,1.1
Armenia,,,,,,,,0.49,0.52,0.55,0.485,0.42,0.55,0.68,0.82,0.96,1.02,1.08,1.08,1.08,1.165,1.25,1.275,1.3,1.035,0.77
Australia,,,,,,,,0.46,0.515,0.57,0.535,0.5,0.675,0.85,0.89,0.93,0.835,0.74,1.005,1.27,1.33,1.39,1.31,1.23,1.08,0.93
Austria,,,,,1.15,1.1133,1.0767,1.04,0.93,0.82,0.83,0.84,1.08,1.32,1.32,1.32,1.345,1.37,1.5,1.63,1.72,1.81,1.705,1.6,1.4,1.2
Azerbaijan,,,,,,,,0.46,0.425,0.39,0.38,0.37,0.39,0.41,0.435,0.46,0.6,0.74,0.745,0.75,0.755,0.76,0.985,1.21,0.885,0.56
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.985,0.92
Bahrain,,,,,,,,0.26,0.265,0.27,0.27,0.27,0.27,0.27,0.24,0.21,0.21,0.21,0.21,0.21,0.24,0.27,0.31,0.35,0.39,0.43
Bangladesh,,,,,0.36,0.3967,0.4333,0.47,0.465,0.46,0.49,0.52,0.555,0.59,0.69,0.79,0.98,1.17,1.13,1.09,1.12,1.15,1.225,1.3,1.21,1.12
Barbados,,,,,,,,0.72,0.835,0.95,0.805,0.66,0.74,0.82,0.965,1.11,1.055,1,1.125,1.25,1.39,1.53,1.67,1.81,,
Belarus,,,,,,,,0.34,0.445,0.55,0.525,0.5,0.56,0.62,0.705,0.79,1.06,1.33,1.205,1.08,0.98,0.88,0.97,1.06,0.83,0.6
Belgium,,,,,1.18,1.16,1.14,1.12,1.04,0.96,1,1.04,1.27,1.5,1.565,1.63,1.565,1.5,1.685,1.87,1.98,2.09,1.995,1.9,1.665,1.43
Belize,,,,,,,,,,,,,,1.2,1.235,1.27,0.985,0.7,0.915,1.13,1.285,1.44,1.405,1.37,1.25,1.13
Benin,0.63,0.62,0.5333,0.4467,0.36,0.37,0.38,0.39,0.435,0.48,0.51,0.54,0.655,0.77,0.79,0.81,0.92,1.03,1.035,1.04,1.14,1.24,1.135,1.03,0.875,0.72
Bhutan,,,,,,,,0.59,0.585,0.58,0.63,0.68,0.73,0.78,0.8125,0.845,0.8775,0.91,0.995,1.08,1.135,1.19,1.115,1.04,1.01,0.98
Bolivia,,0.43,0.4133,0.3967,0.38,0.43,0.48,0.53,0.665,0.8,0.745,0.69,0.615,0.54,0.54,0.54,0.61,0.68,0.69,0.7,0.7,0.7,0.7,0.7,0.705,0.71
"Bosnia and Herzegovina",,,,,,,,0.66,0.67,0.68,0.71,0.74,0.855,0.97,1.155,1.34,1.235,1.13,1.275,1.42,1.505,1.59,1.55,1.51,1.28,1.05
Botswana,0.68,0.41,0.4,0.39,0.38,0.3567,0.3333,0.31,0.365,0.42,0.415,0.41,0.535,0.66,0.72,0.78,0.83,0.88,0.905,0.93,1.08,1.23,1.145,1.06,0.885,0.71
Brazil,,0.53,0.5633,0.5967,0.63,0.6867,0.7433,0.8,0.86,0.92,0.735,0.55,0.695,0.84,1.05,1.26,1.26,1.26,1.42,1.58,1.485,1.39,1.33,1.27,1.145,1.02
Brunei,,,,,,,,0.34,0.325,0.31,0.305,0.3,0.31,0.32,0.33,0.34,0.36,0.38,0.385,0.39,0.41,0.43,0.42,0.41,0.39,0.37
Bulgaria,,,,,0.46,0.5267,0.5933,0.66,0.68,0.7,0.69,0.68,0.8,0.92,0.985,1.05,1.165,1.28,1.395,1.51,1.6,1.69,1.59,1.49,1.3,1.11
"Burkina Faso",1.03,1,0.9367,0.8733,0.81,0.7667,0.7233,0.68,0.68,0.68,0.755,0.83,1.005,1.18,1.165,1.15,1.265,1.38,1.41,1.44,1.435,1.43,1.415,1.4,1.19,0.98
"Burma (Myanmar)",,,,,,,,0.13,0.23,0.33,0.345,0.36,0.24,0.12,0.39,0.66,0.545,0.43,0.615,0.8,0.92,1.04,1.09,1.14,0.84,0.54
