Country,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.03,0.03,0.03,0.03,0.03,0.054,0.078,0.102,0.126,0.15,0.152,0.154,0.156,0.158,0.16,0.168,0.176,0.184,0.192,0.2,0.206,0.212,0.218,0.224,0.23,0.238,0.246,0.254,0.262,0.27,0.278,0.286,0.294,0.302,0.31,0.342,0.374,0.406,0.438,0.47,0.5,0.53,0.56,0.59,0.62,0.658,0.696,0.734,0.772,0.81,0.88,0.95,1.02,1.09,1.16,1.216,1.272,1.328,1.384,1.44,1.488,1.536,1.584,1.632,1.68,1.782,1.884,1.986,2.088,2.19,2.21,2.23,2.25,2.27,2.29,2.368,2.446,2.524,2.602,2.68,2.774,2.868,2.962,3.056,3.15,3.264,3.378,3.492,3.606,3.72,3.776,3.832,3.888,3.944,4,4.062,4.124,4.186,4.248,4.31,4.362,4.414,4.466,4.518,4.57,4.62,4.67,4.72,4.77,4.82
Albania,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.042,0.044,0.046,0.048,0.05,0.052,0.054,0.056,0.058,0.06,0.064,0.068,0.072,0.076,0.08,0.084,0.088,0.092,0.096,0.1,0.11,0.12,0.13,0.14,0.15,0.168,0.186,0.204,0.222,0.24,0.264,0.288,0.312,0.336,0.36,0.388,0.416,0.444,0.472,0.5,0.532,0.564,0.596,0.628,0.66,0.692,0.724,0.756,0.788,0.82,0.86,0.9,0.94,0.98,1.02,1.086,1.152,1.218,1.284,1.35,1.518,1.686,1.854,2.022,2.19,2.2,2.21,2.22,2.23,2.24,2.218,2.196,2.174,2.152,2.13,2.162,2.194,2.226,2.258,2.29,2.428,2.566,2.704,2.842,2.98,3.138,3.296,3.454,3.612,3.77,3.946,4.122,4.298,4.474,4.65,4.794,4.938,5.082,5.226,5.37,5.478,5.586,5.694,5.802,5.91,5.914,5.918,5.922,5.926,5.93,6.13,6.33,6.53,6.73,6.93,6.988,7.046,7.104,7.162,7.22,7.16,7.1,7.04,6.98,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.09,0.096,0.102,0.108,0.114,0.12,0.124,0.128,0.132,0.136,0.14,0.146,0.152,0.158,0.164,0.17,0.176,0.182,0.188,0.194,0.2,0.206,0.212,0.218,0.224,0.23,0.254,0.278,0.302,0.326,0.35,0.372,0.394,0.416,0.438,0.46,0.478,0.496,0.514,0.532,0.55,0.546,0.542,0.538,0.534,0.53,0.54,0.55,0.56,0.57,0.58,0.592,0.604,0.616,0.628,0.64,0.644,0.648,0.652,0.656,0.66,0.666,0.672,0.678,0.684,0.69,0.694,0.698,0.702,0.706,0.71,0.712,0.714,0.716,0.718,0.72,0.722,0.724,0.726,0.728,0.73,0.726,0.722,0.718,0.714,0.71,0.712,0.714,0.716,0.718,0.72,0.75,0.78,0.81,0.84,0.87,0.946,1.022,1.098,1.174,1.25,1.318,1.386,1.454,1.522,1.59,1.674,1.758,1.842,1.926,2.01,2.178,2.346,2.514,2.682,2.85,2.932,3.014,3.096,3.178,3.26,3.35,3.44,3.53,3.62,3.71,3.77,3.83,3.89,3.95,4.01,4.062,4.114,4.166,4.218,4.27,4.306,4.342,4.378,4.414,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.39,0.408,0.426,0.444,0.462,0.48,0.498,0.516,0.534,0.552,0.57,0.582,0.594,0.606,0.618,0.63,0.64,0.65,0.66,0.67,0.68,0.704,0.728,0.752,0.776,0.8,0.826,0.852,0.878,0.904,0.93,1.02,1.11,1.2,1.29,1.38,1.444,1.508,1.572,1.636,1.7,1.802,1.904,2.006,2.108,2.21,2.308,2.406,2.504,2.602,2.7,2.766,2.832,2.898,2.964,3.03,3.108,3.186,3.264,3.342,3.42,3.476,3.532,3.588,3.644,3.7,3.75,3.8,3.85,3.9,3.95,4.006,4.062,4.118,4.174,4.23,4.272,4.314,4.356,4.398,4.44,4.474,4.508,4.542,4.576,4.61,4.656,4.702,4.748,4.794,4.84,4.878,4.916,4.954,4.992,5.03,5.08,5.13,5.18,5.23,5.28,5.33,5.38,5.43,5.48,5.53,5.572,5.614,5.656,5.698,5.74,5.784,5.828,5.872,5.916,5.96,5.998,6.036,6.074,6.112,6.15,6.186,6.222,6.258,6.294,6.33,6.36,6.39,6.42,6.45,6.48,6.522,6.564,6.606,6.648,6.69,6.676,6.662,6.648,6.634,6.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1.74,1.772,1.804,1.836,1.868,1.9,1.93,1.96,1.99,2.02,2.05,2.102,2.154,2.206,2.258,2.31,2.37,2.43,2.49,2.55,2.61,2.654,2.698,2.742,2.786,2.83,2.844,2.858,2.872,2.886,2.9,2.938,2.976,3.014,3.052,3.09,3.154,3.218,3.282,3.346,3.41,3.462,3.514,3.566,3.618,3.67,3.718,3.766,3.814,3.862,3.91,3.976,4.042,4.108,4.174,4.24,4.294,4.348,4.402,4.456,4.51,4.56,4.61,4.66,4.71,4.76,4.802,4.844,4.886,4.928,4.97,5.008,5.046,5.084,5.122,5.16,5.222,5.284,5.346,5.408,5.47,5.472,5.474,5.476,5.478,5.48,5.486,5.492,5.498,5.504,5.51,5.524,5.538,5.552,5.566,5.58,5.602,5.624,5.646,5.668,5.69,5.71,5.73,5.75,5.77,5.79,5.808,5.826,5.844,5.862,5.88,5.872,5.864,5.856,5.848,5.84,5.84,5.84,5.84,5.84,5.84,5.836,5.832,5.828,5.824,5.82,5.826,5.832,5.838,5.844,5.85,5.856,5.862,5.868,5.874,5.88,5.904,5.928,5.952,5.976,6,6.18,6.36,6.54,6.72,6.9,6.9,6.9,6.9,6.9,6.9,6.902,6.904,6.906,6.908,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
Austria,2.04,2.066,2.092,2.118,2.144,2.17,2.2,2.23,2.26,2.29,2.32,2.362,2.404,2.446,2.488,2.53,2.58,2.63,2.68,2.73,2.78,2.838,2.896,2.954,3.012,3.07,3.128,3.186,3.244,3.302,3.36,3.418,3.476,3.534,3.592,3.65,3.708,3.766,3.824,3.882,3.94,4.002,4.064,4.126,4.188,4.25,4.312,4.374,4.436,4.498,4.56,4.636,4.712,4.788,4.864,4.94,5.006,5.072,5.138,5.204,5.27,5.336,5.402,5.468,5.534,5.6,5.598,5.596,5.594,5.592,5.59,5.558,5.526,5.494,5.462,5.43,5.424,5.418,5.412,5.406,5.4,5.344,5.288,5.232,5.176,5.12,5.064,5.008,4.952,4.896,4.84,4.808,4.776,4.744,4.712,4.68,4.64,4.6,4.56,4.52,4.48,4.428,4.376,4.324,4.272,4.22,4.172,4.124,4.076,4.028,3.98,3.94,3.9,3.86,3.82,3.78,3.782,3.784,3.786,3.788,3.79,3.794,3.798,3.802,3.806,3.81,3.814,3.818,3.822,3.826,3.83,3.834,3.838,3.842,3.846,3.85,3.854,3.858,3.862,3.866,3.87,3.872,3.874,3.876,3.878,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.884,3.888,3.892,3.896,3.9,3.904,3.908,3.912,3.916,3.92
Bangladesh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.012,0.014,0.016,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.034,0.036,0.038,0.04,0.062,0.084,0.106,0.128,0.15,0.172,0.194,0.216,0.238,0.26,0.276,0.292,0.308,0.324,0.34,0.34,0.34,0.34,0.34,0.34,0.352,0.364,0.376,0.388,0.4,0.412,0.424,0.436,0.448,0.46,0.472,0.484,0.496,0.508,0.52,0.534,0.548,0.562,0.576,0.59,0.604,0.618,0.632,0.646,0.66,0.672,0.684,0.696,0.708,0.72,0.722,0.724,0.726,0.728,0.73,0.74,0.75,0.76,0.77,0.78,0.818,0.856,0.894,0.932,0.97,0.984,0.998,1.012,1.026,1.04,1.058,1.076,1.094,1.112,1.13,1.234,1.338,1.442,1.546,1.65,1.726,1.802,1.878,1.954,2.03,2.064,2.098,2.132,2.166,2.2,2.248,2.296,2.344,2.392,2.44,2.518,2.596,2.674,2.752,2.83,2.882,2.934,2.986,3.038,3.09,3.164,3.238,3.312,3.386,3.46,3.506,3.552,3.598,3.644,3.69,3.73,3.77,3.81,3.85,3.89,3.928,3.966,4.004,4.042,4.08,4.116,4.152,4.188,4.224,4.26,4.296,4.332,4.368,4.404,4.44,4.474,4.508,4.542,4.576,4.61
Barbados,0.92,0.944,0.968,0.992,1.016,1.04,1.068,1.096,1.124,1.152,1.18,1.192,1.204,1.216,1.228,1.24,1.256,1.272,1.288,1.304,1.32,1.326,1.332,1.338,1.344,1.35,1.368,1.386,1.404,1.422,1.44,1.522,1.604,1.686,1.768,1.85,1.852,1.854,1.856,1.858,1.86,1.92,1.98,2.04,2.1,2.16,2.236,2.312,2.388,2.464,2.54,2.584,2.628,2.672,2.716,2.76,2.796,2.832,2.868,2.904,2.94,2.994,3.048,3.102,3.156,3.21,3.272,3.334,3.396,3.458,3.52,3.586,3.652,3.718,3.784,3.85,3.898,3.946,3.994,4.042,4.09,4.114,4.138,4.162,4.186,4.21,4.238,4.266,4.294,4.322,4.35,4.468,4.586,4.704,4.822,4.94,5.068,5.196,5.324,5.452,5.58,5.53,5.48,5.43,5.38,5.33,5.304,5.278,5.252,5.226,5.2,5.25,5.3,5.35,5.4,5.45,5.476,5.502,5.528,5.554,5.58,5.606,5.632,5.658,5.684,5.71,5.73,5.75,5.77,5.79,5.81,5.818,5.826,5.834,5.842,5.85,5.852,5.854,5.856,5.858,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2.31,2.292,2.274,2.256,2.238,2.22,2.244,2.268,2.292,2.316,2.34,2.356,2.372,2.388,2.404,2.42,2.414,2.408,2.402,2.396,2.39,2.398,2.406,2.414,2.422,2.43,2.442,2.454,2.466,2.478,2.49,2.516,2.542,2.568,2.594,2.62,2.68,2.74,2.8,2.86,2.92,2.948,2.976,3.004,3.032,3.06,3.09,3.12,3.15,3.18,3.21,3.25,3.29,3.33,3.37,3.41,3.474,3.538,3.602,3.666,3.73,3.778,3.826,3.874,3.922,3.97,4.042,4.114,4.186,4.258,4.33,4.42,4.51,4.6,4.69,4.78,4.914,5.048,5.182,5.316,5.45,5.484,5.518,5.552,5.586,5.62,5.622,5.624,5.626,5.628,5.63,5.622,5.614,5.606,5.598,5.59,5.6,5.61,5.62,5.63,5.64,5.622,5.604,5.586,5.568,5.55,5.552,5.554,5.556,5.558,5.56,5.558,5.556,5.554,5.552,5.55,5.56,5.57,5.58,5.59,5.6,5.61,5.62,5.63,5.64,5.65,5.664,5.678,5.692,5.706,5.72,5.708,5.696,5.684,5.672,5.66,5.664,5.668,5.672,5.676,5.68,5.686,5.692,5.698,5.704,5.71,5.72,5.73,5.74,5.75,5.76,5.764,5.768,5.772,5.776,5.78,5.788,5.796,5.804,5.812,5.82,5.824,5.828,5.832,5.836,5.84,5.844,5.848,5.852,5.856,5.86
Belize,0.39,0.41,0.43,0.45,0.47,0.49,0.514,0.538,0.562,0.586,0.61,0.64,0.67,0.7,0.73,0.76,0.794,0.828,0.862,0.896,0.93,0.972,1.014,1.056,1.098,1.14,1.184,1.228,1.272,1.316,1.36,1.466,1.572,1.678,1.784,1.89,1.986,2.082,2.178,2.274,2.37,2.456,2.542,2.628,2.714,2.8,2.826,2.852,2.878,2.904,2.93,2.988,3.046,3.104,3.162,3.22,3.274,3.328,3.382,3.436,3.49,3.552,3.614,3.676,3.738,3.8,3.862,3.924,3.986,4.048,4.11,4.168,4.226,4.284,4.342,4.4,4.432,4.464,4.496,4.528,4.56,4.58,4.6,4.62,4.64,4.66,4.69,4.72,4.75,4.78,4.81,4.88,4.95,5.02,5.09,5.16,5.206,5.252,5.298,5.344,5.39,5.406,5.422,5.438,5.454,5.47,5.412,5.354,5.296,5.238,5.18,5.168,5.156,5.144,5.132,5.12,5.19,5.26,5.33,5.4,5.47,5.514,5.558,5.602,5.646,5.69,5.72,5.75,5.78,5.81,5.84,5.856,5.872,5.888,5.904,5.92,5.934,5.948,5.962,5.976,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
