Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,35,29,33,41,24,26,22
Albania,27,12,9,13,17,22,28
Algeria,17,9,11,12,,,
Angola,24,24,31,24,17,,
Argentina,21,22,18,20,22,17,15
Armenia,6,10,6,7,9,9,12
Australia,70,71,76,67,66,73,63
Austria,69,50,53,52,57,50,48
Azerbaijan,22,18,20,17,14,12,11
Bahrain,43,38,33,,,,
Bangladesh,12,18,13,16,19,14,13
Belarus,11,16,16,11,15,24,20
Belgium,40,42,38,35,41,46,34
Belize,28,27,,,,,
Benin,19,19,5,8,11,17,13
Bhutan,,,,,63,56,
Bolivia,,,,,,,22
"Bosnia and Herzegovina",29,16,26,27,33,25,44
Botswana,15,17,6,11,17,21,7
Brazil,25,26,24,23,22,30,21
Bulgaria,18,13,10,15,14,13,17
"Burkina Faso",6,12,6,10,15,17,17
"Burma (Myanmar)",,,,,,91,91
Burundi,9,9,5,,,,
"Ivory Coast",6,6,10.3333,14.6667,19,17,
Cambodia,34,54,61,45,37,42,29
Cameroon,18,20,17,17,17,26,21
Canada,64,62,64,68,71,65,61
"Central African Republic",24,10,12,12.5,13,13.5,14
Chad,22,19,19,13,12,14,21
Chile,48,44,45,54,43,39,45
China,11,14,10,10,13,6,8
Colombia,24,25,23,29,24,21,21
Comoros,12,20,12,8,,,
"Congo (Brazzaville)",,,,,,,14
"Congo (Kinshasa)",,,,,,8,
"Costa Rica",38,36,29,37,34,27,30
Croatia,26,11,15,10,14,25,28
Cyprus,42,45,56,47,47,49,34
"Czech Republic",31,29,27,22,21,23,18
Denmark,67,64,70,54,62,62,54
Djibouti,20,13,13,,,,
"Dominican Republic",25,23,32,24,33,25,24
Ecuador,18,22,14,21,11,18,28
Egypt,19,21,14,15,15,20,15
"El Salvador",15,20,14,11,12,11,9
Estonia,12,12,19,17,16,20,22
Ethiopia,24,16,13,10,14,27,20
Finland,42,49,50,39,43,50,37
France,31,28,29,24,26,25,30
Gabon,,,10,12,17,12,11
Georgia,5,4,3,3,4,10,6
Germany,49,49,43,47,42,58,55
Ghana,22,29,23,27,16,19,32
Greece,8,7,5,6,9,9,10
Guatemala,46,43,27,29,31,32,28
Guinea,28,28,21,17,26,18,12
Guyana,36,36,,,,,
Haiti,40,36,39,45,44,47,45
Honduras,35,34,33,23,21,14,32
"Hong Kong",70,73,64,63,59,55,51
Hungary,22,20,26,21,24,16,17
Iceland,67,67,65,63,70,70,68
India,14,28,19,28,28,22,28
Indonesia,45,72,71,63,66,75,79
Iran,,,,,,,50
Iraq,7,15,20,26,24,30,24
Ireland,72,75,79,70,74,66,60
Israel,51,52,52,53,53,49,53
Italy,62,33,37,50,28,32,30
Jamaica,28,28,22,24,26,,
Japan,17,24,33,28.5,24,23,32
Jordan,22,25,15,13,17,24,25
Kazakhstan,8,12,10,17,12,31,31
Kenya,30,22,23,28,43,44,52
Kosovo,35,44,28,30,39,46,41
Kuwait,41,38,40.5,43,45.5,48,33
Kyrgyzstan,8,15,7,15,14,43,29
Laos,64,64,55.5,47,,,
