Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.9,-24.4,-25.2,7.8,8.6,53.7,35.4,15.6,6.7,3,2.2,4.9,3.5,5.4,3.5,5.7,6.1,5.7,-2.7,0.9,1,-1.1,2.6,1,2.8
Brazil,1.8,2.9,1.8,3.6,4.2,-1.5,5.2,5.9,5.2,5.1,4.4,3,-1.9,0.4,-1,3.2,1.1,5.9,5.8,6.9,7.3,7.9,9.7,5.2,2.6,6.7,2.1,2.5,4.5,6.2,-6.6,-1.8,-5.6,3.2,5.8,5.9,1.3,-2.2,1.3,-5.8,-0.7,-2.2,3.2,4.2,2.6,0.6,1.8,-1.4,-1.2,2.8,-0.1,1.3,-0.2,4.4,1.9,2.8,5,4.1,-1.3,6.5,1.8,0.2,1.6,-0.7,-2
Bulgaria,20.4,-4.8,10.1,-2.9,6.1,-0.9,9.5,7.6,7,8.5,5.5,7.3,3.7,7,5.3,7.2,4.7,1.1,4.1,5,2.7,4.3,3.4,2.5,7.7,2.6,-1.4,2.1,3.8,-3.2,2.4,3,-2.1,3.1,-3.2,2.5,0.9,-0.7,-1.9,-10,-7.1,-6.1,1,2.9,4.1,-8,0.1,4.7,-4.7,7.1,4.9,5.5,6.4,7.6,6.9,7.4,7.8,6.6,-4.2,1.4,2.8,1.3,1.9,2.5,1.6
"Burkina Faso",2.7,2.6,2.5,2.6,2.6,2.7,2.5,2.7,2.5,1.9,3.5,5.5,-1.9,1.6,3,-0.4,7.7,2,0.8,-0.9,2.7,2.7,-6.6,-3.3,-5.7,-2.5,4.8,9.2,-1.3,-0.8,1.9,-0.3,-3.6,-1,10.2,12.5,-4.6,5,-4.3,-4.2,5.5,-3.1,0.1,-2.2,2.2,7.6,3.1,4,2.9,-1.3,2.6,-0.2,3.8,1.3,5.3,3,0.9,2.6,-0.2,5.1,3.4,4.7,3.5,0.9,2.8
"Burma (Myanmar)",12.8,0.6,1.1,-7.6,11.3,4.9,4.2,-4.3,13.6,1.6,0.7,6.8,1,0.85,0.7,-5.9,0.9,4.6,2.2,2.5,1.3,-1.2,-2.2,3.3,2.3,4.2,4.2,4.9,3,6.4,3.7,3.5,2.3,2.9,0.9,-2.8,-5.6,-12.7,2.3,1.5,-2.4,8.1,4.4,5.5,5.1,4.7,4,4.3,9.4,12.2,9.9,10.6,12.4,12.2,12.2,11.8,10.7,9.3,9.3,8.9,4.3,6.5,6.4,6.6,7.2
Cambodia,0.9,3.7,-1.4,8.9,-4.4,10.4,4,2.3,6.9,3.2,-3.6,5.2,4.6,-5.3,2,1.8,2.4,1.9,-1.1,-10.4,-4.9,-6.2,34.7,-15.4,-11.9,11,11.5,13,2.5,-0.3,-1.5,4.5,3.9,4.5,4.3,2.5,-5.5,-1.2,-1.2,-3.5,3.8,2.4,-0.6,5.7,4.1,3.1,3.5,3,10.6,6.7,6,5.4,6.9,8.7,11.7,9.1,8.4,4.9,-1.7,4.1,5.3,5.5,5.7,5.2,5.5
Cameroon,2.5,2.4,2.3,2.3,2.3,2.2,2.2,2.2,2.1,1.2,-0.4,1.4,2,1.8,0.2,2.8,0.8,4.5,2.9,0.9,0.8,2.1,-0.8,2.1,2.7,-0.7,2.5,2.2,2.3,6.4,13.4,4.8,3.9,4.5,5.5,3.8,-7.9,-7.4,-11.6,-4.5,-6.6,-5.8,-5.9,-2.9,1.2,2.2,2.5,2.1,1.3,1.5,1.8,1.2,1.2,0.9,-0.5,0.5,0.4,-0.25,-0.9,0.5,1.4,1.9,2.8,2.4,2.4
Canada,3.3,4,1.9,-3.6,6.5,5.5,-0.5,-0.8,1.7,0.9,0.9,5,3.1,4.5,4.7,4.5,1.2,3.6,3.8,1.2,4.2,4.1,5.9,2.7,0.8,4.1,2.1,3,3.1,2.45,1.8,-4.2,1.9,4.7,4.4,1.6,2.7,3.5,0.6,-1.2,-3.3,-0.7,1.2,3.2,1.5,0.5,3.3,3.3,4.1,4.2,0.8,1.9,1.1,2.4,2.4,1.8,1.1,0.3,-3.5,2.5,2.1,1.1,1.2,1.7,1.2
Chile,1.7,4.3,5.6,-5,1.7,-0.5,7.8,3,-8,5.6,2.2,2.3,3.9,1.3,-1.3,8.9,1.2,1.6,1.8,0.2,7,-3,-7.3,-0.8,-14.4,1.7,8.1,6.6,6.7,6.3,4.4,-15.1,-4.5,4.2,0.4,3.9,4.8,5.5,8.7,1.9,6,10.3,5.2,4,8.9,5.8,5.6,2.7,-1.8,3.8,2.1,1.6,2.7,6,5.2,4.7,4.2,2.3,-2,4.8,4.9,4.4,3.2,1,2.1
China,9.6,9.5,2.7,0.9,3.5,6.9,3.2,8.6,-0.6,-3.5,-16.5,-0.4,7.2,9.2,8.8,6.4,-5.3,-4.5,5.6,9.2,2.1,0.4,5,-0.4,4.3,-2.1,4.8,9.4,6.3,2.1,4.6,6.8,6,11,8.8,5.1,8.8,5.4,0.2,2,5.1,8.4,8.4,8.8,13.9,1,4.2,-0.7,5.6,8.2,9.9,11.7,14.4,9.4,10.6,12.1,13.6,9,8.7,9.9,8.8,7.2,7.2,6.9,6
