Country,2013,2014,2015,2016,2017
Albania,3.69804,3.82856207,3.615043098,3.148752236,3.103771448
Algeria,3.289966,3.30510131,3.543459605,3.695754242,3.669445276
Angola,4.121212,3.950266509,,,
Argentina,2.083213,1.875157841,2.164398563,2.686262578,2.489224195
Armenia,3.550408,3.357683626,3.484212326,3.995435049,4.106299877
Australia,3.820942,3.546892852,3.288182279,3.302563819,3.412265062
Austria,3.199471,2.923521691,2.569919322,2.663469345,2.720834494
Azerbaijan,3.671503,3.437849025,3.437849025,4.003051758,4.629027367
Bahrain,6.15625,6.306555615,5.88988144,5.272191167,5.272191048
Bangladesh,3.621902,3.553819318,3.933333277,4.312839333,4.316245079
Barbados,4.134511,3.784566414,3.8023,3.820060812,
Belgium,2.309857,2.316388436,2.536234049,2.665659779,2.75286293
Benin,3.245529,3.6076,3.969696999,3.819697011,4.091058254
Bhutan,4.019865,3.914209642,4.104266876,4.42698527,4.583897591
Bolivia,3.48999,3.572210486,3.50505832,3.378224345,
"Bosnia and Herzegovina",3.07369685,2.8438,2.613861322,2.735731936,2.951115608
Botswana,4.55733,4.610526457,4.50159021,4.581740697,4.600831032
Brazil,2.515339,2.532470743,2.286151693,2.155767427,2.182137251
Brunei,5.307493,5.2151,5.1227,5.030303001,4.893647194
Bulgaria,3.252105,3.384977416,3.621220385,3.907491594,3.471995354
"Burkina Faso",3.469851,3.731505184,,,
Burundi,2.769402,2.709018702,2.709018702,3.357817757,3.78019619
Cambodia,4.242992,4.057794934,3.951830195,3.842978748,3.901430607
Cameroon,3.343351,3.475127573,4.069547304,4.418417503,4.370910168
Canada,4.251204,4.288924642,4.411693384,4.428704055,4.523358345
"Cape Verde",3.366166,3.417140896,3.444947286,3.718234265,3.816900015
Chad,2.173703,2.690299772,3.463818634,3.583653372,3.377643108
Chile,4.560106,4.229551523,4.558516788,5.058774644,4.739108562
China,4.047382,4.022871905,3.909966705,4.017848042,4.268233299
Colombia,2.948154,2.92205463,3.186438227,3.376088053,3.068632603
"Congo (Kinshasa)",,,,4.553191662,4.008807182
"Costa Rica",3.793667,3.722673753,3.827320297,3.872418015,3.432570934
"Ivory Coast",3.488641,3.707999766,4.368734283,4.445821316,
Croatia,2.305006,2.199321155,2.418534115,2.659576341,2.636675358
Cyprus,4.232238,4.383221191,4.677872459,4.464951264,4.524384499
"Czech Republic",2.723598,3.146441812,3.338272122,3.305937376,3.132682085
Denmark,2.775407,2.733114319,2.733125629,2.904717069,2.951606989
"Dominican Republic",2.665761,2.946089122,3.736244982,3.863943115,3.276869774
Ecuador,3.839401,3.8421,3.844827652,3.690890784,3.299864292
Egypt,2.826149,2.993882679,3.432683184,3.432683184,4.132653236
"El Salvador",3.186047,3.17921021,3.619450789,3.760995376,3.319852829
Estonia,4.305897,4.280201574,4.017092867,4.046674104,4.080857754
Ethiopia,3.195326,3.186276437,3.704084273,4.157810459,3.840090752
Finland,3.842105,3.604207055,3.295373392,3.258364538,3.265926838
France,2.779647,2.857694159,3.017309953,2.976762741,3.044542074
Gabon,4.317384,4.241720774,4.426203211,4.59419901,
Gambia,3.37795,3.560310641,3.94305388,4.216820686,4.458504677
Georgia,4.247413,4.369355177,4.8403262,5.151311912,4.966030121
Germany,3.745296,3.700652962,3.556074572,3.666632989,4.365024567
Ghana,3.660706,3.981487187,4.284430226,4.198838735,4.203134537
Greece,2.538423,2.534330103,2.789574778,2.604834816,2.234033823
Guatemala,3.618359,3.813261496,4.09801134,4.441565527,4.254992008
Guinea,3.884176,3.793144942,3.793144942,4.3184,4.84375
Guyana,3.930611,3.614408605,3.773442915,,
Haiti,3.366982,3.401146213,4.117762501,4.1915,4.265305996
Honduras,2.139263,2.777924968,3.607507599,3.597997779,3.092406511
"Hong Kong",5.967493,5.895876994,5.855001992,5.855001992,5.977011681
Hungary,2.726635,2.791841673,3.089028235,3.547815991,3.629829645
Iceland,2.978837,3.298732768,3.840491274,4.107147881,4.200695515
India,3.713425,3.917093345,4.212787441,4.360063578,4.393925667
Indonesia,4.26552,4.112131531,4.046550653,4.233429586,4.488585949
Iran,3.52954,3.525028134,3.736720117,3.813806656,3.745595694
Ireland,3.466991,3.362475565,3.737318516,3.733983171,3.182677269
Israel,3.739374,3.633575291,3.778355872,4.347132926,4.513813972
Italy,2.0252,1.945444472,2.352885814,2.733096476,2.834616661
Jamaica,2.970395,3.285814712,3.924583419,4.044755475,4.16954565
Japan,3.610831,3.759156148,4.143108505,4.32245907,4.330238342
Jordan,3.363539819,3.347826004,3.74380987,3.57352193,3.550759077
Kazakhstan,3.849443,3.930202397,4.333026716,4.456647342,4.018356323
Kenya,3.452875,3.577057377,3.745484571,3.8584803,3.869988918
"South Korea",3.234735,3.122520279,3.502000046,3.918500078,4.03249979
Kuwait,5.1875,5.317948627,4.835398537,4.380247021,4.288961411
Kyrgyzstan,3.294403,3.36835515,3.713453308,3.856790539,3.594228506
