Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,,,,,,,,,,1.19,0.86,0.53,0.2,,
Algeria,,,,,,,,,,,0.02,,,,,,
Argentina,,,,,,,,,0.2,0.1667,0.1333,0.1,,,,,
Armenia,,,,,,0.1,,,,,,,,,,,
Australia,,,,,,,,,,,3,2.8333,2.6667,2.5,,,
Austria,,,,,,,,,0.5,0.4857,0.4714,0.4571,0.4429,0.4286,0.4143,0.4,
Bahamas,,,,0.14,0.134,0.128,0.122,0.116,0.11,,,,,,,,
Barbados,,,,,,,0.3,,,,,,,,,,
Belarus,,,,,,,,0.31,,,,,,,,,
Belgium,,,,,,,,1.12,0.9,,,,,,,,
Belize,,,,,,0.3,,,,,,,,,,,
Bolivia,,,,,,,,0.1,0.085,0.07,0.055,0.04,0.025,0.01,,,
"Bosnia and Herzegovina",,,,,,,,,1.42,1.1133,0.8067,0.5,,,,,
Brazil,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Bulgaria,,,,,,,,,0.7,0.825,0.95,1.075,1.2,,,,
Cambodia,,,,0.14,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,0.5,0.7,0.9,
"Cape Verde",,,,,0.06,,,,,,,,,,,,
Chile,,,,,,,,,,,,,0.05,0.065,0.08,,
"Hong Kong",,,,,,,,,0.24,,,,,,,,
Colombia,,,,,,,,,0.28,0.262,0.244,0.226,0.208,0.19,,,
"Costa Rica",,,,,,,0.15,0.1625,0.175,0.1875,0.2,,,,,,
Croatia,,,,,,,,,,,,0.4,0.45,0.5,0.55,0.6,
Cyprus,,,,,,,,,,0.6,0.5,0.4,0.3,,,,
"Czech Republic",,,,,,,,,,,,,,1.1,1.6,,
Denmark,,,,,,,,,,,0.3,0.2667,0.2333,0.2,,,
"Dominican Republic",0.16,0.1463,0.1325,0.1188,0.105,0.0913,0.0775,0.0638,0.05,,,,,,,,
Ecuador,,,,,,0.2,0.1763,0.1525,0.1288,0.105,0.0813,0.0575,0.0338,0.01,,,
"El Salvador",,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,
Estonia,,,,1.7,1.6,1.5,1.4,1.3,1.2,,,,,,,,
Finland,,,,,,,,,,,0.4,0.575,0.75,0.925,1.1,,
France,,,,,,,,,,,0.3,0.45,0.6,0.75,0.9,,
Georgia,,,,,,,,1.72,1.13,0.54,,,,,,,
Germany,,,,,,,,,,,,,0.4,0.4667,0.5333,0.6,
Greece,,,,,0.2,,,,,,,,,,,,
Guatemala,,,,,,0.08,,,,,,,,,,,
Guyana,,,0.13,0.1488,0.1675,0.1863,0.205,0.2238,0.2425,0.2613,0.28,,,,,,
Haiti,,,,,,0.56,0.496,0.432,0.368,0.304,0.24,,,,,,
Honduras,,,,,,0.08,,,,,,,,,,,
Hungary,,,,,,,,0.5,0.5475,0.595,0.6425,0.69,0.7375,0.785,0.8325,0.88,
Iceland,,,,,,,,,,,,0.58,0.565,0.55,0.535,0.52,
Indonesia,,,,,,,,,,,0.19,0.158,0.126,0.094,0.062,0.03,
Ireland,,,,,,,,1.2,1.025,0.85,0.675,0.5,,,,,
Israel,,,,,,0.7,0.775,0.85,0.925,1,,,,,,,
Italy,,,,,,,,,,,,,0.06,0.4,,,
Jamaica,,,,,,,,,,,0.23,,,,,,
Japan,,,,,,,,,,0.1,,,,,,,
Kenya,,,,,,,,0.25,,,,,,,,,
"South Korea",,,,,0.08,,,,,,,,,,,,
