Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Madagascar,,,,,,,,26.12072,26.3839,26.6471,26.9104,27.1736,27.4368,27.7,,,,,,,,,
Mexico,,,,,,,,,,,12.2,11.7667,11.3333,10.9,13.7,16.5,11.3,9.1,8.2253,7.350553,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,14.8,15.9,17,18.1,19.2,20.3,,,,,
Mali,,,,,,,,,,,,64.4,55,24.2,25.55,26.9,28.25,29.6,30.95,32.3,,,
Mongolia,,,,,,,23.47364,21.5989,19.7242,17.8495,15.9747,14.1,12.75,11.4,12.42,13.44,14.46,15.48,16.5,17.2155760816837,,,
Mozambique,,,1.9,4.0083,6.1167,8.225,10.3333,12.4417,14.55,16.6583,18.7667,20.875,22.9833,25.0917,27.2,,,,,,,,
Mauritania,,,,,,,,,,,,,,23.9,22.0285,20.157,18.2855,16.41397,,,,,
Malawi,,,,,,,,,,,45,43.15,41.3,38.3,35.3,32.3,29.3,26.3,34.4951,42.6903,50.88541,50.79,
Namibia,,,,,,16.1932208973685,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,49.2,50.9,52.6,51.8333,51.0667,50.3,,,,
Nigeria,,,,,,,,,,,,,,41.2,35.2333,29.2667,23.3,34.07294,,,,,
Nicaragua,,,,,,,,17.5197539097,17.1898,16.8599,16.5299,16.2,21.06,25.92,30.78,35.64,40.5,48.3606,56.22113,,,,
Nepal,,,,,,42.2,41.5333,40.8667,40.2,39.5333,38.8667,38.2,37.5333,36.8667,36.2,37.0842,37.9683,38.8525,39.7366,40.6208,41.5049127269705,,
Pakistan,,,,,,,,,,,,,,,15.6,14.5667,13.5333,12.5,,,,,
Panama,,,,,,,,,,7.7,8.58,9.46,10.34,11.22,12.1,9.8,7.5,6.45,5.4,6.21,7.020013,,
Peru,,,,,,,25.7,28.4286,31.1571,33.8857,36.6143,39.3429,42.0714,44.8,39.075,33.35,27.625,21.9,23.7236,25.5472,27.37085,23.1219325657262,
Philippines,,,,,,,,16.26185,15.7257,15.1895,14.6533,14.1171,13.5809,13.0447,12.5086,11.9724,11.4362,10.9,,,,,
Portugal,,,,,,,,4.58618580669755,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,22.6,21.8338,21.0676,20.3014,19.5352,18.769,18.0028,17.2366,16.4704,15.70421,,
Romania,,,,,,,1.7,,,,,,,,,,,,,,,,
Rwanda,,,,,,,36.1,32.5875,29.075,25.5625,22.05,18.5375,15.025,11.5125,8,13.2,18.4,4.992462,5.3283,5.6642,6,,
Sudan,,,,,,,21.45267,20.6711,19.8895,19.1079,18.3263,17.5448,16.7632,15.9816,15.2,18.3764,21.5528,24.7292,27.9056,31.082,34.2583960979143,,
Senegal,,,,,,,,,,,,24.4,23.2667,22.1333,21,19.8667,18.7333,17.6,22.516,27.432,32.348,37.2640556863648,
"Sierra Leone",,,,,,,64.7,64.48,64.26,64.04,63.82,63.6,39.25,14.9,55,47.9,40.8,47.4333,54.0667,60.7,,,
"El Salvador",,,,,,,,,,17.0550538663,15.3163,13.5775,11.8388,10.1,10.35,10.6,10.4758,10.35156,10,10.94549,,,
Somalia,,,,,,,,,,,,,45.5,,,,,,,,,,
Serbia,,,,,,,,,,,,7.2,9.003,10.806,12.609,14.412,16.215,18.018,19.8211,21.6241,23.42707,,
"South Sudan",,,,,,,,,,,,,,,45.6,,,,,,,,
Swaziland,,,,,,,11.4,11.71,12.02,12.33,12.64,12.95,13.26,13.57,13.88,14.19,14.5,,,,,,
Syria,,,,,,,,,,,,,8.8,,,,,,,,,,
Chad,,,,,,,,,,,64.4,59.0167,53.6333,48.25,42.8667,37.4833,32.1,37.0218,41.9436,46.8654,51.7873,56.7090705335878,
Togo,,,,,,,,,,,,,39.84446,42.4583,45.0722,47.6861,50.3,46.9951,43.6902,40.3853,37.0804016326208,,
Thailand,,,,,,,,,,,,15.7,15.7,,,,,,,,,,
Tajikistan,,,,,,7.9,8.0333,8.1667,8.3,8.4333,8.5667,8.7,,,,,,,,,,,
"Timor Leste",,,,,,,,7.1,9.6167,12.1333,14.65,17.1667,19.6833,22.2,,,,,,,,,
"Trinidad and Tobago",,,,,,,5.2,5.0167,4.8333,4.65,4.4667,4.2833,4.1,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,3.9,,,,
Turkey,,,,,,5.2047754395,4.9327,4.6606,4.3884,4.1163,3.8442,3.5721,3.3,,,,,,,,,,
Tanzania,,,,,,,,41.4733688044,40.1787,38.884,37.5893,36.2947,35,34.16,33.32,32.48,31.64,30.8,32.2885,33.777,35.26557,,
Uganda,,,,,,,,,,,,,39.82124,39.3677,38.9142,38.4606,38.0071,37.5535,37.1,,,,
Ukraine,,,,,,,,,,,,18,16.1571,14.3143,12.4714,10.6286,8.7857,6.9429,5.1,,,,
Uruguay,,,,,,,,,,,,,,,,9.4,,,,,,,
Uzbekistan,,,,,,,21.99937,18.6595,15.3196,11.9797,8.6399,5.3,5.3,,,,,,,,,,
Venezuela,,,,,,,,,,11.4,9.25,7.1,6.9,6.6812,6.4624,6.2436,6.0249,5.8061,5.5873,5.368505,,,
Vietnam,,,,,,,,,,,,,21,19.3,17.6,15.9,14.2,12.5,11.7,,,,
Yemen,,,,,,12.38181,13.5701,14.7584,15.9467,17.1351,18.3234,19.5117,20.7,19.8,18.9,18,17.1,,,,,,
"South Africa",,,,,,29,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,48.9289,44.4193,39.9096,35.4,,,,,,,,
Zimbabwe,,,,,,15.3,,,,,,,,,,,,,,,,,
