Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kenya,60,47,54,54,44,31,31,31,33,32,32,30,26,22
Kiribati,21,31,31,31,31,31,31,31,31,31,31,31,31,31
"South Korea",17,17,17,17,17,17,14,14,7,4,4,4,4,4
Kosovo,,,,,,,52,58,58,51,29,10,10,6
Kuwait,35,35,35,35,35,35,35,35,32,32,32,31,31,61
Kyrgyzstan,21,21,21,21,21,19,15,14,14,14,10,10,10,10
Laos,131,131,131,115,85,85,85,85,77,87,87,87,87,67
Latvia,16,16,16,16,16,15.5,15.5,15.5,15.5,15.5,12.5,12.5,5.5,5.5
Lebanon,53,53,53,53,53,18,15,15,15,15,15,15,15,15
Lesotho,138,138,103,73,73,39,39,39,39,29,29,29,29,29
Liberia,,,,68,68,32,20,20,5.5,5.5,4.5,4.5,4.5,4.5
Libya,,,,,,,,,,35,35,35,35,35
Lithuania,26,26,26,26,26,26,26,22,22,19.5,8.5,5.5,5.5,5.5
Luxembourg,,,,28,24,24,22,16.5,16.5,16.5,16.5,16.5,16.5,16.5
"Macedonia (F.Y.R.O.M.)",49,49,49,19,16,10,5,4,4,3,3,3,2,2
Madagascar,67,47,42,20,12,12,12,12,12,12,12,12,13,11
Malawi,43,37,37,37,37,37,36,36,36,37,40,38,38,37
Malaysia,37,37,37,37,31,20,18,17,8,9,9,7,7,18
Maldives,9,9,9,9,9,9,12,12,12,12,12,12,12,12
Mali,33,33,27,42,25,25,8,8,8,8,11,11,8.5,8.5
Malta,,,,,,,,,38.5,38.5,38.5,33.5,28,26
"Marshall Islands",22,17,17,17,17,17,17,17,17,17,17,17,17,17
Mauritania,82,82,82,82,50,19,19,19,19,19,19,8,8,8
Mauritius,,46,46,46,7,6,6,6,6,6,6,6,6,6
Mexico,31.5,31.5,31.5,9.5,9,10.5,9.5,8.5,8.5,8.5,8.4,8.4,8.4,8.4
Micronesia,36,16,16,16,16,16,16,16,16,16,16,16,16,16
Moldova,42,32,30,31,23,16,10,10,9,9,7,7,6,6
Mongolia,20,13,13,13,13,13,13,13,13,12,11,11,6,6
Montenegro,,,,24,24,21,12,10,10,10,10,10,10,10
Morocco,35,12,12,12,12,12,12,12,12,12,11,11,10,9.5
Mozambique,168,174,174,116,31,33,33,19,19,19,19,19,19,19
"Burma (Myanmar)",,,,,,,,,,76,76,76,15,13
Namibia,86,85,95,95,99,66,66,66,66,66,66,66,66,66
Nepal,31,31,31,31,31,31,31,31,29,29,17,17,17,17
Netherlands,9,9,9,8,8,8,8,8,8,5,4,4,4,4
"New Zealand",12,12,12,12,12,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Nicaragua,47,40,40,40,39,39,39,39,39,39,36,13,13,13
Niger,35,35,35,31,23,19,17,17,17,17,17,15,15,10
Nigeria,37,37,36,36,28,25,25,25,28,28,30.5,30.5,30.5,25.2
Norway,18,18,8,7,8,6,6,6,6,6,6,5,4,4
Oman,35,35,35,42,39,14,12,12,8,8,8,8,8,6
Pakistan,25,25,23,25,24,24,20,20,19,19,19,19,19,18
Palau,33,24,24,28,28,28,28,28,28,28,28,28,28,28
Panama,18,18,18,18,18,12,12,9,8,7,6,6,6,6
"Papua New Guinea",52,52,52,52,52,52,52,52,52,52,53,53,53,41
Paraguay,72,72,72,72,34,35,35,35,35,35,35,35,35,35
Peru,100,100,104,74,74,66.5,40.5,27,26,26,26,26,26,26
Philippines,49,49,47,47,47,41,42,37,36,36,36,34,29,28
Poland,63,63,52,45,45,45,39,39,39,39,37,37,37,37
Portugal,78,78,48,7.5,6.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5
"Puerto Rico",7,7,7,7,7,7,7,7,6,6,6,6,6,5.5
Qatar,,,,,7,7,7,9.5,8.5,8.5,8.5,8.5,8.5,8.5
Romania,29,28,11,11,8,8,8,8,12,8,8,8,8,12
Russia,43,30,29,29,29,29,29,29,29,18,12.9,11.2,10.5,9.8
Rwanda,18,18,18,16,16,14,7,7,7,8,7,7,6,4
"Saint Thomas and Principe",,144,144,144,144,144,144,144,10,7,6,5,5,5
Samoa,42,42,35,35,35,35,9,9,9,9,9,9,9,9
"San Marino",,,,,,,,,,40,40,35,11.5,11.5
"Saudi Arabia",77,77,70,45,23,23,23,23,23,20,20.5,20.5,19,15
Senegal,57,57,57,57,58,9,9,9,6,6,6,6,6,6
Serbia,56,56,23,23,23,23,13,13,13,12,12,12,12,7
Seychelles,,,33,33,33,33,33,33,33,33,32,32,32,32
"Sierra Leone",26,26,26,26,26,17,12,12,12,12,12,12,10,10
Singapore,8,8,6,6,5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Slovakia,103,52,27,27,27,17.5,17.5,17.5,17.5,13.5,18.5,11.5,11.5,11.5
Slovenia,61.5,61.5,61.5,61.5,61.5,20.5,8.5,7.5,7.5,7.5,7.5,7.5,7.5,7
"Solomon Islands",55,55,55,55,55,55,55,55,41,7,9,9,9,9
Somalia,,,,,,,,,,,,,70,70
"South Africa",56,56,53,53,53,45,45,45,45,45,45,46,46,43
"South Sudan",,,,,,,,,,14,14,14,14,14
Spain,138,137,70,60,60,61,61,52,29,30,24,14,14,13
"Sri Lanka",56,46,46,46,42,44,44,38,35,11,11,11,10,9
"Saint Kitts and Nevis",,,19,19,19,19,19,19,19,19,18.5,18.5,18.5,18.5
"Saint Lucia",,,22,20,20,20,14,14,11,11,11,11,11,11
"Saint Vincent and Grenadines",,,12,12,12,12,11,10,10,10,10,10,10,10
Sudan,,38,38,38,38,38,36,36,36,36,36,36,36,36
Suriname,,,697,689,689,690,690,690,690,690,204,84,84,84
Swaziland,,,60,60,60,60,60,56,56,56,38,30,30,30
Sweden,16,16,16,16,16,16,16,16,16,16,16,16,7,7
Switzerland,20,18,18,18,18,18,18,18,18,18,18,10,10,10
Syria,43,43,43,43,43,16,15,13,13,13,13,13,13,15
Taiwan,48,48,65,65,47,41,22,15,10,10,10,10,10,10
Tajikistan,,,79,79,66,66,42,16,13,13,22,28,11,22
Tanzania,34,34,34,31,30,29,29,29,29,26,26,26,26,26
Thailand,34,34,34,34,34,34,33,33,30,29,27.5,27.5,27.5,25.5
"Timor Leste",,167,167,167,158,157,157,110,94,94,94,10,9,9
Togo,74,63,63,62,60,60,84,84,84,38,19,10,10,6
Tonga,32,32,32,32,32,25,25,25,16,16,16,16,16,16
"Trinidad and Tobago",,,74,41,41,41,41,40,40,40,35.5,11.5,11.5,10.5
Tunisia,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Turkey,39,7,7,7,7,7,7,7,7,7,7,7.5,7.5,6.5
Uganda,36,36,36,30,30,27,27,26,26,29,28,28,27,26
Ukraine,40,34,34,33,27,27,27,27,24,22,21,21,7,5
"United Arab Emirates",19,19,19,19,18,18,15,15,13,8,8,8,8,8
"United Kingdom",13,13,12,10.5,10.5,10.5,10.5,11.5,11.5,11.5,11.5,6,4.5,4.5
"United States",6,6,6,6,6,5,5,5,5,5,6.2,5.6,5.6,5.6
Uruguay,45,45,45,43,43,43,64,64,6.5,6.5,6.5,6.5,6.5,6.5
Uzbekistan,28,28,28,28,14,14,14,14,13,11,7.5,7.5,5.5,5.5
Vanuatu,47,47,47,47,47,47,47,47,33,33,35,35,35,18
Venezuela,143,143,143,143,142,141,141,141,141,144,144,144,186,230
Vietnam,61,47,41,46,37,37,37,36,36,32,34,34,20,24
"West Bank and Gaza",,74,74,74,73,63,63,63,62,49,47,43,43,43
Yemen,72,63,63,63,63,13,12,12,12,40,40,40,40,40
Zambia,36,36,36,36,34,19,19,19,19,18.5,8.5,8.5,8.5,8.5
Zimbabwe,132,94,94,94,94,94,94,87,87,87,91,91,91,91
