Country,2012,2013,2014,2015,2016
Albania,,0.1560411,0.351741119,0.177556818,0.235876194
Algeria,0.1984969,0.088107073,0.153685136,0.181611516,0.218032744
Angola,,0.013101412,0.012738854,,
Argentina,1.079767047,1.214056229,1.362523524,1.291007612,1.175798456
Armenia,1.369539306,1.714060992,3.16636123,3.733617799,2.768456376
Australia,83.49945546,81.66294713,78.35288925,76.91367024,76.16506304
Austria,144.6184448,157.7348946,166.3102812,167.477319,170.0521633
Azerbaijan,0.44117952,0.441777483,0.617385578,0.708355892,0.476550137
Bahrain,2.066272336,1.882179524,1.144080307,1.92586157,3.090640922
Bangladesh,0.006801326,0.008014322,0.012711174,0.023742315,0.022647138
Barbados,11.47483741,11.29800585,40.61371841,46.2361,51.85851319
Belgium,102.3670478,109.6230002,113.3457856,111.0944304,108.5084181
Benin,0.029063782,0.028248932,,,
Bhutan,,0.413257294,0.406504065,,
Bolivia,0.039790376,0.085320756,0.082321949,0.115409473,0.090244563
"Bosnia and Herzegovina",2.090143996,1.961358446,2.1715,2.381565396,1.940433213
Botswana,,0.049826976,0.15474432,0.337446414,0.15031265
Brazil,2.765946422,2.889404734,3.227412122,3.513342918,3.529115933
Brunei,1.914061204,3.133460343,3.1768,3.2202,3.263546798
Bulgaria,3.613881938,3.745258132,5.052821593,6.87213089,7.000832248
"Burkina Faso",0.031280344,0.022770448,0.0234375,,
Cambodia,,,,0.02102395,0.036823461
Cameroon,0.243372091,0.191337376,0.059711474,0.002589037,0.030311297
Canada,77.5962181,81.26673806,84.8487673,86.7297121,90.05807461
Chad,0.045716004,0.04453467,,,
Chile,3.807041267,5.719402648,6.694227161,7.061521083,7.463372713
China,6.513578419,9.155449744,11.65852457,13.44363675,15.24533917
Colombia,1.126588771,1.116579774,1.241174103,1.438336594,1.940895661
"Costa Rica",1.664564632,1.699005833,1.341469397,1.37452552,2.367322203
"Ivory Coast",,0.025332104,0.044078106,0.0465,0.048836796
Croatia,9.972131148,10.17576904,9.983064705,10.26060494,9.704372486
