Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,275,275,275,275,275,275,275,275,275,275,275,275
Albania,364,364,364,368,368,360,371,357,357,357,357,261
Algeria,451,451,451,451,451,451,451,451,451,385,385,265
Angola,284,284,284,284,284,294,294,294,294,294,294,287
"Antigua and Barbuda",184,184,184,207,207,207,207,207,207,207,207,207
Argentina,453,453,453,453,453,453,415,405,405,405,405,359
Armenia,572,572,578,578,578,578,498,372,372,313,313,313
Australia,107,107,107,107,107,109,109,109,105,105,105,105
Austria,170,170,170,170,170,170,170,170,166,131,131,131
Azerbaijan,756,1000,952,376,376,306,225,214,214,195,195,195
Bahamas,,,58,58,58,58,58,58,58,58,58,233
Bahrain,,,27,27,27,27,27,27,27,27,27,27
Bangladesh,400,400,400,302,302,302,422,422,422,422,422,435
Barbados,,,,,,,245,237,237,237,237,237
Belarus,986.5,986.5,986.5,986.5,900,798,654,338,319,183,176,176
Belgium,156,156,156,156,156,156,156,156,160,160,161,161
Belize,147,147,147,147,147,147,147,147,147,147,147,147
Benin,270,270,270,270,270,270,270,270,270,270,270,270
Bhutan,85,85,85,85,85,85,85,85,85,85,85,85
Bolivia,1080,1080,1080,1080,1080,1080,1080,1025,1025,1025,1025,1025
"Bosnia and Herzegovina",368,368,368,428,422,422,422,407,407,407,420,411
Botswana,140,140,140,140,140,152,152,152,152,152,152,152
Brazil,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2038
Brunei,,144,144,144,144,144,96,96,96,93,89,76.5
Bulgaria,598,598,598,598,598,598,482,436,436,436,453,453
"Burkina Faso",270,270,270,270,270,270,270,270,270,270,270,270
Burundi,140,140,140,140,140,211,274,274,274,274,274,232
"Cape Verde",186,186,186,186,186,186,186,186,186,186,180,180
Cambodia,137,137,137,137,125,173,173,173,173,173,173,173
Cameroon,654,654,654,654,654,654,654,654,630,630,630,630
Canada,119,119,119,119,119,131,131,131,131,131,131,131
"Central African Republic",504,504,504,504,504,504,504,483,483,483,483,483
Chad,732,732,732,732,732,732,732,732,732,732,732,766
Chile,316,316,316,316,316,316,316,291,291,291,291,291
China,832,832,832,464,463.8,358,358,338,318,261,261,259
Colombia,456,456,268,256,208,208,193,203,203,239,239,239
Comoros,100,100,100,100,100,100,100,100,100,100,100,100
"Congo (Kinshasa)",308,308,308,308,308,336,336,336,348,340,346,346
"Congo (Brazzaville)",606,606,606,606,606,606,606,606,602,602,602,602
"Costa Rica",402,402,402,282,282,272,246,226,226,163,151,151
"Ivory Coast",270,270,270,270,270,270,272,272,272,272,272,270
Croatia,232,196,196,196,196,196,196,196,196,208,206,206
Cyprus,,,,149,149,149,149,146.5,146.5,146.5,145.5,127
"Czech Republic",866,759,759,759,442,386,386,242,242,242,234,234
Denmark,135,135,135,135,135,135,135,130,130,130,130,130
Djibouti,66,66,66,66,66,90,82,82,82,82,82,82
Dominica,147,147,147,117,117,117,117,117,117,117,117,117
"Dominican Republic",232,286,286,480,324,324,324,324,324,316,316,317
Ecuador,600,600,600,600,600,654,654,654,654,654,654,664
Egypt,504,595.5,711,711,480,433,433,392,392,392,392,392
"El Salvador",320,320,320,320,320,320,320,320,320,320,312,248
"Equatorial Guinea",492,492,492,492,492,492,492,492,492,492,492,492
Eritrea,216,216,216,216,216,216,216,216,216,216,216,216
Estonia,81,81,81,81,81,81,81,81,81,81,81,84
Ethiopia,212,212,198,198,198,198,198,306,306,306,306,306
Fiji,206,206,206,206,212,225,225,225,257,257,257,247
Finland,269,269,269,269,243,243,93,93,93,93,93,93
France,132,132,132,132,132,132,132,132,137,137,137,139
Gabon,488,488,488,488,488,488,488,488,488,488,488,488
Gambia,376,376,376,376,376,376,376,376,376,376,326,326
Georgia,448,387,387,387,387,387,387,280,280,362,362,270
Germany,196,196,196,196,196,215,221,207,218,218,218,218
Ghana,304,304,304,224,224,224,224,224,224,224,224,224
Greece,264,264,264,224,224,224,224,202,193,193,193,193
Grenada,140,140,140,140,140,140,140,140,140,140,140,140
Guatemala,344,344,344,344,344,344,344,332,326,256,256,256
Guinea,416,416,416,416,416,416,416,416,440,440,440,440
"Guinea Bissau",208,208,208,208,208,208,208,208,208,208,208,208
Guyana,288,288,288,288,288,288,263,263,256,256,256,256
Haiti,184,184,184,184,184,184,184,184,184,184,184,184
Honduras,424,424,424,224,224,224,224,224,224,224,224,224
"Hong Kong",80,80,80,80,80,80,80,78,78,78,74,74
Hungary,340,340,340,330,330,277,277,277,277,277,277,277
Iceland,140,140,140,140,140,140,140,140,140,140,140,140
India,264,264,271,271,271,258,254,243,243,243,243,241
