Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,1922.998992,2005.998668,2009.215542,2090.458041,2151.816704,2267.824831,2290.629319,2437.433393,2547.246589,2652.104913,2786.377662,2809.524545,2902.516867,3001.519227,3104.320047,3217.575685,3338.211311,3463.857666,3588.867756,3710.753399,3847.648306,4001.445598,4158.117387,4365.227469,4381.5007,4396.767122,4414.366135,4433.677374,4454.083859,4475.79902,4507.406716,4531.589164,4556.506054,4583.104891,4609.196627,4633.319033,4662.759816,4692.103913,4721.812918,4757.421792,4799.921666,3525.34231,3387.640394,3719.783577,4010.745744,4302.702216,4627.660537,4094.24639,4473.280004,5090.218013,5493.754366,6007.090283,6340.358812,6752.71137,7181.318794,7631.075371,8131.935746,8659.412427,9332.120127,9650.268318,9993.211282,10221.18212,10337.75012,10411.69972,10565.57862,10768.85431,11097.23751,11472.37074
Algeria,5277.230713,5208.403358,5320.2323,5292.71179,5556.61215,5588.450747,6005.4417,6547.570026,6646.633425,7708.58899,8074.362226,6958.125042,5541.401795,6835.636305,6983.051168,7229.737528,6670.913343,7053.774095,7646.41068,8141.610798,8697.374576,7732.341796,9086.430579,9112.368165,9386.864205,9751.992283,10085.64821,10667.40323,11672.68162,12343.66608,12187.6063,12107.62557,12480.80227,12716.4993,13005.18083,13267.25728,12765.14348,12342.19934,11767.22724,11858.52491,11395.05934,10981.27556,10875.81478,10387.9286,10070.5317,10250.05395,10449.21579,10390.98812,10755.33994,10939.29591,11194.4477,11367.30877,11833.88097,12506.71074,12853.38762,13418.74328,13439.25794,13654.98818,13728.14841,13695.59206,13921.72885,14039.64944,14238.77827,14360.53744,14627.45361,14889.23304,15104.95223,15141.65227
Angola,6535.148444,6686.487007,6841.38026,6993.332207,6705.76166,7135.7249,6896.61691,7438.59567,7707.6846,7613.138599,7785.008448,8674.271842,8296.216668,8576.663971,9379.010439,9914.803836,10314.9668,10732.06357,10389.76456,10509.25789,10982.94809,10738.39891,10635.25727,11118.28526,10628.03673,6665.57709,5926.24901,5845.529428,5965.934804,5954.586289,5973.528373,5737.603467,5355.779431,5020.796999,4909.628054,4842.116763,4313.102011,4719.973603,5299.096869,5302.707351,5393.440255,5262.545003,4781.796568,3500.104801,3414.390322,3783.445874,4150.448785,4310.880088,4373.994472,4333.929115,4335.218397,4384.761002,4818.56085,4878.182875,5190.546187,5905.394593,6873.408173,8119.819686,8902.825053,8779.799046,8743.356032,8754.217922,8862.983892,9113.622887,9202.834436,9139.640926,8758.68842,8649.963682
Argentina,9181.307173,9340.208455,8685.465994,8974.673753,9168.610952,9642.102097,9731.056526,10053.94232,10490.83705,9650.328331,10235.8101,10792.52909,10452.63731,10044.28363,10910.88743,11729.50074,11637.17977,11781.42936,12110.63586,12956.68798,13444.01427,13863.74269,14056.37952,14659.18731,15344.29708,14954.73499,14665.13045,15289.61092,14374.31319,15146.97414,15108.43894,14004.81435,13340.52137,13600.67263,13672.11072,12584.13222,13300.08372,13436.58088,12988.13976,12004.49849,11843.97299,12904.24795,14039.50113,14726.21119,15388.99109,14770.20373,15407.78763,16464.09506,16903.32843,16151.71785,15847.35019,14986.70937,13216.41351,14235.98242,15355.65283,16535.74623,17689.12479,19103.68973,19683.84512,18332.27232,19986.33071,20966.47412,20542.63424,20829.85804,20107.46774,20441.66206,19795.06293,20005.64188
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244.653643,4362.024682,4481.31073,4506.83497,4650.64514,4790.326933,4748.586528,4472.06432,4249.20799,4808.090986,4417.10942,3835.145127,2283.183777,2068.653977,2269.329841,2504.727966,2642.804579,2738.827427,2916.62399,3011.170492,3191.537003,3494.353237,4015.848366,4591.159702,5075.614474,5796.857786,6568.270432,7477.410381,8002.481713,6875.047677,7031.54281,7367.791552,7899.980427,8168.41429,8472.551998,8760.406237,8791.739641,9143.983353
Australia,13571.8091,13747.1748,13583.27451,13743.35437,14265.83685,14699.5049,14847.66952,14814.55047,15208.68325,15800.08256,16097.5913,15845.31146,16529.54484,17212.78152,18034.95482,18589.71271,18753.4643,19653.41493,20414.37102,21170.07395,22017.07766,22504.125,22714.51672,23581.8905,23777.88667,24116.11397,24828.44951,24805.62432,25212.6527,26221.42399,26390.43554,26845.4732,26390.39866,26073.79893,27581.73966,28636.38885,28853.95608,29835.70021,30676.12189,31485.78316,31445.99094,30666.02591,31268.85018,32271.93027,33441.60651,34175.57057,35124.62682,36135.71827,37527.88496,38613.26319,39508.63738,39985.84765,41113.42985,41871.3634,43047.39782,43843.96356,44347.74351,45500.24328,45616.87651,45603.90229,46044.04253,46495.49928,47368.84605,47622.59036,48243.86429,48737.86252,49229.53533,49413.56735
Austria,7318.53976,7818.727374,7834.235073,8169.595969,8994.477313,9979.04803,10657.14525,11287.94658,11664.14111,11949.52183,12872.43122,13481.51447,13723.74557,14190.93856,14942.73138,15272.90699,16019.75019,16383.90728,17023.39685,18031.55718,19248.68113,20142.64822,21269.26262,22185.43888,23021.12409,22998.64568,24093.82829,25210.96438,25139.72723,26556.4102,27170.82127,27089.35182,27569.58141,28424.32796,28514.04696,29132.2179,29780.6435,30238.50167,31110.82863,32306.56169,33362.41554,34167.77841,34501.28006,34398.19958,35089.18866,35970.23417,36783.2225,37551.71921,38845.90358,40162.25285,41415.35372,41814.31455,42298.08232,42410.82278,43288.94389,43915.41629,45162.93902,46647.0625,47220.76223,45307.96716,46070.93055,47205.20779,47340.9058,47123.66082,47082.17151,47031.27339,47415.12764,48400.44261
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9502.834599,9934.163598,10385.22935,10621.63215,11087.19776,11350.56338,11488.88373,11929.30408,12370.01502,11166.83239,9805.492326,9603.808426,7320.77608,5543.347319,4389.156938,3770.519229,3824.717396,4121.000276,4323.778624,4770.740776,5023.766338,5305.859191,5694.206015,6243.610712,6820.621551,8536.52044,11360.5586,14049.4733,15403.13307,16660.16158,17307.86942,16855.55453,17045.65304,17853.34191,18145.86936,18086.4806,17362.99012,16984.79327
Bahrain,21043.81384,21848.28959,22672.53552,23507.29793,24355.91761,25177.33438,25984.16693,26736.67884,27393.80712,27963.67639,28432.70085,28823.47109,29304.4086,29940.56233,30727.18442,31733.51003,32827.39959,34018.09913,35201.52867,36454.40848,37877.62265,39824.81753,41977.62724,43757.0893,45736.56769,39221.2213,43130.09161,44439.58467,44147.23659,42218.22493,43880.95091,43129.79463,44143.27334,45416.12504,45565.4127,43738.93393,43159.1695,42564.40514,42672.82251,42352.35751,41039.51391,40836.88562,42629.6672,44751.75153,45061.06667,44776.60527,45042.00956,44833.13175,45569.99002,46557.89383,47719.65601,46600.05044,45698.36185,45861.32754,46040.19377,45872.62639,45310.13905,45401.37079,44829.79853,43233.55663,43079.51486,42649.33906,43494.3181,45320.58481,46549.31342,46643.95737,46233.5892,45238.23589
Bangladesh,1182.786524,1186.30815,1202.012308,1199.400955,1199.160507,1113.021271,1208.621461,1162.60655,1117.590441,1153.361689,1193.944516,1236.445902,1206.334749,1302.559484,1290.347388,1332.643764,1323.067125,1267.913874,1357.567198,1348.05644,1380.571407,1285.588224,1108.303869,1090.212536,1199.695881,1160.34328,1185.883908,1160.740905,1208.619825,1228.753898,1202.55407,1207.946369,1194.878995,1224.847345,1262.412462,1271.686162,1296.909247,1320.208826,1326.844048,1328.260146,1383.344719,1401.844405,1425.50161,1451.621104,1486.966136,1528.270053,1574.949414,1627.546428,1677.360495,1735.904444,1801.884967,1858.510302,1918.41246,1999.383142,2091.977109,2194.663654,2315.803911,2439.004217,2547.536775,2654.146853,2782.304566,2930.342593,3080.148371,3231.635701,3400.255784,3596.449359,3814.324777,4045.111036
Barbados,3690.010718,3824.094708,3979.621777,4140.250025,4296.926281,4498.782024,4779.365592,5057.355849,5285.734525,5501.047083,5787.254805,6186.225904,6448.029169,6568.327538,6918.166062,7040.929242,7482.651109,8155.785379,9175.653814,10066.5771,11099.43887,11445.0472,11502.9152,11576.81885,10973.84918,10696.34942,11127.54777,11475.11826,11990.43228,12886.16166,13409.31734,13133.95059,12435.49288,12430.38761,12814.17447,12898.07176,13502.4404,13807.57927,14245.2705,14693.71881,14145.32998,13531.23284,12706.8289,12749.01533,12955.76249,13171.50199,13645.10013,14217.52164,14677.71227,14658.63513,15253.52221,14819.94744,14870.82534,15116.4296,15257.76572,15804.38543,16632.02341,16845.92016,16852.08678,16110.68667,16094.65206,16152.43127,16138.37914,16068.42878,16029.90971,16123.02549,16332.30181,16428.54718
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7470.398452,7750.641937,8044.300837,8398.553089,8627.360584,8660.697883,8842.321374,8894.015973,8816.996538,9363.444468,9029.076742,8898.56516,8026.668068,7400.205423,6542.178254,5835.842091,6017.998014,6733.900738,7329.074201,7595.97977,8057.839095,8467.274536,8934.22896,9611.59152,10765.80388,11841.15631,13082.05764,14257.60491,15753.33673,15804.75846,17056.58193,18036.85818,18383.16737,18605.53427,18961.26305,18270.01723,17822.12321,18074.94934
Belgium,10359.77104,10899.77271,10750.53714,11034.8713,11434.97744,11911.24791,12181.01077,12317.90897,12217.75654,12533.45223,13185.52515,13755.92415,14382.31122,14912.16287,15819.3411,16233.98595,16644.71877,17205.89985,17857.74992,19000.81028,20124.78812,20805.1633,21815.98097,23081.90133,23979.01299,23595.5435,24888.14642,25016.42131,25706.75319,26288.50234,27439.35698,27081.4883,27452.73378,27451.64331,28131.98081,28406.51984,28820.02499,29475.34934,30823.47038,31756.99019,32616.27255,33090.95854,33461.42266,33010.39589,33970.81106,34708.11285,35192.38705,36409.87189,37049.95658,38282.25042,39577.26757,39761.48973,40288.34831,40430.76031,41719.37961,42359.54204,43132.74337,44271.86899,44251.74259,42894.02493,43692.90891,44085.05888,43872.55507,43639.0187,44160.92047,44553.84898,44938.2054,45362.64347
Bolivia,3618.825392,3794.684326,3828.655441,3393.819181,3391.561997,3494.508665,3216.402279,3042.65404,3046.679392,2969.908181,3028.490462,3022.357296,3118.854903,3243.698277,3321.992503,3404.563094,3565.408782,3699.32316,3919.30635,3996.388417,4103.41267,4156.292097,4261.961493,4443.736315,4559.252799,4743.592712,4990.800828,5073.884281,5118.031668,4999.410344,4849.331431,4802.308884,4513.902808,4240.838968,4212.122146,4111.785588,3910.466321,3937.859842,4005.431216,4031.745311,4143.200904,4259.222103,4227.716999,4307.805832,4408.536096,4514.461592,4611.766401,4739.12222,4873.777566,4792.786595,4811.352822,4791.716824,4810.183878,4840.409437,4942.216716,5060.03304,5201.489712,5337.198508,5561.942627,5646.259022,5777.608369,5975.261363,6176.757386,6488.825159,6733.34853,6949.760089,7134.495401,7321.669448
Brazil,3729.035017,3796.800592,3908.6307,3979.862817,4121.353492,4295.667454,4230.292715,4448.195308,4709.386015,4954.285677,5208.254314,5436.714853,5601.087115,5494.619961,5514.573095,5461.515339,5636.272277,5697.033608,6032.235365,6379.317854,6818.482551,7313.135831,7891.784139,8655.208548,9103.157725,9340.601525,9970.176136,10183.74055,10435.90679,10907.8077,11588.32236,10817.71276,10624.21882,10033.80194,10357.43276,10961.35063,11603.10536,11754.49762,11498.02308,11652.2225,10974.94505,10903.17469,10675.45071,10995.28423,11401.36592,11723.8465,11803.63903,12023.61958,11887.43564,11769.80255,12110.0167,12106.45562,12307.99238,12287.39847,12834.35746,13089.22255,13455.10854,14118.99422,14686.66554,14525.3841,15474.12147,15945.72299,16111.33612,16456.07706,16404.58674,15662.36488,14984.62314,15022.81655
Bulgaria,3385.829066,4078.162364,3882.567017,4275.93806,4152.117185,4404.535768,4364.004909,4779.049028,5143.494481,5503.210465,5971.154011,6299.843287,6757.698319,7009.420038,7500.328607,7895.24948,8459.879753,8858.652951,8957.681667,9322.123526,9788.621549,10052.35694,10479.62773,10836.85011,11102.41299,11957.44913,12267.20474,12091.47613,12343.84136,12806.83987,12394.23852,12686.77789,13063.51498,12790.59318,13187.07542,12767.68403,13083.00489,13088.39476,12991.74816,12747.53649,11477.76815,10659.44447,10011.24721,10114.13196,10393.09523,10796.68525,9917.399348,9909.594068,10359.32014,9821.170665,10384.38604,10860.60507,11598.20119,12293.35289,13181.94337,14222.11387,15305.75729,16536.90556,17636.41065,17089.5794,17402.23265,17833.36934,17941.14003,18197.03792,18540.30452,19321.36318,20104.68443,20812.58884
