Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,8.6,9.0778,9.5556,10.0333,10.5111,10.9889,11.4667,11.9444,12.4222,12.9,13.1063,13.3125,13.5188,13.725,13.9313,14.1375,14.3438,14.55,14.7563,14.9625,15.1688,15.375,15.5813,15.7875,15.9938,16.2
Algeria,,,,,,,,,,,,,,,1.5,1.77,2.04,2.31,2.58,2.85,3.12,3.39,3.66,3.93,4.2,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,13.4,16.4364,19.4727,22.5091,25.5455,28.5818,31.6182,34.6545,37.6909,40.7273,43.7636,46.8
Argentina,12.1,11.78,11.46,11.14,10.82,10.5,10.1111,9.7222,9.3333,8.9444,8.5556,8.1667,7.7778,7.3889,7,7.22,7.44,7.66,7.88,8.1,8.24,8.38,8.52,8.66,8.8,12.4667,16.1333,19.8,23.4667,27.1333,30.8
Armenia,,,,,,19.4,18.6947,17.9895,17.2842,16.5789,15.8737,15.1684,14.4632,13.7579,13.0526,12.3474,11.6421,10.9368,10.2316,9.5263,8.8211,8.1158,7.4105,6.7053,6,10.2,14.4,18.6,22.8,27,31.2
Australia,,,,,,15.1,15.5571,16.0143,16.4714,16.9286,17.3857,17.8429,18.3,18.7571,19.2143,19.6714,20.1286,20.5857,21.0429,21.5,21.9,22.3,22.7,23.1,23.5,28.2333,32.9667,37.7,42.4333,47.1667,51.9
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
Azerbaijan,,,,,,20.1,20.1421,20.1842,20.2263,20.2684,20.3105,20.3526,20.3947,20.4368,20.4789,20.5211,20.5632,20.6053,20.6474,20.6895,20.7316,20.7737,20.8158,20.8579,20.9,27.35,33.8,40.25,46.7,53.15,59.6
Bangladesh,,,,,,7.6,7.8333,8.0667,8.3,8.5333,8.7667,9,9.2333,9.4667,9.7,11.1438,12.5875,14.0313,15.475,16.9188,18.3625,19.8063,21.25,22.6938,24.1375,25.5813,27.025,28.4688,29.9125,31.3563,32.8
Belarus,12.3,12.26,12.22,12.18,12.14,12.1,12.1368,12.1737,12.2105,12.2474,12.2842,12.3211,12.3579,12.3947,12.4316,12.4684,12.5053,12.5421,12.5789,12.6158,12.6526,12.6895,12.7263,12.7632,12.8,15.6,18.4,21.2,24,26.8,29.6
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7
"Bosnia and Herzegovina",,,,,,10.2,10.9444,11.6889,12.4333,13.1778,13.9222,14.6667,15.4111,16.1556,16.9,17.8125,18.725,19.6375,20.55,21.4625,22.375,23.2875,24.2,25.1125,26.025,26.9375,27.85,28.7625,29.675,30.5875,31.5
Brazil,5.8,5.7368,5.6737,5.6105,5.5474,5.4842,5.4211,5.3579,5.2947,5.2316,5.1684,5.1053,5.0421,4.9789,4.9158,4.8526,4.7895,4.7263,4.6632,4.6,4.6,4.6,4.6,4.6,4.6,8.3,12,15.7,19.4,23.1,26.8
Bulgaria,,,,,,17.9,18.1786,18.4571,18.7357,19.0143,19.2929,19.5714,19.85,20.1286,20.4071,20.6857,20.9643,21.2429,21.5214,21.8,23.4091,25.0182,26.6273,28.2364,29.8455,31.4545,33.0636,34.6727,36.2818,37.8909,39.5
"Burkina Faso",,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,22.3,21.8,21.3,20.8,20.3,19.8,,,,,,,,,,,
Chile,5.5,6.26,7.02,7.78,8.54,9.3,9.7333,10.1667,10.6,11.0333,11.4667,11.9,12.3333,12.7667,13.2,12.94,12.68,12.42,12.16,11.9,12.42,12.94,13.46,13.98,14.5,17,19.5,22,24.5,27,29.5
China,37.9,33.42,28.94,24.46,19.98,15.5,15.5571,15.6143,15.6714,15.7286,15.7857,15.8429,15.9,15.9571,16.0143,16.0714,16.1286,16.1857,16.2429,16.3,16.54,16.78,17.02,17.26,17.5,27.6167,37.7333,47.85,57.9667,68.0833,78.2
Colombia,,,,,,2,2.1714,2.3429,2.5143,2.6857,2.8571,3.0286,3.2,3.3714,3.5429,3.7143,3.8857,4.0571,4.2286,4.4,4.44,4.48,4.52,4.56,4.6,8.6333,12.6667,16.7,20.7333,24.7667,28.8
Croatia,,,,,,27.7,28.032,28.364,28.696,29.028,29.36,29.692,30.024,30.356,30.688,31.02,31.352,31.684,32.016,32.348,32.68,33.012,33.344,33.676,34.008,34.34,34.672,35.004,35.336,35.668,36
Cyprus,,,,,,,,,,,,,,,,,,,,11.1,11.32,11.54,11.76,11.98,12.2,15.1667,18.1333,21.1,24.0667,27.0333,30
"Czech Republic",8.1,8.46,8.82,9.18,9.54,9.9,12.428,14.956,17.484,20.012,22.54,25.068,27.596,30.124,32.652,35.18,37.708,40.236,42.764,45.292,47.82,50.348,52.876,55.404,57.932,60.46,62.988,65.516,68.044,70.572,73.1
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9
"Dominican Republic",,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,4,7.45,10.9,14.35,17.8,21.25,24.7
Egypt,,,,,,,,,,,,,,,0.9,1.06,1.22,1.38,1.54,1.7,1.86,2.02,2.18,2.34,2.5,4.4833,6.4667,8.45,10.4333,12.4167,14.4
"El Salvador",,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,25,24.3158,23.6316,22.9474,22.2632,21.5789,20.8947,20.2105,19.5263,18.8421,18.1579,17.4737,16.7895,16.1053,15.4211,14.7368,14.0526,13.3684,12.6842,12,14.5167,17.0333,19.55,22.0667,24.5833,27.1
Ethiopia,,,,,,,,,,,,,,,,,,,,13.8,16.0091,18.2182,20.4273,22.6364,24.8455,27.0545,29.2636,31.4727,33.6818,35.8909,38.1
Finland,,,,,,20.8,21.75,22.7,23.65,24.6,25.55,26.5,27.45,28.4,29.35,30.3,31.25,32.2,33.15,34.1,35.0273,35.9545,36.8818,37.8091,38.7364,39.6636,40.5909,41.5182,42.4455,43.3727,44.3
France,,,,,,,,,,,,,,,,,,,,16.5,18.2727,20.0455,21.8182,23.5909,25.3636,27.1364,28.9091,30.6818,32.4545,34.2273,36
