Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,55,57,51,62,45,55,46
Albania,31,24,23,25,56,46,44
Algeria,50,44,37,44,,,
Angola,61,61,56,48.5,41,,
Argentina,52,50,40,46,49,53,56
Armenia,51,47,43,47,44,47,44
Australia,64,68,67,64,65,68,66
Austria,58,51,47,56,57,52,51
Azerbaijan,48,42,36,44,41,33,30
Bahrain,48,43,45,,,,
Bangladesh,29,63,42,48,54,56,34
Belarus,32,36,28,34,35,34,27
Belgium,45,38,38,39,43,54,46
Belize,50,50,,,,,
Benin,37,37,34,37,49,45,41
Bhutan,,,,,54,52,
Bolivia,,,,,,,54
"Bosnia and Herzegovina",29,33,30,33,31,35,53
Botswana,62,66,46,51,55,73,64
Brazil,49,48,44,42,40,54,54
Bulgaria,30,32,31,36,37,42,34
"Burkina Faso",41,46,36,46,47,63,51
"Burma (Myanmar)",,,,,,63,53
Burundi,21,21,28,,,,
"Ivory Coast",45,45,50,55,60,54,
Cambodia,13,39,40,21,22,25,18
Cameroon,56,63,63,67,64,67,59
Canada,68,65,67,64,66,65,67
"Central African Republic",48,57,43,42.5,42,41.5,41
Chad,38,39,37,50,39,48,44
Chile,49,53,56,53,51,59,51
China,28,41,26,33,36,24,30
Colombia,63,64,65,70,61,59,63
Comoros,51,58,50,55,,,
"Congo (Brazzaville)",,,,,,,65
"Congo (Kinshasa)",,,,,,38,
"Costa Rica",55,51,54,65,64,61,63
Croatia,34,29,28,31,29,30,21
Cyprus,45,58,48,54,58,53,54
"Czech Republic",37,36,30,34,31,31,23
Denmark,45,49,54,53,55,54,57
Djibouti,49,42,41,,,,
"Dominican Republic",52,54,62,58,61,64,65
Ecuador,35,31,30,45,32,47,56
Egypt,52,49,47,47,40,47,54
"El Salvador",42,42,40,38,41,50,49
Estonia,37,37,41,40,36,35,36
Ethiopia,38,33,38,43,52,45,40
Finland,42,52,57,55,54,55,55
France,28,38,44,35,30,37,39
Gabon,,,60,59,58,64,59
Georgia,37,37,32,38,39,40,38
Germany,56,55,50,56,58,55,58
Ghana,57,72,53,50,61,52,60
Greece,28,28,30,30,43,40,50
Guatemala,51,52,47,55,58,62,58
Guinea,61,61,58,51,62,64,53
Guyana,67,67,,,,,
Haiti,35,37,27,44,45,42,35
Honduras,41,35,57,50,46,43,54
"Hong Kong",50,59,56,55,56.3333,57.6667,59
Hungary,32,37,38,52,51,34,36
Iceland,47,47,46,45,52,52,44
India,30,39,19,29,39,43,36
Indonesia,35,25,43,40,48,43,47
Iran,,,,,,,61
Iraq,61,48,46,42,75,81,78
Ireland,60,65,66,64,64,56,61
Israel,47,44,36,49,40,49,44
Italy,45,32,45,56,47,43,44
Jamaica,61,61,64,68.5,73,,
Japan,25,26,25,25.5,26,25,23
Jordan,33,37,44,38,48,65,56
Kazakhstan,34,39,30,48,41,38,40
