Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
Albania,788.8,786.85,784.9,782.95,781,779.05,777.1,775.15,773.2,771.25,769.3,770.577,771.854,773.131,774.408,775.685,776.962,778.239,779.516,780.793,782.07,783.494,784.918,786.342,787.766,789.19,789.18,788.9,788.9,788.9,788.9
Algeria,1667,1658.2,1649.4,1640.6,1631.8,1623,1614.2,1605.4,1596.6,1587.8,1579,1612.9,1646.8,1680.7,1714.6,1748.5,1782.4,1816.3,1850.2,1884.1,1918,1925.6,1933.2,1940.8,1948.4,1956,1956,1943,1930,1939,1949
"American Samoa",18.07,18.036,18.002,17.968,17.934,17.9,17.866,17.832,17.798,17.764,17.73,17.7,17.67,17.64,17.61,17.58,17.55,17.52,17.49,17.46,17.43,17.4,17.37,17.34,17.31,17.28,17.25,17.22,17.19,17.16,17.13
Andorra,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Angola,79262.78,79107.363,78951.946,78796.529,78641.112,78485.695,78330.278,78174.861,78019.444,77864.027,77708.61,77153.549,76598.488,76043.427,75488.366,74933.305,74378.244,73823.183,73268.122,72713.061,72158,71602.938,71047.876,70492.814,69937.752,69382.69,68827.62,68272.57,67717.51,67162.44,66607.38
Anguilla,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"Antigua and Barbuda",10.11,10.044,9.978,9.912,9.846,9.78,9.714,9.648,9.582,9.516,9.45,9.383,9.316,9.249,9.182,9.115,9.048,8.981,8.914,8.847,8.78,8.714,8.648,8.582,8.516,8.45,8.38,8.32,8.25,8.18,8.12
Argentina,35204,35021.4,34838.8,34656.2,34473.6,34291,34108.4,33925.8,33743.2,33560.6,33378,33061.6,32745.2,32428.8,32112.4,31796,31479.6,31163.2,30846.8,30530.4,30214,29990.6,29767.2,29543.8,29320.4,29097,29010,28899,28791,28681,28573
Armenia,334.73,334.521,334.312,334.103,333.894,333.685,333.476,333.267,333.058,332.849,332.64,332.432,332.224,332.016,331.808,331.6,331.392,331.184,330.976,330.768,330.56,330.352,330.144,329.936,329.728,329.52,329.31,329.1,328.89,328.68,328.47
