Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,15000,17622,14658,15034,15375,14054,12632,13769,13168,12754,13524,15398,13636,14056,12540,14636,13475,16201,14000,14725,12701,15655,14470,15596,14792,16316,15039,15628,14505,14995,15385,16071,15357,15446,15536,15625,15714,15714,17679,16378,16190,17931,16328,12909,14438,16093,25507,31101,34241,42336,40778,41452,28701,21312
Albania,,,,,,,,,,,,,,,,,,,,,,,,,12857,12857,12857,12286,12571,11338,10909,10263,10275,10287,10188,15368,17176,17442,17512,17115,17296,17657,18316,18140,18889,19556,21429,23171,22321,23677,23312,23720,20945,23280
Algeria,4511,4511,4511,4507,4493,4488,4510,4497,4484,4478,4500,4514,4502,4500,4542,4498,4487,4496,4483,4483,4969,4296,3934,4534,4716,3864,3930,4528,5268,4691,6505,7169,9538,7312,7992,13323,7069,8169,9546,9754,9340,11648,10850,7189,8219,9076,8342,9933,12055,14330,5627,8698,12965,13443
Angola,3333,3333,3333,3333,3333,3667,4000,4000,4000,4333,4333,4333,4667,4667,4667,4667,5000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2720,3606,3827,3929,3478,3760,4000,3929,4000,4000,3929,4216,4336,4477,4629,4974,5185,5358,5628,5886,6250,6456,7143,7071,7102
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,21782,22065,24328,22631,22405,20174,24363,23792,24374,24398,24421,24443,24472,24509,25053,24526,24527,24623,24576,24615,24640,26490,24684,24585,24488,20824,24387,25865,24323,24422
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33024,30581,27829,28289,29673,30980,30719,30719
Australia,17925,15042,15856,15398,13206,14031,10803,19600,16167,14109,17133,11900,10533,8400,9520,8000,9600,11760,14427,19358,19654,19577,20875,20252,20294,21016,17243,17325,15900,16048,19257,18596,18170,18630,17340,19146,21929,25883,28626,30725,31178,28303,24246,25062,26246,22624,23931,21839,27065,24996,21928,26277,38603,36170
Austria,,,,,,,,,,,,,,,,,,,,,,,,,15264,22104,11718,19398,16793,24696,23099,22911,22734,22567,22411,22272,22727,24270,25703,28470,28737,30429,32426,34708,25370,27480,28346,29431,130690,225065,319061,477383,239825,241374
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10574,9407,10003,10432,9002,8953,8807,10672,12218,12683,11989,14147,5935,18629,17975,16357,14433,15221,14502,15569,13702,14142,13025
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,17647,17941,18059,18235,18529,17778,19118,19412,19706,20000,20294,20314,20357,20396,20429,20462,20492,20522,20550,20588,20570,20570,20575,20585,20595,20605,20615,20625,20635,20645
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14583,18876,19016,19939,19692,20149,20603,23053,20915,20992,20842,20686,21082,21088,19667,20181,21833,22217,21579,23434,25789,24552,25132
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22727,22725,22725,22725,22725,22726,22726,22726,22726,22727,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23333,22430,18659,17082,15723,15360,19868,15344,15438,15417,15473,24340,12029,24245,26670,27059
Benin,250,250,250,250,250,300,364,436,482,685,611,667,722,808,383,820,1351,1300,1020,1086,1154,1500,1200,1300,1200,1200,1200,1200,1500,1662,1573,1611,1629,1611,1550,1578,1547,1701,1695,2185,2230,2279,2367,2484,2782,2637,2431,1925,1959,3007,3502,3251,3251,3252
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,20000,25759,24321,23933,24964,17557,27274,21338,21906,22053,19429,19188,19351,13607,25441,28160,26000,25310,24583,24410,23208,24000,24155,24441,25416,24551,24393,25630,23504,23486
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7914,9836,10081,10503,10902,12625,11818,10478,20228,13338,10677,13529,13893,15846,12742,14492,14606,14277,14099,14098,13633,11493,10720
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,2126171,1925866,1376098,1852744,1904035,2766,3482,1958,1473,2805,3256,3477,2590,1304,2872,2703,2445,2923,3124,3171,2657,3877,2388,3707,3472,1996,3651,1678,2232,2443
