Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257,1226,1226,1203,1147,1158,1160,1161,1189,1189,1230,1285,1286,1264,1056,1028,1121,1119,1121,1126,1153,1159,1163
Finland,4166,4204,4243,4281,4320,4360,4399,4473,4545,4395,4524,4608,4573,4582,4638,4692,4645,4521,4427,4452,4510,4401,4405,4450,4451,4412,4365,4267,4239,4277,4354,4422,4437,4411,4416,4422,4358,4396,4460,4492,4388,4090,3814,3592,3581,3647,3697,3802,3850,3953,4004,4016,4039,4025,4053,4091,4155,4240,4317,4153,4142,4182,4188,4131,4103,4101,4144,4229
France,44836,45538,45378,44795,45150,45158,44670,44457,44087,43910,44201,43747,44004,44002,44650,44536,44730,44162,43574,42675,42861,43027,42152,42403,42092,41193,42127,41638,41180,41379,41360,40854,39292,38839,38485,37599,37661,38266,38856,39165,39404,39253,39040,38281,38227,38010,38263,38329,38677,39345,39399,39732,38909,38834,39640,39763,39574,40570,40947,39999,40176,40556,40528,40139,40074,40369,40372,40608
Germany,74353,75125,75601,76701,78087,79674,80403,80998,80730,80683,80708,80570,79364,78271,78784,78630,77478,74267,73849,74053,74229,73310,72615,72117,70331,67538,67888,67375,67195,67710,67841,67083,66216,65188,64953,64503,64432,63919,64133,63811,62716,60261,59902,58250,58105,57999,57352,56907,57364,57716,57960,57401,56705,55850,55946,55500,56467,57437,57950,56133,57013,57909,57835,57657,58343,58895,59280,59542
Greece,6446,6700,6965,7240,7526,7823,8131,8142,8169,8157,8159,8155,8038,7890,7753,7665,7562,7438,7316,7261,7113,7138,7178,7255,7267,7279,7371,7435,7470,7558,7666,8065,7977,8006,7986,8183,8213,8214,8340,8379,8498,8353,8473,8541,8692,8773,8717,8677,9061,9048,9090,9094,9282,9403,9588,9927,10056,10122,10229,10050,9503,8929,8438,8232,8086,8172,8288,8555
"Hong Kong",2533,2598,2665,2733,2803,2875,2948,3024,3101,3180,3262,3346,3433,3523,3614,3708,3804,3903,4005,4109,4215,4383,4495,4625,4781,4964,5055,5212,5380,5502,5746,6063,5970,5937,6047,6042,6239,6269,6499,6327,6198,6376,6104,6423,6599,6567,7098,7156,7065,7176,7486,7575,7555,7459,7720,7844,7900,8103,7992,7814,8009,8077,8176,8298,8158,8265,8306,8380
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11251,11719,11151,10962,10507,10314,10247,10439,10361,10195,9848,9164,8207,7682,8052,8041,8024,8132,8256,8560,8613,8432,8476,8361,8315,8294,8315,8306,8156,7878,7765,7735,7660,7716,8126,8294,8549,8609
Iceland,,,,,,,,,,,,,,,203,210,214,209,206,205,211,217,219,223,227,228,233,228,230,230,237,247,255,256,259,269,276,292,284,279,275,276,276,277,275,281,284,288,297,304,320,327,316,310,310,319,333,343,346,311,307,314,313,323,331,345,359,369
Indonesia,,,,,,,,,,,,,,,,,,,,,67684,69419,71392,74209,77669,81955,87286,90464,96919,96013,97612,101875,109319,110029,112863,117945,127983,131768,137630,142611,145699,147366,148992,151844,158311,156027,164309,169590,163620,167348,171862,175752,175755,178187,184546,183548,187584,204156,209650,216419,222294,221894,224536,228255,230226,230608,237818,240958
Ireland,3108,3052,2996,2941,2888,2835,2783,2669,2617,2584,2559,2551,2578,2596,2612,2610,2605,2595,2605,2616,2588,2598,2544,2566,2561,2530,2501,2547,2552,2656,2583,2538,2519,2484,2418,2470,2464,2449,2460,2468,2566,2514,2474,2479,2560,2683,2790,2867,2977,3152,3278,3363,3382,3413,3508,3695,3857,3996,3926,3555,3391,3187,3179,3281,3359,3463,3560,3639
