Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,,,8.91455,8.967,9.0195,9.072,9.1245,9.1769,9.2294,9.2819,9.2872,9.2925,9.29777,10.02511,,,,
Algeria,,,,,,,,,,6.7403,,,,,,,,
Andorra,,,,,8.04975,8.54938,8.56789,8.95245,9.1569,9.3613,9.5658,9.7702,9.9747,10.1791,10.3835,10.58797,10.48867,
Anguilla,,,10.45636,,,,,,,,,,,,,,,
Argentina,,,8.98837,9.3837,9.77894,,,,,,,,,,,,,
Armenia,,,10.7139,10.7587,10.8035,10.8483,10.8931,10.9379,10.9827,11.0275,11.0723,11.1171,11.16193,11.2883,11.4147,11.5411,11.66751,
Aruba,,8.60953,8.5893,8.569,8.5487,8.5284,8.5082,8.4879,8.4676,8.4474,8.4271,8.40682,,,,,,
Australia,,,,,,11.75851,11.74873,11.85648,12.03035,12.31713,12.28134,12.3777,12.474,12.57032,12.4488,12.3272,12.20561,
Azerbaijan,10.05062,10.057,10.0635,10.0699,10.0763,10.0828,10.0892,10.0956,10.10205,10.0707,10.7035,10.71891,10.72056,10.69497,10.6901,10.6927,10.47526,
Bahamas,,10.94237,11.0339,11.1254,11.2169,11.3084,11.3999,11.4914,11.5829,11.6744,11.7659,11.85741,,,,,,
Bahrain,,,9.13652,9.0843,9.032,8.9798,8.9275,8.8753,8.823,8.7708,8.7185,8.66627,,,,,,
Bangladesh,,,4.22184,,,,,,,,,,,,,,,
Barbados,,8.99033,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,12.2638,,,,,,,
Belgium,,,,,,,,11.08318,11.1358,11.18839,11.31479,11.45172,11.50635,11.5378,11.54295,11.64524,11.92251,
Belize,,,,,,,,,,,,10.4666,,,,,,
Benin,,,,2.6915,,,,,,,,,,,,,,
Bermuda,,12.61465,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,2.38727,,,,
Bolivia,,,7.52935,7.4825,7.4357,7.3889,7.3421,7.29531,7.4404,7.5854,7.90721,8.0266,8.146,8.2654,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,7.08286,7.20847,7.8578,8.5071,9.15638,9.00115,
Brazil,,,,,,6.2369,6.3031,6.36923,6.54921,6.72226,6.82432,6.9444,7.06452,7.27682,7.3526,7.44687,,
Bulgaria,,,9.9852,,,,,,,,,,,,,,,
"Burkina Faso",,,,,,,,1.31346,0.55892,0.6752,0.7916,0.9079,1.0242,1.1406,1.2569,1.37322,,
Burundi,,,,,,,,,,,,,,,,1.94031,,
"Ivory Coast",,,,,,,,,,,,,,,,3.26321,,
