Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.19813,0.19813,0.19914,0.19914,0.19914,0.19914,0.19914,0.1724,0.168332,0.168332,0.168332,0.168332
Algeria,8.4,8.2,8.1,9.4,9.2,9,8.8,8.8,8.5,8.4,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,11.314,11.8,11.35,12.27,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2
Angola,1.2,1.2,1.5,1.6,1.7,1.8,2,1.1,1.1,2,2,2.1,1.8,1.5,1.5,5.4,5.4,5.4,5.4,5.412,5.412,5.412,5.412,5.412,5.412,5.412,5.412,8,9.035,9.04,9.5,9.5,9.5,10.47,9.06,9.011,8.423,8.273
Argentina,2.4,2.5,2.7,2.6,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,1.6,1.6,1.6,2.2,2.2,2.4,2.6,2.621178,2.753416,3.071195,2.9737,2.87868,2.8205,2.6745,2.32045,2.468,2.58675,2.616,2.5203,2.50468,2.50468,2.805244,2.82,2.354204,2.379702,2.184554
Australia,2.1,2.4,1.7,1.6,1.6,1.4,1.4,1.7,1.7,1.7,1.7,1.6,1.5,1.8,1.6,1.6,1.6,1.8,1.8,2.895,2.895,2.895,3.5,3.5,3.5,1.491,1.437,1.59179,1.5,1.5,3.318,3.318,1.42566,1.43325,1.43325,1.193,1.193,1.821
Austria,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0763,0.1,0.1,0.065997,0.081443,0.084984,0.0932,0.09473,0.1,0.1,0.076486,0.09,0.08712,0.08568,0.08568,0.08568,0.08568,0.062,0.062,0.062,0.05,0.05,0.05,0.05,0.05,0.05,0.0467,0.0485,0.0475,0.0454,0.043
Azerbaijan,,,,,,,,,,,,,,,,,,1.2,1.2,1.178,1.178,1.178,1.178,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Bahrain,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.09746,0.08349,0.069584,0.069584,0.2,0.2,0.2,0.2,0.16,0.14811,0.14811,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456,0.12456
Bangladesh,,,,,,,,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0015,0.004,0.004,0.005439,0.005439,0.005439,0.056902,0.056902,0.056902,0.056902,0.0569,0.056,0.056,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
Barbados,0.0015,0.000837,0.00045,0.00073,0.0006,0.0006,0.0004,0.0005,0.00362,0.0033,0.00319,0.003083,0.003337,0.005892,0.003501,0.002784,0.002541,0.002411,0.002353,0.002353,0.003156,0.002508,0.002508,0.0025,0.002509,0.002509,0.0025,0.002852,0.0022,0.002171,0.001789,0.001789,0.002259,0.002259,0.00284,0.002526,0.002315,0.002082
