Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,7752.118,7839.51,7934.98,8038.596,8150.447,8270.581,8399.03,8535.807,8680.946,8834.445,8996.351,9166.764,9345.868,9533.954,9731.361,9938.414,10152.331,10372.63,10604.346,10854.428,11126.123,11417.825,11721.94,12027.822,12321.541,12590.286,12840.299,13067.538,13237.734,13306.695,13248.37,13053.954,12749.645,12389.269,12047.115,11783.05,11601.041,11502.761,11540.888,11777.609,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.45,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.02,33736.494,34656.032,35530.081,36373.176,37209.007,38054.941,38913.707,39779.095,40649.204,41519.986,42388.4,43254.446,44119.315,44982.317,45842.659,46699.545,47552.324,48400.329,49242.776,50078.786,50907.55,51728.328,52540.36,53342.664,54134.238,54914.122,55681.683,56436.296,57177.142,57903.378,58614.315,59309.352,59988.191,60650.823,61297.44,61928.118,62542.629,63140.612,63721.905,64286.388,64833.869,65364.208,65877.123,66372.235,66849.094,67307.303,67746.6,68166.836,68567.901,68949.732,69312.24,69655.3,69978.689,70282.194,70565.547,70828.562,71071.244,71293.579,71495.235,71675.834,71835.187,71973.309,72090.564,72187.611,72265.313,72324.435,72365.474,72388.742,72394.688,72383.708,72356.276,72312.905,72254.237,72180.933,72093.731,71993.32,71880.385,71755.556,71619.483,71472.775,71316.116,71150.213,70975.797,70793.669,70604.652,70409.629
Albania,1263.174,1287.497,1316.089,1348.099,1382.878,1419.97,1459.089,1500.149,1543.222,1588.484,1636.056,1685.9,1737.644,1790.534,1843.593,1896.125,1947.785,1998.693,2049.151,2099.653,2150.598,2202.035,2253.844,2306.003,2358.463,2411.229,2464.336,2517.872,2571.85,2626.286,2681.239,2735.329,2788.314,2842.624,2901.592,2966.798,3041.007,3121.336,3197.067,3253.656,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.97,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,2926.348,2930.187,2934.363,2938.428,2942.034,2944.804,2946.54,2947.341,2947.436,2946.992,2945.952,2944.148,2941.514,2937.961,2933.419,2927.864,2921.296,2913.716,2905.095,2895.451,2884.782,2873.133,2860.572,2847.18,2833.058,2818.259,2802.812,2786.778,2770.248,2753.275,2735.905,2718.188,2700.179,2681.961,2663.591,2645.091,2626.496,2607.795,2588.991,2570.056,2551.016,2531.868,2512.604,2493.2,2473.665,2453.968,2434.127,2414.12,2393.917,2373.506,2352.885,2332.057,2311.03,2289.799,2268.385,2246.771,2224.993,2203.089,2181.092,2159.04,2136.956,2114.881,2092.813,2070.778,2048.793,2026.888,2005.091,1983.421,1961.896,1940.549,1919.4,1898.482,1877.803,1857.396,1837.28,1817.495,1798.031,1778.938,1760.231,1741.935,1724.057,1706.638,1689.689,1673.241,1657.307
Algeria,8872.247,9039.91,9216.397,9405.443,9609.505,9829.719,10065.822,10316.288,10578.449,10848.973,11124.888,11404.859,11690.153,11985.136,12295.97,12626.952,12980.267,13354.197,13744.387,14144.438,14550.034,14960.109,15377.093,15804.428,16247.113,16709.099,17190.239,17690.184,18212.326,18760.761,19337.715,19943.664,20575.701,21228.289,21893.853,22565.905,23241.272,23917.897,24591.492,25257.672,25912.367,26554.329,27181.094,27786.259,28362.253,28904.298,29411.415,29886.839,30335.732,30765.613,31183.66,31592.153,31995.046,32403.514,32831.096,33288.437,33777.915,34300.076,34860.715,35465.76,36117.637,36819.558,37565.847,38338.562,39113.313,39871.528,40606.052,41318.142,42008.054,42679.018,43333.255,43969.303,44584.467,45178.849,45752.995,46307.643,46843.063,47360.008,47860.486,48347.052,48821.963,49286.285,49741.054,50188.453,50630.92,51070.401,51507.846,51943.721,52378.836,52813.83,53248.997,53684.399,54119.593,54553.53,54984.743,55411.769,55833.922,56250.124,56657.885,57054.231,57436.703,57804.208,58156.137,58491.219,58808.275,59106.493,59385.347,59644.912,59885.843,60109.267,60316.226,60507.128,60682.545,60843.9,60992.938,61131.159,61259.492,61378.599,61489.432,61592.928,61689.919,61781.092,61867.061,61948.436,62025.747,62099.469,62169.949,62237.42,62302.053,62363.854,62422.851,62479.024,62532.295,62582.408,62629.024,62671.784,62710.46,62744.724,62773.977,62797.493,62814.647,62824.97,62828.113,62823.82,62811.834,62791.869,62763.548,62726.426,62679.958,62623.54,62556.472
"American Samoa",18.94,19.296,19.54,19.677,19.729,19.702,19.652,19.598,19.602,19.734,20.013,20.486,21.117,21.882,22.698,23.52,24.321,25.116,25.885,26.614,27.292,27.916,28.492,29.014,29.488,29.932,30.321,30.689,31.102,31.673,32.457,33.493,34.738,36.16,37.688,39.241,40.837,42.45,44.047,45.593,47.038,48.375,49.593,50.72,51.803,52.868,53.929,54.941,55.901,56.77,57.521,58.175,58.731,59.117,59.264,59.118,58.65,57.903,57.03,56.227,55.637,55.32,55.23,55.307,55.437,55.537,55.599,55.641,55.679,55.727,55.799,55.899,56.015,56.132,56.266,56.402,56.548,56.69,56.837,56.989,57.147,57.306,57.464,57.622,57.752,57.856,57.925,57.974,57.987,57.978,57.948,57.901,57.832,57.748,57.65,57.526,57.396,57.247,57.094,56.927,56.759,56.591,56.424,56.246,56.068,55.889,55.701,55.519,55.324,55.134,54.925,54.716,54.498,54.272,54.04,53.798,53.547,53.281,53.014,52.732,52.448,52.151,51.847,51.524,51.195,50.855,50.504,50.148,49.776,49.395,49.01,48.619,48.212,47.799,47.379,46.96,46.534,46.103,45.667,45.221,44.787,44.333,43.89,43.44,42.988,42.534,42.082,41.625,41.17,40.714,40.263
Andorra,6.196,6.689,7.247,7.865,8.525,9.232,9.989,10.779,11.615,12.498,13.411,14.375,15.37,16.412,17.469,18.549,19.647,20.758,21.89,23.058,24.276,25.559,26.892,28.232,29.52,30.705,31.777,32.771,33.737,34.818,36.067,37.5,39.114,40.867,42.706,44.6,46.517,48.455,50.434,52.448,54.509,56.671,58.888,60.971,62.677,63.85,64.36,64.327,64.142,64.37,65.39,67.341,70.049,73.182,76.244,78.867,80.991,82.683,83.861,84.462,84.449,83.751,82.431,80.788,79.223,78.014,77.281,76.965,76.953,77.072,77.184,77.276,77.392,77.521,77.649,77.775,77.887,77.971,78.037,78.089,78.154,78.22,78.284,78.342,78.397,78.444,78.486,78.517,78.546,78.556,78.55,78.525,78.478,78.415,78.329,78.205,78.06,77.892,77.684,77.446,77.187,76.897,76.578,76.232,75.856,75.467,75.054,74.621,74.177,73.723,73.261,72.792,72.328,71.861,71.398,70.942,70.498,70.066,69.649,69.244,68.854,68.475,68.121,67.781,67.467,67.171,66.892,66.634,66.391,66.163,65.955,65.764,65.586,65.413,65.262,65.111,64.972,64.836,64.703,64.578,64.451,64.333,64.197,64.071,63.94,63.809,63.679,63.544,63.41,63.267,63.125
Angola,4548.023,4659.333,4774.561,4890.469,5004.763,5116.071,5224.003,5329.099,5432.717,5536.779,5643.182,5753.024,5866.061,5980.417,6093.321,6203.299,6309.77,6414.995,6523.791,6642.632,6776.381,6927.269,7094.834,7277.96,7474.338,7682.479,7900.997,8130.988,8376.147,8641.521,8929.9,9244.507,9582.156,9931.562,10277.321,10609.042,10921.037,11218.268,11513.968,11827.237,12171.441,12553.446,12968.345,13403.734,13841.301,14268.994,14682.284,15088.981,15504.318,15949.766,16440.924,16983.266,17572.649,18203.369,18865.716,19552.542,20262.399,20997.687,21759.42,22549.547,23369.131,24218.565,25096.15,25998.34,26920.466,27859.305,28813.463,29784.193,30774.205,31787.566,32827.401,33894.484,34988.302,36109.078,37256.728,38431.208,39632.777,40861.741,42118.066,43401.63,44712.282,46049.888,47414.284,48805.159,50222.155,51664.864,53132.953,54626.019,56143.48,57684.681,59249.002,60835.954,62445.07,64075.73,65727.293,67399.148,69090.764,70801.659,72531.421,74279.686,76046.053,77830.032,79631.114,81448.802,83282.636,85132.12,86996.704,88875.848,90769.086,92676.002,94596.081,96528.707,98473.158,100428.79,102394.88,104370.66,106355.46,108348.39,110348.44,112354.43,114365.29,116380.15,118398.21,120418.55,122440.29,124462.55,126484.42,128505.1,130523.88,132540.16,134553.23,136562.39,138566.72,140565.19,142556.62,144539.98,146514.39,148479.18,150433.82,152377.94,154311.02,156232.41,158141.28,160036.74,161917.88,163783.82,165633.77,167467.02,169282.98,171081.1,172860.94
Anguilla,5.118,5.296,5.446,5.552,5.64,5.7,5.736,5.779,5.807,5.832,5.864,5.899,5.946,5.995,6.06,6.12,6.167,6.232,6.283,6.346,6.403,6.451,6.501,6.556,6.596,6.629,6.66,6.687,6.709,6.713,6.702,6.65,6.588,6.539,6.552,6.662,6.875,7.195,7.574,7.965,8.334,8.666,8.981,9.266,9.537,9.802,10.058,10.303,10.548,10.793,11.07,11.372,11.692,12.021,12.339,12.638,12.903,13.15,13.36,13.565,13.769,13.951,14.129,14.299,14.459,14.611,14.764,14.909,15.045,15.174,15.283,15.38,15.456,15.521,15.581,15.644,15.692,15.747,15.795,15.839,15.867,15.901,15.926,15.945,15.962,15.977,15.981,15.986,15.984,15.975,15.96,15.949,15.929,15.903,15.878,15.852,15.819,15.78,15.739,15.699,15.649,15.603,15.547,15.497,15.45,15.391,15.334,15.276,15.211,15.152,15.088,15.022,14.96,14.894,14.829,14.766,14.695,14.632,14.564,14.489,14.419,14.35,14.277,14.21,14.14,14.068,14,13.936,13.866,13.799,13.727,13.666,13.603,13.533,13.475,13.41,13.345,13.279,13.221,13.158,13.1,13.039,12.981,12.921,12.862,12.801,12.741,12.684,12.627,12.574,12.515
"Antigua and Barbuda",46.303,48.365,49.999,51.262,52.208,52.897,53.42,53.838,54.241,54.722,55.339,56.144,57.144,58.294,59.524,60.781,62.059,63.36,64.655,65.91,67.098,68.188,69.176,70.066,70.878,71.609,72.285,72.875,73.324,73.528,73.442,73.066,72.448,71.639,70.725,69.782,68.809,67.845,67.058,66.627,66.696,67.307,68.427,69.938,71.719,73.619,75.628,77.739,79.851,81.831,83.584,85.057,86.266,87.293,88.257,89.253,90.301,91.381,92.478,93.581,94.661,95.719,96.777,97.824,98.875,99.923,100.963,102.012,103.05,104.084,105.11,106.125,107.144,108.138,109.126,110.094,111.043,111.971,112.877,113.763,114.608,115.442,116.242,117.008,117.744,118.452,119.131,119.77,120.377,120.955,121.503,122.01,122.482,122.922,123.334,123.729,124.079,124.404,124.701,124.973,125.223,125.451,125.652,125.832,125.997,126.147,126.275,126.392,126.504,126.595,126.686,126.764,126.838,126.909,126.969,127.025,127.081,127.133,127.184,127.222,127.254,127.272,127.285,127.289,127.271,127.247,127.215,127.157,127.092,127.016,126.917,126.807,126.671,126.542,126.388,126.227,126.054,125.876,125.678,125.486,125.281,125.07,124.853,124.626,124.393,124.162,123.922,123.692,123.446,123.205,122.961
Argentina,17150.336,17507.13,17866.096,18224.15,18579.037,18929.346,19274.528,19614.847,19951.323,20285.531,20619.075,20953.077,21287.682,21621.84,21953.929,22283.39,22608.748,22932.203,23261.278,23605.987,23973.058,24366.439,24782.949,25213.388,25644.506,26066.975,26477.152,26878.565,27277.741,27684.534,28105.888,28543.364,28993.987,29454.738,29920.904,30388.783,30857.244,31326.473,31795.517,32263.561,32729.739,33193.918,33655.151,34110.917,34558.115,34994.814,35419.682,35833.969,36241.59,36648.068,37057.452,37471.509,37889.37,38309.379,38728.696,39145.488,39558.89,39970.224,40382.389,40799.407,41223.889,41656.879,42096.739,42539.925,42981.515,43417.765,43847.43,44271.041,44688.864,45101.781,45510.399,45914.426,46313.273,46707.02,47095.834,47479.8,47858.884,48232.945,48601.833,48965.339,49323.306,49675.627,50022.276,50363.21,50698.399,51027.807,51351.362,51669,51980.643,52286.212,52585.643,52878.835,53165.726,53446.298,53720.586,53988.553,54250.133,54505.185,54753.494,54994.811,55228.902,55455.656,55674.954,55886.613,56090.458,56286.317,56474.08,56653.669,56824.972,56987.923,57142.441,57288.541,57426.18,57555.274,57675.738,57787.523,57890.676,57985.346,58071.774,58150.259,58221.093,58284.454,58340.528,58389.605,58432.023,58468.089,58497.987,58521.915,58540.159,58553.029,58560.778,58563.632,58561.674,58554.855,58543.059,58526.221,58504.402,58477.775,58446.456,58410.565,58370.26,58325.635,58276.809,58223.853,58166.865,58105.962,58041.262,57972.898,57901.026,57825.826,57747.478
Armenia,1353.51,1381.872,1418.276,1461.424,1510.171,1563.505,1620.593,1680.714,1743.303,1807.917,1874.12,1941.491,2009.526,2077.575,2144.998,2211.316,2276.031,2339.124,2401.14,2462.925,2525.065,2587.706,2650.484,2712.781,2773.747,2832.757,2889.579,2944.379,2997.411,3049.105,3099.751,3148.092,3193.686,3238.594,3285.595,3335.935,3392.256,3451.942,3504.651,3536.469,3538.165,3505.251,3442.81,3363.098,3283.66,3217.342,3168.215,3133.086,3108.684,3089.017,3069.588,3050.655,3033.897,3017.806,3000.612,2981.259,2958.5,2933.056,2908.22,2888.584,2877.311,2875.581,2881.922,2893.509,2906.22,2916.95,2924.816,2930.45,2934.152,2936.706,2938.679,2939.944,2940.089,2939.169,2937.237,2934.37,2930.588,2925.921,2920.45,2914.268,2907.463,2900.079,2892.154,2883.791,2875.096,2866.15,2856.998,2847.657,2838.113,2828.36,2818.399,2808.228,2797.835,2787.163,2776.111,2764.618,2752.658,2740.248,2727.366,2714.016,2700.184,2685.878,2671.105,2655.894,2640.273,2624.286,2607.936,2591.257,2574.282,2557.049,2539.596,2521.936,2504.108,2486.126,2468.026,2449.832,2431.558,2413.227,2394.839,2376.382,2357.856,2339.276,2320.653,2302.002,2283.321,2264.623,2245.919,2227.238,2208.601,2190.012,2171.517,2153.124,2134.869,2116.768,2098.87,2081.217,2063.832,2046.702,2029.865,2013.304,1997.038,1981.07,1965.382,1949.976,1934.848,1919.968,1905.318,1890.886,1876.637,1862.546,1848.572
