Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,0.739,0.736,0.733,0.73,0.727,0.724,0.713,0.701,0.689,0.676,0.667
Albania,,,,,,0.381,0.3712,0.3614,0.3516,0.3418,0.332,0.3202,0.3084,0.2966,0.2848,0.273,0.279,0.281,0.272,0.267,0.267
Algeria,0.68,0.6694,0.6588,0.6482,0.6376,0.627,0.6138,0.6006,0.5874,0.5742,0.561,0.5534,0.5458,0.5382,0.5306,0.523,0.514,0.432,0.429,0.429,0.429
Argentina,0.431,0.4292,0.4274,0.4256,0.4238,0.422,0.4124,0.4028,0.3932,0.3836,0.374,0.3732,0.3724,0.3716,0.3708,0.37,0.367,0.366,0.364,0.364,
Armenia,0.471,0.4702,0.4694,0.4686,0.4678,0.467,0.4548,0.4426,0.4304,0.4182,0.406,0.3936,0.3812,0.3688,0.3564,0.344,0.338,0.317,0.308,0.299,0.293
Australia,0.18,0.176,0.172,0.168,0.164,0.16,0.1558,0.1516,0.1474,0.1432,0.139,0.1388,0.1386,0.1384,0.1382,0.138,0.133,0.131,0.124,0.123,0.12
Austria,0.187,0.1798,0.1726,0.1654,0.1582,0.151,0.1444,0.1378,0.1312,0.1246,0.118,0.1166,0.1152,0.1138,0.1124,0.111,0.105,0.1,0.087,0.083,0.078
Azerbaijan,,,,,,,,,,,0.324,0.3226,0.3212,0.3198,0.3184,0.317,0.319,0.319,0.324,0.33,0.326
Bahamas,,,,,,0.385,0.3796,0.3742,0.3688,0.3634,0.358,0.363,0.368,0.373,0.378,0.383,0.381,0.377,0.372,0.37,0.362
Bahrain,,,,,,,,,,,0.331,0.313,0.295,0.277,0.259,0.241,0.225,0.225,0.22,0.224,0.233
Bangladesh,0.656,0.6508,0.6456,0.6404,0.6352,0.63,0.6222,0.6144,0.6066,0.5988,0.591,0.5846,0.5782,0.5718,0.5654,0.559,0.549,0.542,0.535,0.527,0.52
Barbados,0.372,0.3688,0.3656,0.3624,0.3592,0.356,0.3538,0.3516,0.3494,0.3472,0.345,0.3402,0.3354,0.3306,0.3258,0.321,0.313,0.307,0.294,0.291,0.291
Belarus,,,,,,,,,,,,,,,,0.151,0.148,0.151,0.148,0.146,0.144
Belgium,0.163,0.1548,0.1466,0.1384,0.1302,0.122,0.1184,0.1148,0.1112,0.1076,0.104,0.1018,0.0996,0.0974,0.0952,0.093,0.09,0.087,0.084,0.076,0.073
Belize,0.515,0.5082,0.5014,0.4946,0.4878,0.481,0.4776,0.4742,0.4708,0.4674,0.464,0.4558,0.4476,0.4394,0.4312,0.423,0.411,0.394,0.384,0.378,0.375
Benin,0.682,0.6812,0.6804,0.6796,0.6788,0.678,0.6736,0.6692,0.6648,0.6604,0.656,0.649,0.642,0.635,0.628,0.621,0.627,0.621,0.615,0.609,0.613
Bhutan,,,,,,,,,,,,,,,,,,0.487,0.524,0.496,0.477
Bolivia,,,,,,0.591,0.5846,0.5782,0.5718,0.5654,0.559,0.5478,0.5366,0.5254,0.5142,0.503,0.498,0.492,0.486,0.451,0.446
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,0.239,0.21,0.199,0.186,0.172,0.158
Botswana,0.551,0.545,0.539,0.533,0.527,0.521,0.5214,0.5218,0.5222,0.5226,0.523,0.5176,0.5122,0.5068,0.5014,0.496,0.486,0.478,0.465,0.445,0.435
Brazil,0.509,0.5078,0.5066,0.5054,0.5042,0.503,0.4962,0.4894,0.4826,0.4758,0.469,0.466,0.463,0.46,0.457,0.454,0.448,0.448,0.431,0.42,0.414
Bulgaria,0.373,0.3656,0.3582,0.3508,0.3434,0.336,0.319,0.302,0.285,0.268,0.251,0.2472,0.2434,0.2396,0.2358,0.232,0.229,0.214,0.215,0.226,0.223
"Burkina Faso",,,,,,,,,,,0.636,0.631,0.626,0.621,0.616,0.611,0.607,0.602,0.598,0.6065,0.615
Burundi,,,,,,0.594,0.5806,0.5672,0.5538,0.5404,0.527,0.522,0.517,0.512,0.507,0.502,0.499,0.494,0.489,0.483,0.474
"Ivory Coast",0.709,0.7072,0.7054,0.7036,0.7018,0.7,0.6982,0.6964,0.6946,0.6928,0.691,0.6894,0.6878,0.6862,0.6846,0.683,0.673,0.674,0.671,0.672,0.672
Cambodia,0.66,0.6478,0.6356,0.6234,0.6112,0.599,0.5914,0.5838,0.5762,0.5686,0.561,0.5472,0.5334,0.5196,0.5058,0.492,0.488,0.486,0.485,0.482,0.479
Cameroon,0.703,0.701,0.699,0.697,0.695,0.693,0.6866,0.6802,0.6738,0.6674,0.661,0.6534,0.6458,0.6382,0.6306,0.623,0.618,0.613,0.577,0.572,0.568
Canada,0.184,0.1788,0.1736,0.1684,0.1632,0.158,0.1528,0.1476,0.1424,0.1372,0.132,0.131,0.13,0.129,0.128,0.127,0.118,0.113,0.108,0.102,0.098
"Central African Republic",0.74,0.7332,0.7264,0.7196,0.7128,0.706,0.7016,0.6972,0.6928,0.6884,0.684,0.682,0.68,0.678,0.676,0.674,0.659,0.656,,,
Chad,,,,,,,,,,,,,,,,,,,,,0.695
Chile,0.476,0.4676,0.4592,0.4508,0.4424,0.434,0.4244,0.4148,0.4052,0.3956,0.386,0.3806,0.3752,0.3698,0.3644,0.359,0.352,0.347,0.329,0.325,0.322
China,,,,,,0.254,0.2488,0.2436,0.2384,0.2332,0.228,0.2218,0.2156,0.2094,0.2032,0.197,0.191,0.184,0.172,0.168,0.164
Colombia,0.538,0.5298,0.5216,0.5134,0.5052,0.497,0.4944,0.4918,0.4892,0.4866,0.484,0.4746,0.4652,0.4558,0.4464,0.437,0.431,0.424,0.423,0.399,0.393
"Congo (Brazzaville)",,,,,,0.623,0.6234,0.6238,0.6242,0.6246,0.625,0.6234,0.6218,0.6202,0.6186,0.617,0.612,0.609,0.606,0.594,0.592
