Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642,1642
Albania,390,390,390,390,390,390,390,390,390,450,525,525,525,525
Algeria,630,630,630,630,630,630,630,630,630,630,630,630,630,630
Angola,1011,1011,1011,1011,1011,1190,1250,1296,1296,1296,1296,1296,1296,1296
"Antigua and Barbuda",,,351,351,351,351,351,351,351,476,476,476,476,476
Argentina,590,590,590,590,590,590,590,590,590,660,660,660,660,660
Armenia,327,295,285,285,285,285,285,285,570,570,570,570,570,570
Australia,395,395,395,395,395,395,395,395,395,395,395,395,395,395
Austria,397,397,397,397,397,397,397,397,397,397,397,397,397,397
Azerbaijan,267,267,267,267,267,237,237,237,237,237,277,277,277,277
Bahamas,,,,,427,427,427,427,427,532,532,532,532,532
Bahrain,,,,,635,635,635,635,635,635,635,635,635,635
Bangladesh,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442
Barbados,,,,,,,,,1340,1340,1340,1340,1340,1340
Belarus,250,250,225,225,225,225,225,225,275,275,275,275,275,275
Belgium,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Belize,,,990,892,892,892,892,892,892,892,892,892,892,892
Benin,825,825,825,825,825,825,825,825,795,795,795,750,750,750
Bhutan,275,275,275,275,275,225,225,225,225,225,225,225,225,225
Bolivia,591,591,591,591,591,591,591,591,591,591,591,591,591,591
"Bosnia and Herzegovina",895,595,595,595,595,595,595,595,595,595,595,595,595,595
Botswana,987,987,987,987,987,987,687,625,625,625,625,625,625,625
Brazil,751,751,731,731,731,731,731,731,731,731,731,731,731,731
Brunei,,,,540,540,540,540,540,540,540,540,540,540,540
Bulgaria,564,564,564,564,564,564,564,564,564,564,564,564,564,564
"Burkina Faso",446,446,446,446,446,446,446,446,446,446,446,446,446,446
Burundi,667,667,588,558,558,832,832,832,832,832,832,832,832,832
"Cape Verde",,,425,425,425,425,425,425,425,425,425,425,425,425
Cambodia,401,401,401,401,401,420,420,450,450,483,483,483,483,483
Cameroon,800,800,800,800,800,800,800,800,800,800,800,800,800,800
Canada,570,570,570,570,570,570,570,570,570,570,570,680,830,910
"Central African Republic",660,660,660,660,660,660,660,660,660,660,660,660,660,660
Chad,743,743,743,743,743,743,743,743,743,743,743,743,743,743
Chile,480,480,480,480,480,480,480,480,480,480,480,480,480,480
China,406,406,406,406,406,406,406,406,406,406,452.8,452.8,452.8,452.8
Colombia,1510,1346,1346,1346,1346,1346,1346,1346,1346,1346,1288,1288,1288,1288
Comoros,,,506,506,506,506,506,506,506,506,506,506,506,506
"Congo (Kinshasa)",670,670,670,670,670,630,610,610,610,610,610,610,610,610
"Congo (Brazzaville)",560,560,560,560,560,560,560,560,560,560,560,560,560,560
"Costa Rica",877,877,877,877,877,877,852,852,852,852,852,852,852,852
"Ivory Coast",770,770,770,770,770,770,770,770,770,770,585,525,525,525
Croatia,561,561,561,561,561,561,561,561,561,572,572,572,572,572
Cyprus,,,,,,735,735,735,735,735,735,1100,1100,1100
"Czech Republic",663,663,653,653,653,653,611,611,611,611,611,611,611,611
Denmark,380,380,380,380,380,380,380,410,410,410,410,380,380,380
Djibouti,,,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225
Dominica,,,681,681,681,681,681,681,681,681,681,681,681,681
"Dominican Republic",580,580,580,460,460,460,460,460,460,505,505,505,505,505
Ecuador,588,588,588,588,588,588,588,588,588,588,588,588,588,588
Egypt,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
"El Salvador",786,786,786,786,786,786,786,786,786,786,786,786,786,786
"Equatorial Guinea",,,475,475,475,475,475,475,475,475,475,475,475,475
Eritrea,,405,405,405,405,405,405,430,460,490,490,490,490,490
Estonia,425,425,425,425,425,425,425,425,425,425,425,425,425,425
Ethiopia,690,690,690,690,690,690,530,530,530,530,530,530,530,530
Fiji,397,397,397,397,397,397,397,397,397,397,397,397,397,397
Finland,277,235,235,235,235,235,375,375,375,375,375,375,375,375
France,390,390,390,390,390,390,390,390,390,390,395,395,395,395
Gabon,,,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1160
Gambia,,,917,434,434,434,434,434,434,407,407,407,407,407
Georgia,375,375,375,285,285,285,285,285,285,285,285,285,285,285
Germany,403,403,394,394,394,394,394,394,394,394,394,459,479,499
Ghana,552,552,552,552,487,487,487,487,487,487,710,710,710,710
Greece,819,819,819,819,819,900,960,1030,1100,1140,1300,1580,1580,1580
Grenada,,,723,723,723,723,688,688,688,688,688,688,688,688
Guatemala,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1402,1402,1402,1402
Guinea,276,276,276,276,276,276,276,276,276,276,276,311,311,311
"Guinea Bissau",,,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715
Guyana,,581,581,581,581,581,581,581,581,581,581,581,581,581
Haiti,530,530,530,530,530,530,530,530,530,530,530,530,530,530
Honduras,940,900,900,900,900,900,900,900,920,920,920,920,920,920
"Hong Kong",211,211,211,211,211,211,280,280,360,360,360,360,360,360
Hungary,335,335,335,335,335,335,395,395,395,395,395,395,395,395
Iceland,,393,393,393,393,393,417,417,417,417,417,417,417,417
India,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
Indonesia,498,498,498,498,498,498,498,498,498,498,471,471,471,471
Iran,520,520,520,520,520,520,520,505,505,505,505,505,505,505
Iraq,,520,520,520,520,520,520,520,520,520,520,520,520,520
Ireland,515,515,515,515,515,515,515,515,650,650,650,650,650,650
Israel,890,890,890,890,890,890,890,890,890,975,975,975,975,975
Italy,1390,1390,1390,1210,1210,1210,1210,1210,1210,1185,1185,1185,1120,1120
Jamaica,565,565,565,565,565,655,655,655,655,550,550,550,550,550
Japan,360,360,360,360,360,360,360,360,360,360,360,360,360,360
Jordan,689,689,689,689,689,689,689,689,689,689,689,689,689,689
Kazakhstan,410,410,390,390,390,390,390,390,370,370,370,370,370,370
