Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.07,0.1267,0.1833,0.24,0.09,0.11,0.13,0.06,0.1,0.29,0.35,0.12,0.31,0.17,0.25,0.39,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.19,0.35,0.22,0.38,0.27,0.23,0.36,0.23,0.31,0.28,0.29,0.25,0.22,0.3,0.2,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,
Australia,0.36,0.24,0.43,0.36,0.34,0.29,0.28,0.32,0.23,0.43,0.27,0.3,0.25,0.32,0.25,0.37,0.42,0.24,0.16,0.27,0.33,0.42,0.19,0.18,0.3,0.19,0.2,0.31,0.26,0.33,0.15,0.28,0.32,0.17,0.19,0.46,0.24,0.34,0.25,0.2,0.17,0.23,0.26,0.28,0.25,0.29,0.24,0.24,0.27,0.27,0.265,0.26,0.23,0.25,0.26,0.19,0.2,,
Austria,1.28,1.2,1.16,1.24,1.18,1.03,1.38,1.35,1.2,1.15,1.15,1.07,0.81,0.81,1.03,1.45,1.27,0.85,1.06,0.86,1.19,0.87,0.98,1.07,0.89,0.92,0.65,1.09,0.8,0.8,0.56,0.76,0.66,0.61,0.49,0.47,0.76,0.5,0.61,0.73,0.63,0.95,0.6,0.65,0.48,0.48,0.57,0.42,0.5,0.49,0.44,0.41,0.36,0.46,0.38,0.35,0.4,0.3,0.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.6675,0.695,0.7225,0.75,0.62,0.4,,,,,
Belgium,0.12,0.46,0.46,0.56,0.28,0.32,0.35,0.29,0.25,0.36,0.39,0.49,0.59,0.54,0.46,0.43,0.37,0.46,0.39,0.36,0.31,0.23,0.29,0.3,0.35,0.34,0.41,0.3,0.45,0.43,0.465,0.5,0.445,0.39,0.335,0.28,0.225,0.17,0.19,0.37,0.38,0.34,0.24,0.28,0.35,0.355,0.36,0.365,0.37,0.3,0.24,0.3,0.27,0.28,0.31,0.3,0.3,0.3,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.22,0.22,0.22,0.18,0.22,0.21,0.2,0.2,0.22,0.21,0.22,0.23,0.22,0.22,0.2,0.2,
Bulgaria,,,,,,,,,,,,0.24,0.35,0.29,0.22,0.29,0.43,0.16,0.39,0.36,0.28,0.26,0.36,0.26,0.43,0.32,0.28,0.34,0.37,0.4,0.47,0.36,0.33,0.51,0.27,0.17,0.41,0.32,0.24,0.5,0.34,0.3,0.36,0.26,0.43,0.39,0.43,0.3,0.29,0.43,0.32,0.34,0.31,0.41,0.31,0.28,0.3,0.3,
Canada,0.36,0.39,0.48,0.37,0.35,0.5,0.48,0.37,0.42,0.41,0.37,0.39,0.32,0.34,0.31,0.44,0.44,0.37,0.23,0.37,0.26,0.31,0.37,0.3,0.27,0.26,0.3,0.26,0.3,0.31,0.27,0.28,0.24,0.13,0.31,0.24,0.26,0.27,0.27,0.19,0.22,0.24,0.2,0.33,0.24,0.21,0.26,0.21,0.24,0.27,0.28,0.26,0.25,0.2,0.28,0.24,0.2,,
