Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,176.2,171.85,167.5,163.15,158.8,154.45,150.1,145.75,141.4,137.05,132.7,129.57,126.44,123.31,120.18,117.05,113.92,110.79,107.66,104.53,101.4,98.6,95.8,93,90.2,87.4
Albania,36.5,35.19,33.88,32.57,31.26,29.95,28.64,27.33,26.02,24.71,23.4,22.54,21.68,20.82,19.96,19.1,18.24,17.38,16.52,15.66,14.8,14.34,13.88,13.42,12.96,12.5
Algeria,42.7,42.1,41.5,40.9,40.3,39.7,39.1,38.5,37.9,37.3,36.7,35.61,34.52,33.43,32.34,31.25,30.16,29.07,27.98,26.89,25.8,25.44,25.08,24.72,24.36,24
Andorra,7.6,7.26,6.92,6.58,6.24,5.9,5.56,5.22,4.88,4.54,4.2,4.08,3.96,3.84,3.72,3.6,3.48,3.36,3.24,3.12,3,2.92,2.84,2.76,2.68,2.6
Angola,215.2,214.3,213.4,212.5,211.6,210.7,209.8,208.9,208,207.1,206.2,202.9,199.6,196.3,193,189.7,186.4,183.1,179.8,176.5,173.2,168.34,163.48,158.62,153.76,148.9
"Antigua and Barbuda",22.7,21.8,20.9,20,19.1,18.2,17.3,16.4,15.5,14.6,13.7,13.22,12.74,12.26,11.78,11.3,10.82,10.34,9.86,9.38,8.9,8.58,8.26,7.94,7.62,7.3
Argentina,24.5,23.85,23.2,22.55,21.9,21.25,20.6,19.95,19.3,18.65,18,17.51,17.02,16.53,16.04,15.55,15.06,14.57,14.08,13.59,13.1,12.74,12.38,12.02,11.66,11.3
Armenia,44.8,43,41.2,39.4,37.6,35.8,34,32.2,30.4,28.6,26.8,25.72,24.64,23.56,22.48,21.4,20.32,19.24,18.16,17.08,16,15.3,14.6,13.9,13.2,12.5
Australia,8,7.76,7.52,7.28,7.04,6.8,6.56,6.32,6.08,5.84,5.6,5.47,5.34,5.21,5.08,4.95,4.82,4.69,4.56,4.43,4.3,4.12,3.94,3.76,3.58,3.4
Austria,8.4,8.05,7.7,7.35,7,6.65,6.3,5.95,5.6,5.25,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.76,3.62,3.48,3.34,3.2
Azerbaijan,86.5,84.68,82.86,81.04,79.22,77.4,75.58,73.76,71.94,70.12,68.3,65.06,61.82,58.58,55.34,52.1,48.86,45.62,42.38,39.14,35.9,34.52,33.14,31.76,30.38,29
Bahamas,21.7,20.98,20.26,19.54,18.82,18.1,17.38,16.66,15.94,15.22,14.5,14.33,14.16,13.99,13.82,13.65,13.48,13.31,13.14,12.97,12.8,12.48,12.16,11.84,11.52,11.2
Bahrain,22.2,21.19,20.18,19.17,18.16,17.15,16.14,15.13,14.12,13.11,12.1,11.69,11.28,10.87,10.46,10.05,9.64,9.23,8.82,8.41,8,7.58,7.16,6.74,6.32,5.9
Bangladesh,140.8,135.21,129.62,124.03,118.44,112.85,107.26,101.67,96.08,90.49,84.9,81.05,77.2,73.35,69.5,65.65,61.8,57.95,54.1,50.25,46.4,44.06,41.72,39.38,37.04,34.7
Barbados,16.2,16.07,15.94,15.81,15.68,15.55,15.42,15.29,15.16,15.03,14.9,14.75,14.6,14.45,14.3,14.15,14,13.85,13.7,13.55,13.4,13.08,12.76,12.44,12.12,11.8
Belarus,14.1,13.91,13.72,13.53,13.34,13.15,12.96,12.77,12.58,12.39,12.2,11.5,10.8,10.1,9.4,8.7,8,7.3,6.6,5.9,5.2,4.94,4.68,4.42,4.16,3.9
Belgium,8.6,8.25,7.9,7.55,7.2,6.85,6.5,6.15,5.8,5.45,5.1,4.99,4.88,4.77,4.66,4.55,4.44,4.33,4.22,4.11,4,3.94,3.88,3.82,3.76,3.7
