Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,24.32432,24.1369,23.9495,23.7622,23.5748,23.3874,23.2,21.925,20.65,19.375,18.1,16.825,15.55,14.275,13,11.725,10.45,9.175,7.9,6.625,5.35,4.075,2.8
Algeria,,,,,,,,,,,,,,,,,,,,,10.76443,11.4809,12.1973,12.9137,13.6301,14.3465,15.063,15.7794,16.4958,17.2122,17.92863,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,20.66199,21.1018,21.5416,21.9814,22.4213,22.8611,23.3009,23.7407,24.1805,24.6204,25.0602,25.5
Argentina,26.09649,25.6808,25.2651,24.8494,24.4337,24.018,23.6024,23.1867,22.771,22.35529,21.3133,20.2714,19.2294,18.1875,17.14551,16.8661,16.5866,16.3071,16.0277,15.7482,15.46875,15.7017,15.9346,16.1675,16.4004,16.63327,17.836,19.0388,20.2415,21.4443,22.64706,22.0726,21.498,20.9235,20.349,19.7745,19.2
Armenia,,,,,,,,,,,,,,,23.5,22.6574,21.8148,20.9722,20.1296,19.2869,18.4443,17.6017,16.7591,15.9165,15.0739,14.2313,13.3887,12.546,11.7034,10.8608,10.01821,12.4985,14.9788,17.4591,19.9394,22.4197,24.9
Australia,48.19176,47.578,46.9643,46.3506,45.7369,45.1231,44.5094,43.8957,43.282,42.6682,42.0545,41.4408,40.8271,40.2133,39.59961,40.3799,41.1601,41.9404,42.7207,43.5009,44.2812,45.0614,45.8417,46.622,47.4022,48.18247,49.4327,50.683,51.9333,53.1836,54.43383,53.4449,52.4559,51.4669,50.4779,49.489,48.5
Azerbaijan,,,,,,,,,,,,,,,19.43057,19.2266,19.0227,18.8188,18.6148,18.4109,18.207,18.003,17.7991,17.5952,17.3913,17.1873,16.9834,16.7795,16.5755,16.3716,16.16766,17.8564,19.5451,21.2338,22.9226,24.6113,26.3
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,,
Bangladesh,,,,,,,,,,,,,,,20.45902,20.927,21.3949,21.8628,22.3308,22.7987,23.26667,22.6188,21.9708,21.3229,20.675,20.0271,19.3792,18.7313,18.0833,17.4354,16.7875,16.1396,15.4917,14.8438,14.1958,13.5479,12.9
Belarus,,,,,,,,,,25.02463,24.6182,24.2117,23.8053,23.3988,22.99235,23.6058,24.2192,24.8327,25.4461,26.0595,26.673,27.2864,27.8999,28.5133,29.1267,29.7402,30.3536,30.9671,31.5805,32.1939,32.80737,34.0061,35.2049,36.4037,37.6025,38.8012,40
