Moldova,272,297,280,268,281,306,264,368,291,360,349,352,
Romania,983,953,1013,1116,1048,1016,1007,897,780,895,978,875,1016
Russia,,8848,9222,8871,7038,6208,5398,4907,4801,4486,4246,4163,3936
Rwanda,,,,,,383,293,312,257,265,265,,
"Saint Kitts and Nevis",,,,,,,16,15,19,,,,
"Saint Vincent and Grenadines",,66,87,50,60,36,54,28,56,20,,,
"Saint Thomas and Principe",,,,1,2,5,7,2,3,,,,
Senegal,,,301,159,167,416,710,693,565.2,437.4,309.6,181.8,54
Serbia,,,89,115,105,123,111,72,79,85,70,65,61
"Sierra Leone",,,,,135,79,,,,,,,
Singapore,110,103,124,118,129,167,202,164,150,133,120,164,162
Slovakia,233,224,200,174,182,152,142,117,150,88,91,87,87
Slovenia,70,87,58,55,97,57,79,63,55,58,53,44,42
"Solomon Islands",,170,65,79,61,56,,,,,,,
Spain,,,2140,2102,2530,2437,2051,1578,1513,1280,1298,1239,1229
"Sri Lanka",1378,1432,1457.25,1482.5,1507.75,1533,1598,1765,1775,2212,2181,,
"West Bank and Gaza",85,98,105,74,43,12,13,15,18,8,,,
Sudan,,,,,,1189,,,,,,,
Suriname,186,223,,,,,,,,,,,
Swaziland,785,849,,,,,,,,,,,
Sweden,2235,2261,3333,3703,4269,4901,5453,5479,6059,5949,5634,6294,5544
Switzerland,547,573,646,639,648,612,666,543,552,569,571,556,532
Syria,131,97,135,112,125,156,,,,,,,
Tajikistan,,53,54,56,47,55,36,57,43,,,,
Thailand,,,5071,5308,5152,4641,4676,2703,2151,2052,1830,1587,1412
"Macedonia (F.Y.R.O.M.)",,,93,49,42,41,37,28,41,43,38,45,
"Trinidad and Tobago",,305,334,259,317,236,247,217,200,286,212,198,180
Turkey,1604,1638,1694,1783,1148,1071,,,,,,,
Turkmenistan,37,36,27,27,,,,,,,,,
Uganda,537,549,732,750,599,1536,619,709,520,530,1042,1099,
Ukraine,1048,964,924,993,878,880,758,635,,,,,
"United Arab Emirates",44,52,62,72,73.8333,75.6667,77.5,79.3333,81.1667,83,77,78,86
"England and Wales",13272,14013,14443,13774,12673,13096,15074,15892,16038,16374,20751,29300,35798
"Northern Ireland",364,360,345,447,389,368,422,498,548,503,499,655,714
Scotland,794,900,975,922,908,821,884,997,1183,1372,1690,1797,
Tanzania,,,,,,,,6493,5948,6132,6105,6028,5802
"United States",93883,95089,94347,94472,92610,90750,89241,85593,84175,85141,113695,118027,124047
Uruguay,297,327,274.5,222,206,207,212,227,221,257,290,316,275
Yemen,,,95,95,125,158,176,,,,,,
Zimbabwe,3858,4997,4790,4967,4762,3186,,,,,,,
