Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lithuania,24.57,24.48,24.84,22.9,22.36,22.08,21,19.22,17.9,18.54,18.17,20.25,19.24,24.44,21.33,23.23,23.71,24.37,25.78,25.64,31.6,29.43
Luxembourg,41.03,42.55,46.31,48.16,49.1,53.15,53.45,51.43,49.71,54.31,54.69,56.58,57.72,58.92,55.26,57.45,59.02,58.62,59.43,60.22,68.84,67.4
Latvia,22.68,27.08,25.67,27.01,25.92,26.83,24.72,23.64,24.42,24.42,26.6,28.88,28.05,27.29,22.31,26.29,28.61,27.0475,25.485,23.9225,22.36,20.74
Morocco,18.86,16.29,17.93,20.7,22.03,24.77,24.07,23.33,21.26,21.74,24.4,24.22,24.29,24.79,21.82,23.61,25.6,27.28,25.53,24.97,25.67,25.27
Mexico,27.28,28.9,30,32.93,33.61,34.34,33.85,33.29,33.42,34.37,33,33.45,33.75,32.7,33.51,34.44,31.69,33,33.08,33.5,36.1,36.41
Malta,49.99,48.13,45.73,47.46,48.55,53.41,45.78,43.13,45.15,45.47,45.31,46.2,45.42,45.85,41.96,39.34,36.97,42.515,48.06,53.605,59.15,59.27
Malaysia,30.42,32.01,33.38,37.75,41.77,47.67,47.02,44.85,45.64,46.19,45.89,46.21,44.15,41.15,39.96,41.67,40.58,40.22,39.9,39.09,36.91,36.08
Netherlands,26.74,27.16,28.01,27.18,27.7,30.18,27.46,26.65,26.28,27.27,27.89,29.44,29.43,29.43,26.79,29.6,31.55,31.9,31.48,32.45,27.92,27.03
Norway,19.93,18.95,19.47,21.73,19.99,16.16,17.46,16.98,16.92,16.75,15.96,15.87,17.92,16.31,17.56,17.73,17.22,16.88,17.5,18.74,13.89,13.7
"New Zealand",16.83,16.81,17.74,17.48,18.88,22.22,20.1,20.07,17.64,18.21,15.73,16.67,15.71,18.74,15.34,16.25,16.82,16.45,15.64,15.84,13.83,12.8
Peru,9.85,9.8,10.1,10.17,9.63,10.71,10.73,10.81,11.31,11.18,12.31,11.81,12.62,13.76,11.8,11.85,11.79,12.24,11.99,12.56,10.3,9.79
Philippines,29.81,31.8,36.18,34.53,30.4,33.01,38.07,38.22,39.93,40.47,37.91,39.66,35.98,31.69,26.88,27.59,23.53,24.15,22.95,23.66,22.04,23.39
Poland,16.06,17.26,18.78,20.91,21.78,23.82,23.23,24.09,26.73,28.42,28.22,30.9,31.19,30.98,27.01,31.2,32.29,32.99,32.56,32.98,26.64,26.9
Portugal,27.27,27.14,27.9,28.06,27.9,29.99,29.58,29.23,29.14,30.36,31.67,33.73,32.56,33.47,28.35,31.37,32.58,32.68,32.68,32.39,28.44,28.03
