Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,65.45206451,65.70537567,66.52976227,67.23849487,68.06287384,67.51655579,67.23570251,67.79463196,67.80563354,68.48020935,68.55587769,68.87221527,69.15830231,69.41162872,70.17829895,70.37831879,69.9846344,71.2649231,71.31367493,72.36341095,73.64746094,74.52613831,75.33113861,75.02091217,75.52240753,75.30847168,77.55266571,77.93101501,78.96604919,80.09592438,81.40673828,81.71370697,79.27301788,80.85499573,82.09381866,83.11174011,82.45961761,82.72904205,83.32427216,85.08122253,85.32264709,86.29290771,86.73152924,86.45943451,87.00036621,86.99051666,87.00517273,87.51921082,87.24475098
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,39.44536591,40.93074417,38.43325043,34.34904099,43.59648514,43.12082291,40.41863632,43.00389099,48.83031845,47.5466423,46.95100021,48.9135704,41.81207275,51.0565033,50.95404053,52.02117157,57.93625641,58.71412659,59.15825272,60.52641296,60.17987061,60.87916565,60.67900848,60.82224655,59.9236908,60.47636032,63.11614609,63.20452118
Bahamas,,,,75.88848114,76.11236572,76.11236572,76.17616272,76.57019043,76.9573288,77.20061493,77.18721008,77.01108551,77.14459991,76.51591492,76.31922913,76.03106689,76.68418121,76.6778717,74.83729553,74.67465973,74.82563019,75.11832428,74.82194519,77.21886444,76.90911865,77.71270752,80.25307465,78.99274445,78.03302002,74.77170563,78.1548996,80.14996338,84.80645752,83.12108612,82.47450256,82.44445038,82.31298828,83.45652008,82.86889648,86.09114075,86.00231171,85.89998627,85.84986115,85.75262451,86.42424011,86.23855591,90.71286011,89.60099792,89.27922058
Bahrain,,39.0364418,39.40924072,39.89051819,40.03808975,41.78572464,42.16125107,42.88866806,43.56707382,44.79011154,45.66376495,45.03281784,45.33346176,46.78039169,47.65202332,52.17213821,54.08198547,54.52945709,54.68694687,54.73510361,55.51032257,55.00190735,55.56235123,56.2491684,55.0710144,56.59182739,55.23468399,53.29076385,54.89798737,55.50860977,58.37566376,59.79983139,61.58467865,62.82601547,63.09876633,63.04373169,64.76676178,65.15563202,66.33312988,65.89416504,66.02948761,66.74164581,64.74385071,65.1644516,64.83414459,64.83367157,60.25112152,62.35434723,60.74491501
Bangladesh,,18.15341949,18.38471603,18.38471603,18.1704998,17.89187813,16.657444,18.08735275,18.33349419,18.35440826,20.20292282,18.69669724,17.63539314,18.79850197,19.40188789,19.50880623,19.71584892,19.69544983,20.63906288,20.94271088,22.87492561,21.85644341,23.68340111,24.13069534,23.06825447,23.79009438,24.33916473,24.01712799,25.95868301,25.99206352,27.14182472,30.19085121,33.62280655,34.85221863,35.79694366,38.50322723,41.4902153,51.7752533,52.70010757,53.93109512,55.57838821,56.54994202,57.42067719,56.82432175,57.76654053,57.86238861,57.34466553,57.27064514,55.62102509
Barbados,63.36927032,63.37644577,66.62177277,68.47931671,60.14881516,61.19681931,66.63563538,63.635952,62.93822479,63.05721664,64.28316498,66.32684326,63.00360489,62.02274704,67.2756424,61.74822998,62.9209404,65.77467346,67.91433716,70.0521698,68.14674377,69.0668335,70.31815338,69.90358734,69.48532867,69.1991272,73.22343445,73.16854858,73.69685364,73.63742065,74.80367279,78.04551697,81.80522156,81.79457092,82.6408844,85.0581665,83.48322296,87.61936951,87.13973999,88.44927216,88.87850189,87.9486618,88.44150543,88.30783844,88.41663361,87.40615845,88.17363739,85.23986053,85.38887787
Belarus,,,,,,,,,,,,,,,,,,,,,,39.92387009,39.93899536,41.73371887,38.73369598,38.28227997,39.33046722,36.04056931,37.06448746,42.95810318,45.1651268,45.7062645,45.86166,49.33438873,48.02907181,48.93658066,51.03026199,53.24274063,55.51222229,58.96916199,60.57278061,61.93995667,62.23292542,62.7881813,63.61844635,63.46453476,63.88276672,64.03885651,64.7424469
Belgium,60.27996826,60.652771,60.66378021,64.02141571,62.76028824,62.42819214,62.75679779,62.95459747,63.29930496,64.58644104,63.91014481,64.07205963,64.47607422,65.76122284,66.16796112,66.19403839,66.59236908,67.472435,68.08132935,67.89064026,68.15333557,70.71531677,72.34468079,71.28808594,72.35210419,73.45523834,74.48153687,73.28311157,73.85777283,75.40946198,78.00717163,78.51107025,79.82284546,82.16517639,83.01335907,83.12227631,83.61173248,84.24558258,84.55914307,84.74186707,85.70603943,86.23630524,86.1416626,87.12721252,87.16442871,86.9789505,87.01608276,86.8380661,87.55426788
Belize,,,,,,,,,,,,51.34794617,51.30261993,51.11854172,51.84350967,53.96376038,54.86997986,57.78904343,58.4479866,57.58034897,57.96264267,58.46811295,60.33078384,60.46219635,60.86478043,62.31842041,64.85361481,66.01064301,66.88341522,68.12747192,69.01760101,70.23225403,69.15634918,70.89440918,71.40158844,72.32645416,74.18527222,75.67609406,74.87824249,75.72019196,76.42971802,76.53179169,76.86894989,76.76804352,77.1024704,77.87529755,78.12129974,78.55770111,78.65998077
Benin,19.1572094,19.28386879,19.28386879,19.28386879,19.28386879,17.6428833,16.3662529,16.39434433,16.39434433,16.61956978,17.88521957,18.09047699,18.28089905,18.54563141,18.74597931,17.72624016,17.83917427,18.04234505,18.35031891,18.68826294,18.90429878,23.50572014,25.08750343,25.82169151,26.15501976,26.26735687,28.15922165,31.22023582,32.15078735,34.02410126,33.60773468,36.66074371,38.19060898,38.98203278,40.41244125,40.90525055,42.22512436,44.05996323,45.32040787,46.40248108,47.60308838,48.23065186,48.81006241,49.63391876,49.67010117,50.68731689,50.91623688,51.11143112,51.17828369
