Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Argentina,23,21.4,19.8,18.2,16.6,15,13.4,11.8,10.2,8.6,7,7.6,8.2,8.8,9.4,10,10.6,11.2,11.8,12.4,13,14.6,16.2,17.8,19.4,21
Australia,45.34,48.118,50.896,53.674,56.452,59.23,62.008,64.786,67.564,70.342,73.12,66.633,60.146,53.659,47.172,40.685,34.198,27.711,21.224,14.737,8.25,,,,,
Austria,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.66,0.62,0.58,0.54,0.5,0.46,0.42,0.38,0.34,0.3,0.3,0.3,0.3,0.3,0.3
Azerbaijan,4.8,8.32,11.84,15.36,18.88,22.4,25.92,29.44,32.96,36.48,40,44.6,49.2,53.8,58.4,63,67.6,72.2,76.8,81.4,86,87.904,89.808,91.712,93.616,95.52
Bangladesh,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,6.68,6.711,6.742,6.773,6.804,6.835,6.866,6.897,6.928,6.959,6.99,6.573,6.156,5.739,5.322,4.905,4.488,4.071,3.654,3.237,2.82,2.61,2.4,2.19,1.98,1.77
Belgium,,,,,,,,,,,,,,,,,,,,,1,,,,,
Bhutan,0.02,0.034,0.048,0.062,0.076,0.09,0.104,0.118,0.132,0.146,0.16,0.164,0.168,0.172,0.176,0.18,0.184,0.188,0.192,0.196,0.2,0.2,0.2,0.2,0.2,0.2
Bulgaria,2.9,2.904,2.908,2.912,2.916,2.92,2.924,2.928,2.932,2.936,2.94,2.686,2.432,2.178,1.924,1.67,1.416,1.162,0.908,0.654,0.4,0.34,0.28,0.22,0.16,0.1
Burundi,,,,,,,,,,,,,,,,,,,,,17.14,,,,,
"Cape Verde",,,,,,,,,,,3.14,3.046,2.952,2.858,2.764,2.67,2.576,2.482,2.388,2.294,2.2,1.984,1.768,1.552,1.336,1.12
Cameroon,0.3,0.47,0.64,0.81,0.98,1.15,1.32,1.49,1.66,1.83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Canada,7.33,6.844,6.358,5.872,5.386,4.9,4.414,3.928,3.442,2.956,2.47,,,,,,,,,,,,,,,
Chile,63.61,62.573,61.536,60.499,59.462,58.425,57.388,56.351,55.314,54.277,53.24,49.04,44.84,40.64,36.44,32.24,28.04,23.84,19.64,15.44,11.24,9.48,7.72,5.96,4.2,2.44
China,1185,1223.78,1262.56,1301.34,1340.12,1378.9,1417.68,1456.46,1495.24,1534.02,1572.8,1537.61,1502.42,1467.23,1432.04,1396.85,1361.66,1326.47,1291.28,1256.09,1220.9,1190.28,1159.66,1129.04,1098.42,1067.8
Colombia,6.87,8.339,9.808,11.277,12.746,14.215,15.684,17.153,18.622,20.091,21.56,20.258,18.956,17.654,16.352,15.05,13.748,12.446,11.144,9.842,8.54,6.968,5.396,3.824,2.252,0.68
"Costa Rica",4.77,4.643,4.516,4.389,4.262,4.135,4.008,3.881,3.754,3.627,3.5,3.534,3.568,3.602,3.636,3.67,3.704,3.738,3.772,3.806,3.84,3.494,3.148,2.802,2.456,2.11
Croatia,0.27,0.259,0.248,0.237,0.226,0.215,0.204,0.193,0.182,0.171,0.16,0.163,0.166,0.169,0.172,0.175,0.178,0.181,0.184,0.187,0.19,0.158,0.126,0.094,0.062,0.03
Cyprus,0.26,0.255,0.25,0.245,0.24,0.235,0.23,0.225,0.22,0.215,0.21,0.191,0.172,0.153,0.134,0.115,0.096,0.077,0.058,0.039,0.02,0.018,0.016,0.014,0.012,0.01
Denmark,4.05,3.811,3.572,3.333,3.094,2.855,2.616,2.377,2.138,1.899,1.66,2.284,2.908,3.532,4.156,4.78,5.404,6.028,6.652,7.276,7.9,6.594,5.288,3.982,2.676,1.37
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
"Dominican Republic",2.78,3.151,3.522,3.893,4.264,4.635,5.006,5.377,5.748,6.119,6.49,6.512,6.534,6.556,6.578,6.6,6.622,6.644,6.666,6.688,6.71,,,,,
Estonia,0.7,0.951,1.202,1.453,1.704,1.955,2.206,2.457,2.708,2.959,3.21,3.453,3.696,3.939,4.182,4.425,4.668,4.911,5.154,5.397,5.64,4.852,4.064,3.276,2.488,1.7
Finland,9,8.201,7.402,6.603,5.804,5.005,4.206,3.407,2.608,1.809,1.01,1.311,1.612,1.913,2.214,2.515,2.816,3.117,3.418,3.719,4.02,,,,,
Georgia,0.6,1.037,1.474,1.911,2.348,2.785,3.222,3.659,4.096,4.533,4.97,,,,,,,,,,,,,,,
Germany,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,8.8,8.6,8.4,8.2,8,7.8,7.6,7.4,7.2,7,6.4,5.8,5.2,4.6,4
Guinea,12,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,6.21,6.591,6.972,7.353,7.734,8.115,8.496,8.877,9.258,9.639,10.02,9.121,8.222,7.323,6.424,5.525,4.626,3.727,2.828,1.929,1.03,0.916,0.802,0.688,0.574,0.46
Iceland,1.23,1.251,1.272,1.293,1.314,1.335,1.356,1.377,1.398,1.419,1.44,1.362,1.284,1.206,1.128,1.05,0.972,0.894,0.816,0.738,0.66,0.648,0.636,0.624,0.612,0.6
Ireland,16,15.213,14.426,13.639,12.852,12.065,11.278,10.491,9.704,8.917,8.13,7.916,7.702,7.488,7.274,7.06,6.846,6.632,6.418,6.204,5.99,5.712,5.434,5.156,4.878,4.6
Israel,,,,,,,,,,,,,,,,,,,,,0.83,0.734,0.638,0.542,0.446,0.35
Italy,14.88,14.207,13.534,12.861,12.188,11.515,10.842,10.169,9.496,8.823,8.15,8.019,7.888,7.757,7.626,7.495,7.364,7.233,7.102,6.971,6.84,,,,,
Jamaica,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Kyrgyzstan,2.15,2.223,2.296,2.369,2.442,2.515,2.588,2.661,2.734,2.807,2.88,2.835,2.79,2.745,2.7,2.655,2.61,2.565,2.52,2.475,2.43,2.704,2.978,3.252,3.526,3.8
Latvia,,,,,,,,,,,1.44,1.509,1.578,1.647,1.716,1.785,1.854,1.923,1.992,2.061,2.13,2.094,2.058,2.022,1.986,1.95
Liechtenstein,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Lithuania,,,,,,,,,,,2,2.116,2.232,2.348,2.464,2.58,2.696,2.812,2.928,3.044,3.16,2.942,2.724,2.506,2.288,2.07
Madagascar,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,30,,,,,,,,,,,,,,,
Martinique,0.15,0.144,0.138,0.132,0.126,0.12,0.114,0.108,0.102,0.096,0.09,0.082,0.074,0.066,0.058,0.05,0.042,0.034,0.026,0.018,0.01,,,,,
Mauritania,32.28,29.26,26.24,23.22,20.2,17.18,14.16,11.14,8.12,5.1,2.08,2.107,2.134,2.161,2.188,2.215,2.242,2.269,2.296,2.323,2.35,2.38,2.41,2.44,2.47,2.5
Mayotte,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.073,0.066,0.059,0.052,0.045,0.038,0.031,0.024,0.017,0.01,0.01,0.01,0.01,0.01,0.01
Mexico,0.78,0.973,1.166,1.359,1.552,1.745,1.938,2.131,2.324,2.517,2.71,2.79,2.87,2.95,3.03,3.11,3.19,3.27,3.35,3.43,3.51,3.468,3.426,3.384,3.342,3.3
Mongolia,0.11,0.114,0.118,0.122,0.126,0.13,0.134,0.138,0.142,0.146,0.15,0.165,0.18,0.195,0.21,0.225,0.24,0.255,0.27,0.285,0.3,0.3,0.3,0.3,0.3,0.3
Montenegro,,,,,,,,,,,,,,,,,,,,,0.5,0.46,0.42,0.38,0.34,0.3
Morocco,2.9,4.398,5.896,7.394,8.892,10.39,11.888,13.386,14.884,16.382,17.88,17.18,16.48,15.78,15.08,14.38,13.68,12.98,12.28,11.58,10.88,11.016,11.152,11.288,11.424,11.56
"Burma (Myanmar)",,,,,,,,,,,27.45,26.721,25.992,25.263,24.534,23.805,23.076,22.347,21.618,20.889,20.16,16.97,13.78,10.59,7.4,4.21
Nepal,4,4.4,4.8,5.2,5.6,6,6.4,6.8,7.2,7.6,8,,,,,,,,,,,,,,,
Netherlands,2.56,2.704,2.848,2.992,3.136,3.28,3.424,3.568,3.712,3.856,4,3.879,3.758,3.637,3.516,3.395,3.274,3.153,3.032,2.911,2.79,2.856,2.922,2.988,3.054,3.12
"New Zealand",62,57.3,52.6,47.9,43.2,38.5,33.8,29.1,24.4,19.7,15,14.3,13.6,12.9,12.2,11.5,10.8,10.1,9.4,8.7,8,8.8,9.6,10.4,11.2,12
