Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,39.75,39.76,39.77,39.78,39.79,39.8,39.81,39.82,39.83,39.84,39.85,36.355,32.86,29.365,25.87,22.375,18.88,15.385,11.89,8.395,4.9,4.764,4.628,4.492,4.356,4.22,4.12,4.9,39.87,4.8,4.1
"American Samoa",135.87,137.799,139.728,141.657,143.586,145.515,147.444,149.373,151.302,153.231,155.16,141.437,127.714,113.991,100.268,86.545,72.822,59.099,45.376,31.653,17.93,50.034,82.138,114.242,146.346,178.45,18.21,181.97,183.74,185.2,186.98
Andorra,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8
Angola,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43
Anguilla,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269
"Antigua and Barbuda",269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269
Argentina,217.83,218.319,218.808,219.297,219.786,220.275,220.764,221.253,221.742,222.231,222.72,223.327,223.934,224.541,225.148,225.755,226.362,226.969,227.576,228.183,228.79,229.32,229.85,230.38,230.91,231.44,231.73,232.7,232.42,232.75,233.9
Armenia,11.73,10.669,9.608,8.547,7.486,6.425,5.364,4.303,3.242,2.181,1.12,10.86,20.6,30.34,40.08,49.82,59.56,69.3,79.04,88.78,98.52,98.676,98.832,98.988,99.144,99.3,,,,,
Australia,,,,,,,,,,,126.25,126.358,126.466,126.574,126.682,126.79,126.898,127.006,127.114,127.222,127.33,126.786,126.242,125.698,125.154,124.61,123.73,123.74,123.75,123.75,123.75
Austria,18.6,36.56,54.52,72.48,90.44,108.4,126.36,144.32,162.28,180.24,198.2,181.04,163.88,146.72,129.56,112.4,95.24,78.08,60.92,43.76,26.6,25.62,24.64,23.66,22.68,21.7,211.7,212.5,213.3,214.1,215
Bahamas,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72,55.72
Bangladesh,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Belarus,99,102.05,105.1,108.15,111.2,114.25,117.3,120.35,123.4,126.45,129.5,131.95,134.4,136.85,139.3,141.75,144.2,146.65,149.1,151.55,154,156.44,158.88,161.32,163.76,166.2,168.6,171,173,175.4,177
Belgium,142.68,146.352,150.024,153.696,157.368,161.04,164.712,168.384,172.056,175.728,179.4,181.096,182.792,184.488,186.184,187.88,189.576,191.272,192.968,194.664,196.36,162.668,128.976,95.284,61.592,27.9,,,,,
Belize,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6,261.6
Benin,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27,124.27
Bhutan,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32,39.32
Bolivia,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81,163.81
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,188.99,189.1,,,,
