Country,2009,2010,2011,2012,2013,2014,2015,2016
Albania,3.67491,3.811339773,3.667462587,3.271457497,2.9247629,3.002243326,2.927091552,2.779162842
Algeria,2.921026,3.052881244,2.957141922,2.482205354,2.31444301,2.880755839,3.266026031,3.371055021
Angola,,3.182882,2.524048281,2.3714,2.21875,2.03942704,,
Argentina,2.086724,2.271386896,2.381594579,2.127786838,1.888257513,1.919902732,2.336685371,2.67589736
Armenia,2.941113,3.0024138,3.248167344,3.497470183,3.379029995,2.915319266,2.788842582,3.233276655
Australia,4.753734,5.003243759,4.812250269,4.681969,4.308699128,4.119734037,4.653709646,4.447181802
Austria,5.343909,5.236584254,4.838980943,4.602669495,4.368061968,4.084481657,4.71762501,4.593445027
Azerbaijan,4.053726,3.745533054,3.79861926,3.900274792,3.721000722,3.548332807,3.548332807,3.808447472
Bahrain,4.447785,4.079969983,4.572730003,4.496199669,3.883108884,3.84637463,4.358037438,4.700472163
Bangladesh,3.137185,3.03379765,3.323299209,3.585639723,3.321753664,2.88833807,2.690070019,2.84817687
Barbados,4.798947,4.702899769,4.599339154,4.466402838,4.236498702,3.972174906,3.6467,3.321314068
Belgium,3.907373,4.0922045,4.203383592,4.157860869,4.046152415,4.051310504,4.679692394,4.616002238
Belize,,,3.048253,,,,,
Benin,4.454959,3.399781883,3.245367104,3.710718569,3.226647157,3.2194,3.212121248,3.212121248
Bhutan,,,,,3.259397,3.160698995,3.9605624,4.034570622
Bolivia,2.170037,2.331659283,2.910406584,3.187456907,3.258030584,3.396878412,2.670822533,1.704565539
"Bosnia and Herzegovina",1.622964,2.321968541,2.890985,3.3334908,3.695541,3.2395,2.783505201,2.592687345
Botswana,4.562109,4.507780185,4.736271154,4.899017136,4.384339965,3.82141325,4.24920858,4.389571393
Brazil,3.272299,3.486771419,3.659154036,3.83373711,3.509144376,3.056239267,2.937018013,2.794293744
Brunei,3.912442,3.774248452,3.895397456,3.955927074,3.322018456,2.9971,2.6722,2.347222328
Bulgaria,2.840554,2.78628261,2.773904763,2.936492429,2.793230191,2.464423165,2.822378208,3.1960258
"Burkina Faso",3.76765,3.15230835,2.928194548,3.461738148,3.023527139,2.823827347,,
