Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
Albania,788.8,786.85,784.9,782.95,781,779.05,777.1,775.15,773.2,771.25,769.3,771.92,774.54,777.16,779.78,782.4,781.18,779.96,778.74,777.52,776.3,775.34,774.38,773.42,772.46
Algeria,1667,1658.2,1649.4,1640.6,1631.8,1623,1614.2,1605.4,1596.6,1587.8,1579,1570.4,1561.8,1553.2,1544.6,1536,1612.4,1688.8,1765.2,1841.6,1918,1925.6,1933.2,1940.8,1948.4
"American Samoa",18.39,18.35,18.32,18.29,18.25,18.22,18.19,18.15,18.12,18.08,18.05,18.02,17.98,17.95,17.91,17.88,17.85,17.81,17.78,17.75,17.71,17.68,17.64,17.61,17.58
Andorra,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Angola,60976,60851.2,60726.4,60601.6,60476.8,60352,60227.2,60102.4,59977.6,59852.8,59728,59603.2,59478.4,59353.6,59228.8,59104,58979.2,58854.4,58729.6,58604.8,58480,58355.2,58230.4,58105.6,57980.8
Anguilla,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"Antigua and Barbuda",10.3,10.27,10.24,10.21,10.18,10.15,10.12,10.09,10.06,10.03,10,9.96,9.92,9.88,9.84,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
Argentina,34793,34499.7,34206.4,33913.1,33619.8,33326.5,33033.2,32739.9,32446.6,32153.3,31860,31525.2,31190.4,30855.6,30520.8,30186,29868,29550,29232,28914,28596,28299.2,28002.4,27705.6,27408.8
Armenia,,,334.6,334.4,334.2,334,333.8,333.6,333.4,333.2,333,332.8,332.6,332.4,332.2,332,331.8,331.6,331.4,331.2,331,331.2,331.4,331.6,331.8
Aruba,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Australia,128541,128571,128601,128631,128661,128691,128721,128751,128781,128811,128841,128601,128361,128121,127881,127641,126755,125869,124983,124097,123211,123519,123827,124135,124443
Austria,3776,3782.2,3788.4,3794.6,3800.8,3807,3813.2,3819.4,3825.6,3831.8,3838,3840.6,3843.2,3845.8,3848.4,3851,3852.8,3854.6,3856.4,3858.2,3860,3861.8,3863.6,3865.4,3867.2
Azerbaijan,,,855.8,857.8,859.8,861.8,863.8,865.8,867.8,869.8,871.8,872.88,873.96,875.04,876.12,877.2,903.42,929.64,955.86,982.08,1008.3,1034.52,1060.74,1086.96,1113.18
Bahamas,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515
Bahrain,0.22,0.23,0.25,0.26,0.28,0.29,0.31,0.32,0.34,0.36,0.37,0.39,0.4,0.42,0.43,0.45,0.46,0.48,0.49,0.51,0.53,0.54,0.56,0.57,0.59
Bangladesh,1494,1491.4,1488.8,1486.2,1483.6,1481,1478.4,1475.8,1473.2,1470.6,1468,1465.4,1462.8,1460.2,1457.6,1455,1452.4,1449.8,1447.2,1444.6,1442,1439.4,1436.8,1434.2,1431.6
Barbados,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Belarus,,,7878.6,7927.9,7977.2,8026.5,8075.8,8125.1,8174.4,8223.7,8273,8305.6,8338.2,8370.8,8403.4,8436,8455.6,8475.2,8494.8,8514.4,8534,8553.9,8573.8,8593.7,8613.6
Belgium,763.2,762.28,761.36,760.44,759.52,758.6,757.68,756.76,755.84,754.92,,,,,,,,,,,,,,,
Belize,1616.03,1600.35,1584.68,1569.01,1553.34,1537.66,1521.99,1506.32,1490.65,1474.97,1459.3,1450.75,1442.19,1433.64,1425.08,1416.53,1411.5,1406.47,1401.45,1396.42,1391.39,1386.37,1381.35,1376.34,1371.32
Benin,5761,5691,5621,5551,5481,5411,5341,5271,5201,5131,5061,5011,4961,4911,4861,4811,4761,4711,4661,4611,4561,4511,4461,4411,4361
Bermuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,2506.71,2516.64,2526.57,2536.5,2546.43,2556.36,2566.29,2576.22,2586.14,2596.07,2606,2615.93,2625.86,2635.79,2645.72,2655.65,2665.58,2675.5,2685.43,2695.36,2705.29,2715.22,2725.15,2735.08,2745.01
Bolivia,62795,62524.6,62254.2,61983.8,61713.4,61443,61172.6,60902.2,60631.8,60361.4,60091,59819.6,59548.2,59276.8,59005.4,58734,58229,57724,57219,56714,56209,55920,55631,55342,55053
"Bosnia and Herzegovina",,,2205,2202.5,2200,2197.5,2195,2192.5,2190,2187.5,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185
Botswana,13718,13599.7,13481.4,13363.1,13244.8,13126.5,13008.2,12889.9,12771.6,12653.3,12535,12416.6,12298.2,12179.8,12061.4,11943,11824.6,11706.2,11587.8,11469.4,11351,11248.8,11146.6,11044.4,10942.2
Brazil,546705,544161.9,541618.8,539075.7,536532.6,533989.5,531446.4,528903.3,526360.2,523817.1,521274,518366,515458,512550,509642,506734,505078.8,503423.6,501768.4,500113.2,498458,497474,496490,495506,494522
"British Virgin Islands",3.71,3.71,3.7,3.7,3.69,3.69,3.69,3.68,3.68,3.67,3.67,3.67,3.67,3.66,3.66,3.66,3.66,3.65,3.65,3.64,3.64,3.64,3.63,3.63,3.62
Brunei,413,411.4,409.8,408.2,406.6,405,403.4,401.8,400.2,398.6,397,395.4,393.8,392.2,390.6,389,387.2,385.4,383.6,381.8,380,380,380,380,380
Bulgaria,3327,3331.8,3336.6,3341.4,3346.2,3351,3355.8,3360.6,3365.4,3370.2,3375,3430.2,3485.4,3540.6,3595.8,3651,3668.2,3685.4,3702.6,3719.8,3737,3754.2,3771.4,3788.6,3805.8
"Burkina Faso",6847,6787.1,6727.2,6667.3,6607.4,6547.5,6487.6,6427.7,6367.8,6307.9,6248,6188.2,6128.4,6068.6,6008.8,5949,5889,5829,5769,5709,5649,5589.2,5529.4,5469.6,5409.8
Burundi,289,279.9,270.8,261.7,252.6,243.5,234.4,225.3,216.2,207.1,198,194.6,191.2,187.8,184.4,181,195.4,209.8,224.2,238.6,253,257.6,262.2,266.8,271.4
"Cape Verde",57.75,60.18,62.62,65.05,67.49,69.92,72.35,74.79,77.22,79.66,82.09,82.39,82.69,82.99,83.29,83.59,83.89,84.19,84.49,84.79,85.09,86.05,87.02,87.98,88.94
Cambodia,12944,12804.2,12664.4,12524.6,12384.8,12245,12105.2,11965.4,11825.6,11685.8,11546,11383,11220,11057,10894,10731,10603.6,10476.2,10348.8,10221.4,10094,9966.6,9839.2,9711.8,9584.4
Cameroon,24316,24096,23876,23656,23436,23216,22996,22776,22556,22336,22116,21896,21676,21456,21236,21016,20796,20576,20356,20136,19916,19696,19476,19256,19036
Canada,348273,348225.9,348178.8,348131.7,348084.6,348037.5,347990.4,347943.3,347896.2,347849.1,347802,347756.8,347711.6,347666.4,347621.2,347576,347521.2,347466.4,347411.6,347356.8,347302,347255.4,347208.8,347162.2,347115.6
"Cayman Islands",12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7
"Central African Republic",22560,22544.4,22528.8,22513.2,22497.6,22482,22466.4,22450.8,22435.2,22419.6,22404,22388.4,22372.8,22357.2,22341.6,22326,22310.4,22294.8,22279.2,22263.6,22248,22232.4,22216.8,22201.2,22185.6
Chad,6705,6667.1,6629.2,6591.3,6553.4,6515.5,6477.6,6439.7,6401.8,6363.9,6326,6289,6252,6215,6178,6141,6014.4,5887.8,5761.2,5634.6,5508,5381.4,5254.8,5128.2,5001.6
"Channel Islands",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Chile,15263,15320.1,15377.2,15434.3,15491.4,15548.5,15605.6,15662.7,15719.8,15776.9,15834,15875.6,15917.2,15958.8,16000.4,16042,16079.8,16117.6,16155.4,16193.2,16231,16531.8,16832.6,17133.4,17434.2
China,157140.6,159126.59,161112.58,163098.57,165084.56,167070.55,169056.54,171042.53,173028.52,175014.51,177000.5,180209.18,183417.86,186626.54,189835.22,193043.9,194557.18,196070.46,197583.74,199097.02,200610.3,202152.5,203694.7,205236.9,206779.1
Colombia,64417,64155.14,63893.29,63631.43,63369.58,63107.72,62845.86,62584.01,62322.15,62060.3,61798.44,61479.02,61159.61,60840.19,60520.78,60201.36,59888.15,59574.94,59261.74,58948.53,58635.32,58608.6,58581.89,58555.17,58528.46
Comoros,49,48.6,48.2,47.8,47.4,47,46.6,46.2,45.8,45.4,45,44.4,43.8,43.2,42.6,42,41.4,40.8,40.2,39.6,39,38.6,38.2,37.8,37.4
"Congo (Brazzaville)",22726,22709,22692,22675,22658,22641,22624,22607,22590,22573,22556,22539,22522,22505,22488,22471,22459,22447,22435,22423,22411,22395.6,22380.2,22364.8,22349.4
"Cook Islands",14.4,14.47,14.54,14.61,14.68,14.75,14.82,14.89,14.96,15.03,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
"Costa Rica",2564,2545.2,2526.4,2507.6,2488.8,2470,2451.2,2432.4,2413.6,2394.8,2376,2399,2422,2445,2468,2491,2513.8,2536.6,2559.4,2582.2,2605,2635.2,2665.4,2695.6,2725.8
"Ivory Coast",10222,10232.6,10243.2,10253.8,10264.4,10275,10285.6,10296.2,10306.8,10317.4,10328,10343.4,10358.8,10374.2,10389.6,10405,10404.6,10404.2,10403.8,10403.4,10403,10402.6,10402.2,10401.8,10401.4
Croatia,,,1857,1860.5,1864,1867.5,1871,1874.5,1878,1881.5,1885,1888.6,1892.2,1895.8,1899.4,1903,1906.4,1909.8,1913.2,1916.6,1920,1920.4,1920.8,1921.2,1921.6
Cuba,2058,2095.7,2133.4,2171.1,2208.8,2246.5,2284.2,2321.9,2359.6,2397.3,2435,2487.4,2539.8,2592.2,2644.6,2697,2744,2791,2838,2885,2932,2985.6,3039.2,3092.8,3146.4
Cyprus,161.11,162.16,163.21,164.26,165.31,166.36,167.41,168.46,169.51,170.56,171.61,171.86,172.11,172.35,172.6,172.85,172.85,172.85,172.85,172.84,172.84,172.81,172.78,172.76,172.73
"Czech Republic",,,,2631.4,2632.2,2633,2633.8,2634.6,2635.4,2636.2,2637,2639,2641,2643,2645,2647,2649,2651,2653,2655,2657,2659,2661,2663,2665
Czechoslovakia,4551,4551.7,4552.4,,,,,,,,,,,,,,,,,,,,,,
"North Korea",8201,8074.2,7947.4,7820.6,7693.8,7567,7440.2,7313.4,7186.6,7059.8,6933,6806.2,6679.4,6552.6,6425.8,6299,6172.4,6045.8,5919.2,5792.6,5666,5539,5412,5285,5158
"Congo (Kinshasa)",160363,160051.6,159740.2,159428.8,159117.4,158806,158494.6,158183.2,157871.8,157560.4,157249,156937.6,156626.2,156314.8,156003.4,155692,155380.6,155069.2,154757.8,154446.4,154135,153823.6,153512.2,153200.8,152889.4
Denmark,543.2,547.43,551.66,555.89,560.12,564.35,568.58,572.81,577.04,581.27,585.5,579.94,574.38,568.82,563.26,557.7,563.58,569.46,575.34,581.22,587.1,592.12,597.14,602.16,607.18
Djibouti,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
Dominica,50,49.73,49.47,49.2,48.93,48.66,48.4,48.13,47.86,47.6,47.33,47.06,46.79,46.53,46.26,45.99,45.72,45.46,45.19,44.93,44.66,44.39,44.13,43.86,43.6
"Dominican Republic",1105,1143.1,1181.2,1219.3,1257.4,1295.5,1333.6,1371.7,1409.8,1447.9,1486,1519.2,1552.4,1585.6,1618.8,1652,1685,1718,1751,1784,1817,1850.2,1883.4,1916.6,1949.8
Ecuador,14630.85,14540.65,14450.46,14360.27,14270.07,14179.88,14089.69,13999.5,13909.3,13819.11,13728.92,13650.18,13571.44,13492.71,13413.97,13335.24,13256.5,13177.76,13099.03,13020.29,12941.56,12862.82,12784.08,12705.35,12626.61
Egypt,44,45.5,47,48.5,50,51.5,53,54.5,56,57.5,59,60.6,62.2,63.8,65.4,67,67.6,68.2,68.8,69.4,70,70.6,71.2,71.8,72.4
"El Salvador",377,372.5,368,363.5,359,354.5,350,345.5,341,336.5,332,327.4,322.8,318.2,313.6,309,304.6,300.2,295.8,291.4,287,282.6,278.2,273.8,269.4
"Equatorial Guinea",1860,1848.3,1836.6,1824.9,1813.2,1801.5,1789.8,1778.1,1766.4,1754.7,1743,1731.4,1719.8,1708.2,1696.6,1685,1673.2,1661.4,1649.6,1637.8,1626,1614.4,1602.8,1591.2,1579.6
Eritrea,,,,1607.5,1603,1598.5,1594,1589.5,1585,1580.5,1576,1571.6,1567.2,1562.8,1558.4,1554,1549.6,1545.2,1540.8,1536.4,1532,1527.6,1523.2,1518.8,1514.4
Estonia,,,2213.4,2217.1,2220.8,2224.5,2228.2,2231.9,2235.6,2239.3,2243,2244.8,2246.6,2248.4,2250.2,2252,2248.4,2244.8,2241.2,2237.6,2234,2233.6,2233.2,2232.8,2232.4
Ethiopia,16735,16589.6,16444.2,,,,,,,,,,,,,,,,,,,,,,
"Faroe Islands",0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Fiji,952.9,955.65,958.41,961.16,963.92,966.67,969.42,972.18,974.93,977.69,980.44,983.8,987.17,990.53,993.9,997.26,996.39,995.51,994.64,993.77,992.9,997.76,1002.62,1007.48,1012.34
Finland,21875,21932,21989,22046,22103,22160,22217,22274,22331,22388,22445,22384.6,22324.2,22263.8,22203.4,22143,22158,22173,22188,22203,22218,22218,22218,22218,22218
