Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Algeria,4.52266,4.9365,5.71606,5.91795,5.73645,5.65699,6.27898,6.69405,7.29459,7.99997,7.64655,7.71731,7.58755,6.80293,7.74208,6.89097,6.43137,6.78517,7.19937,6.8439,7.14972,6.94626,6.8276,6.78084,6.82883,6.89335,6.89963,6.93718,6.9593,6.95843,6.9766,7.03324,7.08291,7.12429
Angola,1.74291,2.0869,1.3131,3.35741,2.68968,1.99362,1.93643,2.76941,3.01094,3.58121,3.42679,3.24902,4.20504,3.19041,4.57768,3.92187,3.27314,3.96158,4.38231,4.28051,4.24098,3.6797,3.80397,3.84565,3.87318,3.80859,3.71788,3.64615,3.58464,3.52763,3.47574,3.42187,3.37085,3.31963
Benin,5.55749,5.67911,4.64266,4.3141,5.10883,5.16468,5.72204,5.65243,5.74178,5.87475,5.70216,7.44841,7.40048,7.2718,6.12566,6.19019,6.72387,6.49137,6.37554,5.30371,5.89418,5.67154,5.66285,5.54776,5.56537,5.56406,5.56105,5.57315,5.58915,5.61247,5.64246,5.68787,5.75399,5.81018
Botswana,7.73655,5.74987,5.76342,6.97342,8.01938,7.66716,8.32461,9.11408,10.692,9.94054,9.59145,9.86504,10.0467,11.3656,11.5026,11.3823,10.2008,11.4534,10.8978,10.8999,12.4798,11.6347,11.5201,11.586,11.5411,11.4956,11.4678,11.4581,11.5033,11.5499,11.5722,11.59,11.6234,11.7056
"Burkina Faso",2.46947,2.88782,2.87752,2.54161,1.31287,2.58214,3.62114,3.82571,3.31264,3.60467,3.81643,3.7898,4.34699,3.7248,3.84737,3.61277,3.24064,3.79029,4.31427,3.91384,4.13247,3.98629,3.86978,3.73053,3.6835,3.61682,3.53423,3.45067,3.38871,3.32281,3.2479,3.17813,3.11275,3.04657
Burundi,1.23342,2.11582,1.46329,1.13405,0.957118,2.27056,1.92157,2.36261,2.72827,4.13845,5.96442,10.0203,8.86756,10.4714,4.70046,5.66797,6.36015,6.30601,6.16764,5.97099,5.70579,5.17018,5.06516,5.0795,4.93138,4.81647,4.69933,4.58478,4.45629,4.30781,4.154,4.00798,3.90373,3.81349
"Central African Republic",2.08581,2.30996,2.8076,2.70157,3.47682,4.31352,4.20001,4.25534,3.92031,4.34285,5.40955,5.54269,5.3728,5.61849,5.41204,5.7583,5.49171,6.17624,7.70284,6.95837,6.73155,6.62557,6.57151,6.52118,6.52212,6.48038,6.48317,6.45657,6.49702,6.48045,6.44913,6.40825,6.36199,6.33148
Cameroon,2.96206,4.11396,4.08287,3.50317,3.66578,5.05871,5.36874,5.34498,6.61154,5.98221,6.55223,6.31785,6.03936,5.3482,6.08478,5.67547,7.23138,7.73062,8.62636,8.27274,7.76302,7.10941,7.17247,7.20102,7.21854,7.22508,7.2133,7.18949,7.17596,7.1601,7.1466,7.12709,7.12726,7.14786
"Cape Verde",7.50367,9.23212,13.7265,13.2466,12.8651,16.9634,19.999,22.7687,23.2133,27.0888,28.3489,35.5507,37.7126,43.9197,40.5004,41.8993,42.4901,44.0577,44.2809,41.6212,42.3608,42.9859,44.8993,44.4397,43.6457,43.6587,43.9546,44.1022,44.5605,45.0545,45.3626,45.9302,46.8678,47.8817
Chad,0.935601,1.34517,2.20034,2.66942,2.66476,3.09361,4.26779,3.10466,2.80196,2.54901,3.78148,3.58999,3.54928,3.06214,3.60228,3.66431,4.00447,4.10342,4.0647,4.14291,4.24971,4.20494,4.19327,4.20063,4.15633,4.15974,4.18883,4.22156,4.24638,4.25987,4.27543,4.28873,4.28601,4.2388
