Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Burkina Faso",,,,,,11.32,14.944,18.711,15.742,13.563,15.877,15.795,15.305,20.092,20.053,21.859,22.215,22.523,22.202,24.062,22.295,22.114,21.887,19.8,22.791,22.732,24.612,25.686,20.909,24.203,24.355,22.99,25.501,28.408,23.542,23.109,24.539,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,23.484,21.992,19.297,19.164,15.63,12.541,13.097,13.013,13.221,14.554,13.768,12.183,13.655,14.584,13.384,18.085,21.446,22.911,23.151,21.332,21.722
Burundi,,,,,,,,,,,20.264,22.364,30.391,27.961,22.551,25.743,28.449,21.856,23.208,23.597,24.646,25.402,24.069,36.468,40.804,33.142,36.474,38.965,41.163,37.988,40.844,42.187,37.544,33.162,31.778,27.177,,
Cambodia,,,,,,,,,,,,,,,,,15.665,12.417,13.406,13.806,15.045,15.133,16.88,15.749,13.865,12.332,12.952,14.404,15.382,19.861,19.901,19.659,20.725,20.657,20.982,20.354,21.534,
Cameroon,,,,,,,,,,,,,,,,,,,,,15.234,15.407,14.795,14.418,14.456,13.506,13.496,14.258,16.751,15.72,15.963,18.609,17.772,20.022,20.783,20.9,21.169,
Canada,41.1,41.973,46.568,47.152,46.936,47.655,47.002,45.619,44.941,45.426,48.264,51.623,52.684,51.645,49.165,47.887,46.014,43.609,43.557,41.918,40.693,41.248,40.538,40.418,39.269,38.645,38.775,38.62,38.872,43.531,43.165,41.673,41.025,40.06,38.461,39.889,40.68,
"Cape Verde",,,,,,,,,,,,,,,48.286,47.333,43.047,39.263,33.648,36.861,42.143,31.056,36.426,29.039,32.429,33.547,33.344,29.503,30.25,33.418,39.159,33.284,34.686,33.843,30.487,31.448,30.076,
"Central African Republic",,,,,,,,,21.433,19.614,22.008,22.633,23.092,20.626,22.352,20.569,11.712,14.46,18.05,18.196,16.83,14.177,16.975,13.145,13.607,17.068,14.074,13.307,16.412,16.633,18.602,15.7,16.366,14.921,12.739,14.946,12.575,
Chad,,,,,,,,,,,,,,,,15.953,15.553,15.574,13.161,16.719,18.208,15.55,17.879,19.343,12.76,11.51,13.932,17.061,18.795,24.139,24.354,22.368,23.879,22.805,21.978,18.341,14.518,14.975
Chile,,,,,,,,,,,21.14,21.399,21.081,21.368,20.767,19.589,20.78,20.777,22.015,23.842,22.995,23.361,23.39,22.472,20.783,20.143,18.615,19.205,21.808,24.87,23.35,22.803,23.095,23.054,23.745,24.873,25.267,
China,,,24.098,24.514,23.274,22.321,22.166,20.275,18.04,18.478,18.114,16.547,14.645,13.408,12.364,11.088,11.009,11.538,12.631,14.904,16.142,17.305,18.319,18.074,17.719,18.119,18.205,18.071,22.394,25.491,24.96,27.011,28.057,28.535,28.965,31.321,31.932,31.522
Colombia,,,14.957,14.97,15.213,14.601,14.08,14.625,14.457,17.597,17.335,17.577,18.289,19.874,20.439,22.053,24.907,26.007,26.171,28.077,26.426,27.538,27.897,27.837,26.421,25.715,28.276,28.027,26.638,29.522,29.395,28.719,28.269,28.99,29.442,29.79,28.05,28.724
Comoros,,,,,37.366,39.66,40.626,35.759,32.752,32.524,32.529,30.746,31.638,25.05,36.908,31.127,26.408,24.857,22.075,19.136,16.338,21.975,24.144,21.456,20.089,19.871,21.25,22.327,26.026,23.017,22.147,22.122,25.331,25.165,24.299,27.32,30.604,
"Congo (Brazzaville)",,,,,,,,,,21.089,31.637,37.962,36.645,36.75,35.896,32.027,17.573,24.54,28.799,32.28,25.487,31.614,35.432,29.792,26.725,24.162,27.78,33.716,27.554,25.337,21.144,26.054,35.207,50.056,56.371,53.169,49.994,30.291
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,2.173,2.512,2.785,2.147,2.483,4.258,4.173,9.186,8.738,8.595,9.045,9.859,11.943,12.647,16.492,14.614,14.503,12.672,18.49,16.999,12.73,
"Costa Rica",,,,,,,,,,,18.945,14.058,13.803,13.883,17.512,16.495,17.377,16.336,16.105,16.782,16.943,17.347,18.634,17.644,17.081,16.658,15.615,14.923,15.74,16.948,18.488,17.606,17.875,19.168,19.212,19.297,19.352,
Croatia,,,,,,,,,,,,,30.332,29.392,37.084,41.108,42.577,42.234,46.44,48.178,44.605,43.2,47.795,47.097,47.061,45.446,45.257,44.965,44.717,47.568,47.336,48.718,47.033,48.055,48.039,47.861,47.114,
Cyprus,,,,,,,,,,,,,,,,30.415,32.445,34.215,34.381,34.321,34.97,35.716,37.422,40.386,38.638,39.689,39.126,37.563,38.225,41.893,42.045,42.346,41.906,40.977,40.034,39.178,38.328,38.456
"Czech Republic",,,,,,,,,,,,,,,,52.929,41.773,41.954,42.08,41.363,40.965,43.204,44.813,49.345,42.555,42.273,41.357,40.374,40.637,44.2,43.514,43.035,44.48,42.603,42.236,41.699,39.4,
Denmark,52.351,55.848,57.161,57.298,55.8,54.893,51.921,53.057,55.136,55.2,54.953,55.377,56.342,59.295,59.293,58.526,57.998,55.907,55.395,54.533,52.687,52.837,53.214,53.639,52.997,51.242,49.83,49.591,50.411,56.536,56.673,56.429,57.955,55.82,55.218,54.778,53.596,
Djibouti,,,,,,,,,,,42.405,38.886,48.975,49.599,43.433,37.923,33.241,35.108,33.724,33.042,32.597,29.44,32.861,36.305,37.5,36.83,33.516,37.324,40.493,43.552,37.407,35.501,37.192,37.665,40.532,58.914,51.751,
Dominica,,,,,,,,,,,31.48,28.956,27.369,25.175,27.189,28.753,28.458,28.15,33.042,35.201,38.518,29.62,28.611,30.107,30.249,30.957,29.691,34.064,34.741,35.909,39.429,35.222,35.806,32.865,31.705,32.404,43.195,
"Dominican Republic",,,,,,,,,,,,,,,,,,13.589,12.995,13.825,14.538,15.733,15.845,19.014,17.078,15.144,16.159,16.273,18.286,16.248,15.807,15.965,20.132,17.889,17.74,17.73,17.608,
Ecuador,,,,,,,,,,,,,,,,21.008,21.757,21.019,20.605,23.091,23.216,20.218,21.581,20.308,20.478,21.393,21.213,24.125,35.233,32.966,34.681,39.47,40.255,43.737,43.594,39.09,39.082,
Egypt,,,,,,,,,,,,,,,,,,,,26.251,25.992,27.862,30.924,30.638,30.118,30.31,34.54,31.261,32.689,32.526,31.358,30.549,30.836,34.62,35.674,32.964,32.212,32.699
"El Salvador",,,,,,,,,,,14.962,17.488,19.015,16.283,15.832,15.709,17.58,14.907,15.96,17.048,19.157,18.331,18.536,19.615,18.307,18.645,19.128,18.584,19.237,21.402,21.571,21.531,21.82,22.065,21.406,21.188,21.429,21.587
"Equatorial Guinea",248.537,206.979,221.296,199.411,158.032,115.36,118.986,183,227.947,116.797,212.931,284.516,594.77,256.307,509.844,141.501,22.943,14.753,35.087,18.686,22.645,13.476,11.255,11.646,15.426,14.122,18.093,19.689,19.893,39.847,31.179,27.493,35.2,29.274,32.002,45.134,30.7,22.704
Eritrea,,,,,,,,,,,,,25.273,52.022,38.969,62.837,53.125,46.549,68.097,82.081,74.158,69.047,62.558,67.009,54.841,57.487,41.156,39.94,42.132,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,40.714,38.979,36.445,39.315,40.886,36.388,35.025,36.106,35.177,34.329,33.981,33.566,34.088,39.749,46.052,40.513,37.426,39.303,38.452,38.435,40.227,40.624,40.252
Ethiopia,13.496,14.183,16.407,21.251,18.824,19.698,19.848,18.381,21.57,24.017,20.859,17.321,14.235,13.773,17.625,17.389,18.789,17.94,21.13,26.809,25.598,22.438,24.87,26.813,23.149,22.89,22.067,20.521,18.756,17.113,18.483,18.228,16.648,17.756,17.484,17.326,18.225,
Fiji,,,,,,,,,,,,,27.968,27.86,26.285,25.088,28.594,31.579,29.067,25.172,27.013,28.742,29.825,28.161,26.145,25.495,27.129,25.448,24.494,28.378,27.545,29.021,28.195,27.148,31.501,31.98,28.876,
Finland,43.864,44.542,46.429,48.197,47.519,49.399,50.038,50.976,49.546,46.801,47.06,55.731,60.765,63.558,62.124,59.97,58.442,54.926,51.358,49.911,46.972,46.286,47.505,48.331,48.271,49.275,48.341,46.799,48.259,54.758,54.755,54.384,56.204,57.519,58.109,56.924,55.733,
France,46.103,48.623,49.893,50.367,51.277,51.893,51.459,50.847,50.169,48.988,49.615,50.736,52.023,54.614,54.01,54.184,54.263,53.917,52.344,52.057,51.128,51.215,52.298,52.784,52.524,52.878,52.493,52.227,52.99,56.761,56.444,55.919,56.831,56.98,57.103,56.693,56.565,
Gabon,,,,,,,,,,,22.593,25.084,26.537,26.879,23.909,25.074,22.228,29.697,45.497,25.497,20.297,27.833,25.722,21.25,20.874,20.768,21.135,19.388,18.929,22.598,23.091,21.741,23.95,34.675,23.755,22.253,21.848,19.202
Gambia,,,,,,,,,,,,,,,,,,,,,15.851,16.09,17.75,16.001,21.687,21.698,22.562,17.932,19.156,23.111,23.6,25.963,29.755,27.045,28.009,29.728,29.786,34.274
