Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Angola,0.067883095,0.032747091,0.023925181,0.0196,0.015332519,0.006631737,0.117088323,0.0816018,0.159287219,0.134733814,0.175770768,0.038274343,0.084323719,
Argentina,0.042635478,0.050033365,0.132433671,0.254831687,0.210421646,0.110114765,0.1756,0.241161038,0.259058462,0.401242817,0.469710052,0.139476643,,
Burundi,,0.000252545,0.0005,0.0008,0.001,0.0013,0.001511622,0.001954183,0.000915993,0.001917189,0.001045585,0.000989418,0.001797015,0.000398683
Benin,0.004419858,0.004924848,0.005136546,0.0042,0.0033,0.0024,0.0015,0.000588328,0.006405913,0.000756075,0.00095744,0.004584452,0.003425548,0.0014407
"Burkina Faso",0.000174035,2.74E-06,2.38E-06,0,5.11E-05,1.57E-05,1.99E-05,2.66E-05,0,6.15E-05,5.02E-05,6.22E-06,,
Bangladesh,,,,,,,,,,,,,7.04E-05,0.002201142
Bahamas,,,,,,,0.000424361,0.000464296,0.000262281,,,,,
Belize,0.001108474,0.001029298,0.0005,1.68E-05,1.89E-05,1.77E-05,0.001007907,0.00167216,0.001636885,0.001644411,0.000978419,0.001038356,5.35E-05,9.30E-05
Bolivia,,,,0.125145287,0.1760366,0.14734729,0.150591799,0.020113051,0.004781712,0.0118,0.018904416,0.032978738,0.042857516,0.062757779
Brazil,0.483915809,0.783806913,0.948148714,0.519595115,0.187962154,0.104828261,0.177860568,0.227238259,0.221886091,0.394341245,0.358266324,0.532759749,0.289506301,0.365848171
Brunei,0.000859125,0.000667367,0.000515088,0.000684313,0.00103799,0.000816736,0.001206781,0.001002063,0.001237884,0.000406822,0.000848638,0.001065182,0.000630017,0.00099691
Bhutan,5.03E-05,0.000187637,0.000478545,0.000925983,0.0008,0.0007,0.0006,0.0005,0.0004,0.0002,0.0001,1.07E-05,9.82E-06,1.86E-05
Botswana,,,,,,,2.96E-05,1.41E-05,1.44E-06,0,0,2.38E-05,2.73E-05,2.70E-05
"Central African Republic",,,,0.000858485,0.0022,0.0036,0.0050283,0.0047,0.0043,0.004,0.003609938,0.002169449,0.002044501,0.003153301
"Ivory Coast",,0.066327092,0.055580061,0.035214968,0.069661728,0.093705796,0.08617357,0.001181281,0.001856842,0.002832911,0.004536315,0.007561176,0.00931644,0.012506708
Cameroon,0.000100771,0.016082308,0.017031367,0.01754819,0.001702581,0.015014869,0.030198235,0.035633775,0.034675072,0.056347405,0.011292033,,,
"Congo (Kinshasa)",,0.02208769,0.01511844,0.024694377,0.000871384,0.025252061,0.04892631,0.049139123,0.128168728,0.158645257,0.157229811,0.070721228,0.023670961,0.038414857
"Congo (Brazzaville)",0.005708309,0.00910478,0.008835682,0.006869404,0.005754119,0.011610056,0.018555822,0.011811914,0.014692077,0.017136923,0.019236363,0.010928356,0.013750735,0.00295622
Colombia,,,,,,,0.017215393,0.0237,0.0303,0.036796526,0.008015072,0.009544756,0.005556573,0.096318335
Comoros,3.70E-05,,,,,,,,,,,,,
"Cape Verde",6.06E-06,1.65E-05,4.93E-06,4.10E-07,3.16E-06,5.15E-06,4.08E-07,2.05E-07,0,1.49E-06,1.69E-05,9.74E-06,,
"Costa Rica",,0.001308878,0.0019,0.002473443,0.0023,0.002121318,0.00792003,0.014523353,0.015778688,0.003449063,0.002428853,0.002824399,0.002765138,0.003211548
Cuba,0.014643969,,,,,,,,,,,,,
Dominica,2.28E-05,0,0,0,0,0,4.03E-05,9.34E-05,7.38E-05,9.21E-05,,,,
"Dominican Republic",,,,,0.002246673,0.0023,0.0023,0.0024,0.002420085,0.0021,0.0018,0.0015,0.001157527,0.001117072
Ecuador,,,,,,,0.048304606,0.052124065,0.0408,0.0295,0.018118726,,,
Eritrea,1.66E-06,,,,,,,,,,,,,
Ethiopia,0.011837907,0.013849759,0.014470227,0.014038233,0.016756047,0.011940243,0.024482254,0.023109802,0.028600467,0.01912847,0.010985657,0.000479391,0.0053,0.010114233
Gabon,,,,,0.000678985,0.002764389,0.003997142,0.003863581,0.002862749,0.001752529,0.002136593,0.001889093,0.002378743,0.002119321
