Country,2015,2016,2017
Afghanistan,36.3,36.3,36.3
Albania,3.1,3.6,3.6
Algeria,35.5,35.5,35.5
Angola,17.7,17.7,17.7
"Antigua and Barbuda",5.3,5.3,5.3
Argentina,108.1,108.1,108.1
Armenia,0.8,0.8,0.8
Australia,0.4,0.5,0.5
Austria,0.6,0.6,0.6
Azerbaijan,2.1,2.1,2.1
Bahamas,34.8,27.4,27.4
Barbados,2.9,3,3
Belarus,1.1,1.1,1.1
Belgium,0.6,0.6,0.6
Belize,1.4,1.4,1.4
Benin,21,21,21
Bhutan,1.4,1.4,1.4
Bolivia,64.9,64.9,64.9
"Bosnia and Herzegovina",2.6,2.6,2.6
Botswana,3.6,3.6,3.6
Bulgaria,1.8,1.8,1.8
"Burkina Faso",3.7,3.7,3.7
Burundi,1.2,1.2,1.2
"Cape Verde",0.7,0.4,0.4
Cambodia,1,1,1
Cameroon,0.5,0.5,0.5
Canada,4.7,4.5,4.5
"Central African Republic",53.5,53.5,53.5
Chad,3.8,3.8,3.8
Chile,2.7,2.6,2.6
Colombia,28.6,28.6,28.6
Comoros,184.4,184.4,184.4
"Congo (Kinshasa)",14.4,14.5,14.5
"Congo (Brazzaville)",23.7,24.7,24.7
"Costa Rica",6.5,6.5,6.5
"Ivory Coast",19.8,19.8,19.8
Croatia,1.3,1.2,1.2
Cyprus,1.6,1.7,1.7
"Czech Republic",2.5,2.5,2.5
Denmark,2.7,2.8,2.8
Djibouti,2.2,2.2,2.2
Dominica,3,3,3
"Dominican Republic",1.1,1.2,1.2
Ecuador,3.2,3.2,3.2
Egypt,4.5,4.6,4.6
"El Salvador",1.4,1.4,1.4
"Equatorial Guinea",1,1,1
Eritrea,74.5,74.5,74.5
Estonia,2,2,2
Ethiopia,0.8,0.8,0.8
Fiji,0.1,0.1,0.1
Finland,1.3,1.3,1.3
France,8.7,8.7,8.7
Gabon,2.1,2.1,2.1
Gambia,44.5,44.5,44.5
Georgia,2.1,2.1,2.1
Germany,4.3,4.4,4.4
Greece,0.7,0.6,0.6
Grenada,12.1,12.1,12.1
Guatemala,0.7,0.7,0.7
Guinea,41.9,41.9,41.9
"Guinea Bissau",5.6,5.6,5.6
Guyana,1.8,1.8,1.8
Haiti,4.1,4.1,4.1
Honduras,10,10,10
"Hong Kong",0.1,0.1,0.1
Hungary,1.9,2.3,2.3
Iceland,2.9,2.8,2.8
Iran,0.4,0.4,0.4
Ireland,1.4,1.4,1.4
Israel,1.4,1.4,1.4
Italy,1.9,1.9,1.9
Jamaica,6.4,7,7
Jordan,2,2,2
Kazakhstan,1.4,1.8,1.8
Kenya,5.4,5.4,5.4
Kiribati,-0.1,,
"South Korea",1.3,1.2,1.2
Kosovo,0.5,0.3,0.3
Kyrgyzstan,3.1,3.1,3.1
Laos,3.7,3.7,3.7
Latvia,2.9,3,3
Lebanon,0.4,0.4,0.4
Lesotho,2.8,2.8,2.8
Liberia,6.7,7,7
Libya,0.3,0.3,0.3
Lithuania,1.3,1.5,1.5
Luxembourg,0.4,0.4,0.4
"Macedonia (F.Y.R.O.M.)",1.9,2,2
Madagascar,1.5,1.5,1.5
Malawi,2.7,1.7,1.7
Malaysia,1,0.9,0.9
Maldives,9.2,9.2,9.2
Mali,3.9,3.9,3.9
Malta,0.5,0.5,0.5
"Marshall Islands",53,53,53
Mauritania,48.1,48.1,48.1
Mauritius,6.8,3.6,3.6
Micronesia,52,52,52
Moldova,0.2,0.2,0.2
Mongolia,2,2,2
Montenegro,0.7,0.7,0.7
Morocco,1.4,1.4,1.4
Mozambique,0.8,0.8,0.8
"Burma (Myanmar)",6,5.9,5.9
Namibia,2.2,3.1,3.1
Nepal,0.5,0.5,0.5
Netherlands,0.3,0.4,0.4
"New Zealand",1.4,1.6,1.6
Nicaragua,20.6,20.6,20.6
Niger,5.4,5.3,5.3
Oman,0.1,0.1,0.1
Palau,0.1,0.1,0.1
Panama,4.8,4.8,4.8
"Papua New Guinea",4.4,4.4,4.4
Paraguay,6.8,6.8,6.8
Peru,2.2,2.2,2.2
Philippines,14,13.9,13.9
Poland,0.9,1,1
Portugal,0.5,0.6,0.6
"Puerto Rico",20.2,26.4,26.4
Romania,1,1.1,1.1
Rwanda,1.6,1.6,1.6
"Saint Thomas and Principe",11.2,11.2,11.2
"San Marino",0.4,0.3,0.3
Senegal,5.3,5.3,5.3
Serbia,2.2,3.5,3.5
Seychelles,9.1,9,9
"Sierra Leone",0.9,0.9,0.9
Singapore,1.1,1.1,1.1
Slovakia,0.9,1,1
Slovenia,0.1,0.1,0.1
"Solomon Islands",0.2,0.2,0.2
Somalia,,NA,NA
"South Africa",3.2,3.1,3.1
"South Sudan",2.9,2.9,2.9
Spain,0.9,0.8,0.8
"Sri Lanka",37.1,37.2,37.2
"Saint Kitts and Nevis",8,8,8
"Saint Lucia",3.3,3.3,3.3
"Saint Vincent and Grenadines",3.3,3.3,3.3
Sudan,14.7,14.7,14.7
Swaziland,4.2,4.1,4.1
Sweden,0.6,0.6,0.6
Switzerland,1.8,1.8,1.8
Syria,0.4,0.4,0.4
Taiwan,3.4,3.4,3.4
Tajikistan,35.6,35.6,35.6
Tanzania,6.1,6.2,6.2
Thailand,2.7,2.6,2.6
Togo,14.9,14.7,14.7
Tonga,0.7,0.7,0.7
"Trinidad and Tobago",1.8,1.8,1.8
Tunisia,21.8,21.9,21.9
Turkey,3,3.1,3.1
Ukraine,0.1,0.1,0.1
"United Arab Emirates",0.7,1.8,1.8
"United Kingdom",1.6,1.6,1.6
Uruguay,2.6,2.6,2.6
Uzbekistan,1.9,1.5,1.5
Vanuatu,4,4,4
Venezuela,37.2,37.1,37.1
Vietnam,0.1,0.1,0.1
"West Bank and Gaza",0.3,0.3,0.3
Yemen,1.8,1.8,1.8
Zambia,3.1,6.2,6.2
Zimbabwe,8.3,8.4,8.4
