Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,9,9,9,9.5,10,10,10,9.5,9,9,9,9,9
Albania,2,2,2,2,2,2,2,2.5,3,3,3,3,3
Algeria,7,7,7,7,7,7,7,7,7,7,7,6.5,6
Angola,7,5,3,3.5,4,4,4,4,4,4,4,4,4
Argentina,4,3.5,3,3,3,3.5,4,4,4,4,4,4,4
Armenia,3,3,3,3,3,3,3,3,3,3,3,3,3
Azerbaijan,4,4,4,4,4,4,4,4,4,4,4,4,4
Bahrain,5,5,5,5,5,5.5,6,7,8,7.5,7,7.5,8
Bangladesh,6,6,6,6,6,6,6,6.5,7,7.5,8,7.5,7
Belarus,2,2.5,3,3,3,3,3,3,3,3,3,3,3
Benin,3,3,3,3,3,3,3,2.5,2,2,2,2,2
Bhutan,,,5,5,5,5,5,4.5,4,4,4,3.5,3
Bolivia,6,6,6,6.5,7,6.5,6,6,6,5.5,5,5,5
"Bosnia and Herzegovina",6,5.5,5,5,5,5,5,5,5,5,5,5,5
Botswana,1,1.5,2,2,2,2,2,2,2,2,2,2,2
Brazil,3,3,3,3,3,3,3,3,3,3,3,4,5
Bulgaria,2,2.5,3,3,3,3,3,3.5,4,4,4,4,4
"Burkina Faso",2,2,2,2,2,2,2,3,4,5,6,6,6
"Burma (Myanmar)",8,8,8,8.5,9,9,9,8.5,8,8,8,8.5,9
Burundi,10,7.5,5,6,7,7,7,7,7,7,7,7.5,8
Cambodia,5,4.5,4,4,4,4,4,4.5,5,5,5,5,5
Cameroon,6,6,6,6,6,6,6,6,6,6.5,7,7,7
"Central African Republic",9,8.5,8,8,8,8,8,8.5,9,8.5,8,8,8
Chad,7,7.5,8,8,8,7,6,6,6,6,6,6,6
Chile,3,2.5,2,2,2,2,2,2.5,3,3,3,3,3
China,4,4.5,5,5,5,5,5,5,5,5,5,5,5
Colombia,9,8,7,7.5,8,7.5,7,7,7,7,7,6.5,6
"Congo (Brazzaville)",,,3,5,7,7,7,6.5,6,6.5,7,7.5,8
"Congo (Kinshasa)",10,6,2,5,8,8,8,8.5,9,8.5,8,8,8
"Costa Rica",1,1,1,1,1,1,1,1,1,1,1,1,1
Croatia,2,2.5,3,3,3,3,3,2.5,2,2,2,2,2
Cuba,3,3,3,3,3,3,3,2.5,2,2,2,2,2
"Czech Republic",1,1,1,1,1,1,1,1,1,1,1,1,1
"Dominican Republic",3,3,3,3,3,3,3,3,3,3,3,3,3
Ecuador,4,4.5,5,5,5,4.5,4,4,4,4,4,4,4
Egypt,4,4,4,4,4,4.5,5,6,7,7,7,7,7
"El Salvador",3,3,3,3,3,3,3,3,3,3.5,4,4,4
Eritrea,2,3,4,5,6,6.5,7,6.5,6,6,6,5.5,5
Estonia,3,2.5,2,2,2,2.5,3,3,3,3,3,3,3
Ethiopia,7,7,7,7,7,7.5,8,8,8,8,8,8,8
Georgia,6,6,6,7,8,7,6,6,6,5.5,5,5,5
Ghana,4,4,4,4,4,4,4,4,4,4,4,4,4
Guatemala,5,5.5,6,6,6,6,6,6.5,7,6.5,6,6,6
Guinea,3,4.5,6,6.5,7,6.5,6,6.5,7,7,7,6.5,6
Haiti,6,6.5,7,7,7,7,7,7,7,6.5,6,6,6
Honduras,3,3,3,3,3,4,5,4.5,4,4.5,5,5,5
Hungary,2,2,2,2,2,2.5,3,3,3,3,3,3,3
India,5,5,5,5,5,5,5,5,5,5.5,6,6,6
Indonesia,7,7,7,6.5,6,6,6,5.5,5,5,5,5.5,6
Iran,5,4.5,4,4,4,4,4,4.5,5,4.5,4,4.5,5
Iraq,9,9.5,10,9.5,9,8.5,8,8.5,9,9.5,10,10,10
"Ivory Coast",10,8.5,7,6.5,6,7,8,7.5,7,6,5,5,5
Jamaica,3,3,3,3,3,3,3,3,3,3.5,4,4,4
Jordan,4,4.5,5,5,5,5,5,5,5,5,5,5,5
Kazakhstan,1,2,3,3,3,2.5,2,2.5,3,3,3,3.5,4
Kenya,7,6,5,6,7,6.5,6,5.5,5,6,7,7,7
Kosovo,,,,,5,5,5,5,5,5,5,5,5
Kuwait,,,5,4.5,4,4,4,4,4,4,4,4.5,5
Kyrgyzstan,5,5,5,4.5,4,5,6,6,6,6,6,5.5,5
Laos,3,3,3,3,3,3,3,3,3,3,3,3,3
Latvia,3,3,3,3,3,3,3,3.5,4,4,4,4,4
Lebanon,6,6,6,6.5,7,7,7,7,7,7,7,7,7
Lesotho,,,,,4,4,4,4.5,5,6,7,7,7
Liberia,8,6.5,5,4.5,4,4,4,4,4,4,4,4,4
Libya,2,2,2,2,2,2,2,4.5,7,8.5,10,10,10
Lithuania,1,1,1,1,1,1,1,1.5,2,1.5,1,1,1
"Macedonia (F.Y.R.O.M.)",5,4.5,4,4,4,4,4,4.5,5,5,5,5.5,6
Madagascar,3,3,3,4.5,6,6,6,6,6,5.5,5,5,5
Malawi,2,3.5,5,5,5,5,5,4.5,4,4,4,4,4
Malaysia,4,4,4,4.5,5,5,5,5,5,5,5,5,5
Mali,2,3,4,5,6,5.5,5,7,9,7.5,6,6,6
Mauritania,,,5,5.5,6,6,6,6,6,5.5,5,5,5
Mauritius,3,3,3,3,3,3,3,2.5,2,2,2,2,2
Mexico,4,4.5,5,5,5,5,5,6,7,7,7,7,7
Moldova,5,5,5,5,5,5,5,4.5,4,4,4,4,4
Mongolia,1,1.5,2,2.5,3,3,3,3,3,3,3,3,3
Montenegro,,,2,2,2,2,2,2,2,2,2,2.5,3
Morocco,4,4,4,4,4,3.5,3,3.5,4,4,4,4,4
Mozambique,4,3,2,3,4,4,4,4,4,4.5,5,6,7
Namibia,4,4,4,4.5,5,4.5,4,4,4,4,4,4,4
Nepal,9,8.5,8,7.5,7,7,7,6.5,6,6,6,6,6
Nicaragua,4,3.5,3,3.5,4,4,4,4,4,4,4,4,4
Niger,5,4,3,4.5,6,5.5,5,5,5,5,5,5,5
Nigeria,8,8,8,8,8,8,8,8,8,8.5,9,9,9
"North Korea",2,2.5,3,3.5,4,4,4,3.5,3,3,3,3,3
Oman,,,1,1,1,1,1,1,1,1,1,1.5,2
Pakistan,7,7,7,8,9,9,9,9,9,9,9,9,9
Panama,4,3.5,3,2.5,2,2.5,3,3,3,3,3,3,3
"Papua New Guinea",6,6,6,6,6,6,6,6.5,7,7,7,6.5,6
Paraguay,3,3,3,3.5,4,4,4,4.5,5,4.5,4,4,4
Peru,5,5,5,4.5,4,4.5,5,5,5,5,5,5,5
Philippines,6,6,6,6,6,6,6,6,6,6,6,6,6
Poland,2,2.5,3,2.5,2,2,2,2,2,2,2,2,2
Qatar,,,,,3,2.5,2,2,2,2,2,2,2
