Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,57.38416672,58.30321121,58.50744629,59.32437515,54.60531235,50.52885437,51.55212021,51.86499405,53.66075897,54.12046432,49.95013428,49.48836136,47.85768127,47.24268723,47.38023376,46.25754929,44.5656662,41.9847374,43.42127228,45.53084183,45.39803696,46.32323074,42.47974014,43.2519989,43.9838295,47.10374451,47.13702393,47.47861099,45.51673889,45.68121719,45.89344406,44.80962372,44.313797,46.46820831,47.12675476,49.57173157,49.80725479,48.72335052,50.32493591,47.55012131,48.40257645,56.3816185,54.95985031,58.46480942,52.74663162,49.0464592,49.19454956,48.63576508,50.7134819
Belarus,,,,,,,,,,,,,,,,,,,,,,38.25093842,38.14868927,38.36240768,40.8797226,53.95181274,58.10066986,58.25456619,57.73286819,59.60392761,62.40651321,64.97567749,63.41218948,62.40841293,62.13924026,61.04554367,62.41374969,59.54683304,58.52830887,58.88851166,63.78717804,63.21725845,64.00267029,65.39399719,66.87796021,66.24774933,68.69452667,68.27089691,67.74762726
Belgium,71.59420776,73.48647308,73.48647308,75.03342438,76.63925934,75.65312195,76.19773865,75.91262817,75.79032898,76.4669342,77.85632324,78.26824951,78.52633667,78.27874756,78.61959839,78.65336609,77.81954193,77.50400543,77.69580841,78.45718384,77.93765259,78.33191681,78.39551544,79.45526886,79.64099121,79.37102509,80.02820587,82.49325562,83.22727203,83.9382019,85.18622589,84.17411804,84.44915009,83.63288879,83.47433472,82.79345703,81.45876312,82.64677429,83.26311493,83.89263916,84.78201294,84.0404892,84.06863403,83.43624878,87.32004547,87.0463028,86.25585938,86.50566101,86.08323669
Belize,,,,,,,,,,,,49.28593445,50.05872726,47.9303627,48.05998993,47.55920029,46.91268539,46.92112732,47.93442917,47.63485336,47.12955475,47.56315231,47.06686401,45.66645432,44.28525543,43.54766846,44.60569382,45.21893311,44.79409027,46.48695374,47.64406967,46.25460815,47.56882477,47.78179169,47.69129562,52.02656174,55.56757736,58.62694168,56.61811066,53.23467636,48.46616745,54.77067184,57.82474899,58.65530396,59.69732666,56.69869995,56.98337173,52.65395737,51.50841522
Benin,18.28750229,19.99165726,18.96405029,19.27039909,20.96810722,22.85751534,24.05116653,26.10646248,23.48251724,20.66964531,20.17084694,29.08090591,25.40376091,21.87418938,25.66791916,26.5729084,25.55665016,26.34968567,31.79095268,30.90702438,26.57619286,28.2237854,37.25790405,27.40310669,37.17155838,38.81434631,33.60629272,32.6826973,34.12590027,28.37921143,26.91967964,26.12161255,26.40947533,26.11727333,25.12003517,24.66047287,28.43816566,33.28065109,31.5694294,27.11974335,28.98289108,29.85856819,30.58371735,38.17004776,36.85776138,29.40863419,31.6076889,31.91415977,35.73038101
Bermuda,56.69419479,66.74531555,66.91844177,69.41119385,68.54553986,68.89179993,68.54553986,68.54553986,68.71866608,67.33363342,69.09239197,62.86289978,60.90450287,59.39369965,60.15849304,57.47305679,59.143013,53.15979385,54.63631439,55.01183319,56.63814926,53.54993439,55.61507034,52.86041641,52.6282692,52.31698608,50.76077271,59.57169724,58.22616577,51.80355453,50.1292305,49.59944534,48.98566055,49.5064888,50.83084869,49.90637207,50.66912842,51.44805908,48.46855927,49.77141571,50.51392746,52.24198151,49.3536377,49.33667755,48.89690781,49.13547897,48.98153687,48.26887894,47.84327698
Bhutan,37.65171051,37.65171051,37.65171051,37.65171051,37.65171051,37.65171051,37.65171051,37.65171051,37.65171051,37.65171051,37.62057877,40.41844177,39.50384903,38.22037125,37.96405029,39.70528793,39.92811584,38.44268036,41.06709671,38.50416183,36.27192688,38.67978668,41.49860001,40.17492676,38.15972519,40.45020294,40.80590439,40.31594086,39.29107666,40.46852112,39.39798355,38.82759476,37.22411346,37.5174942,40.60830307,39.20385742,49.00417709,49.23731613,49.15187836,46.53528976,49.24279404,50.1391449,50.12881088,50.42394638,48.09530258,52.57337189,52.24518204,50.64901733,52.62995148
Bolivia,23.15898705,22.09310913,25.37996483,27.33306694,28.8585701,26.84806633,26.66296768,25.70978928,26.44170761,29.53339767,26.20232964,23.38208008,18.73624802,20.15373802,18.30824661,18.3749485,25.81949234,25.58799362,26.7422142,30.61177063,33.44166946,32.99885178,32.83055115,35.24871063,36.84877014,37.20457077,37.04041672,39.36892319,37.74628448,36.3570137,39.23421478,38.83588791,41.15825653,43.47330856,45.4704628,48.57090759,49.08044052,48.47312927,47.0847435,45.6237793,45.89443207,47.89106369,48.76411819,47.8705864,46.39265823,44.40258026,42.28646851,42.04371643,41.71341705
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,49.22834778,49.22357559,48.28322601,45.66388321,48.83864212,48.97423172,49.80491257,48.39827728,45.27709961,52.92486572,51.83838272,52.78835678,56.14374542,53.9208374,66.97711182,70.6170578,71.19906616,68.86432648,71.05484772,69.95877075,68.92118073,67.8405838,71.991745,72.09313202,71.4446106,74.28606415,74.32004547
Botswana,56.6558342,57.58132935,57.95152664,57.95152664,57.76642609,57.76642609,58.5898819,58.37709427,56.88759995,57.84077835,58.21926498,58.14170074,57.97655106,58.59706879,57.77462006,55.71439743,54.58538055,52.93631744,48.53718948,46.03269577,48.63950729,45.33775711,41.39539719,41.43803024,39.41469193,42.55953979,39.9171257,44.1481781,46.37055969,47.57645798,56.59546661,55.42632675,56.97463226,53.77485657,50.46579361,46.22737885,46.2386322,48.52118683,46.94391632,49.81196976,48.29971313,47.94343567,49.00912476,50.50922394,56.61830521,55.41761017,55.5737648,51.31977463,51.59476471
